time,open,high,low,close
1747665000,42708,42708,42696,42696
1747665000.001,42696,42696,42684,42684
1747665000.002,42684,42684,42672,42672
1747665000.003,42672,42672,42660,42660
1747668600,42672,42684,42672,42684
1747668600.001,42684,42696,42684,42696
1747668600.002,42696,42708,42696,42708
1747668600.003,42708,42720,42708,42720
1747668600.004,42720,42732,42720,42732
1747668600.005,42732,42744,42732,42744
1747668600.006,42744,42756,42744,42756
1747668600.007,42756,42768,42756,42768
1747668600.008,42768,42780,42768,42780
1747668600.009,42780,42792,42780,42792
1747668600.01,42792,42804,42792,42804
1747668600.011,42804,42816,42804,42816
1747672200,42816,42828,42816,42828
1747672200.001,42828,42840,42828,42840
1747672200.002,42840,42852,42840,42852
1747672200.003,42852,42864,42852,42864
1747672200.004,42864,42876,42864,42876
1747672200.005,42876,42888,42876,42888
1747672200.006,42888,42900,42888,42900
1747675800,42888,42888,42876,42876
1747675800.001,42876,42876,42864,42864
1747675800.002,42864,42864,42852,42852
1747675800.003,42852,42852,42840,42840
1747675800.004,42840,42840,42828,42828
1747679400,42828,42828,42816,42816
1747747800,42816,42838,42804,42804
1747747800.001,42804,42804,42792,42792
1747751400,42804,42816,42804,42816
1747755000,42804,42804,42792,42792
1747755000.001,42792,42792,42780,42780
1747755000.002,42780,42780,42768,42768
1747755000.003,42768,42768,42756,42756
1747755000.004,42756,42756,42744,42744
1747758600,42756,42768,42756,42768
1747758600.001,42768,42780,42768,42780
1747762200,42768,42768,42756,42756
1747762200.001,42756,42756,42744,42744
1747762200.002,42744,42744,42732,42732
1747762200.003,42732,42732,42720,42720
1747762200.004,42720,42720,42708,42708
1747762200.005,42708,42708,42696,42696
1747762200.006,42696,42696,42684,42684
1747762200.007,42684,42684,42672,42672
1747762200.008,42672,42672,42660,42660
1747762200.009,42660,42660,42648,42648
1747762200.01,42648,42648,42636,42636
1747762200.011,42636,42636,42624,42624
1747765800,42636,42648,42636,42648
1747765800.001,42648,42660,42648,42660
1747765800.002,42660,42672,42660,42672
1747769400,42672,42684,42672,42684
1747769400.001,42684,42696,42684,42696
1747769400.002,42696,42708,42696,42708
