time,open,high,low,close
1754573400,44308,44308,44297,44297
1754573400.001,44297,44297,44286,44286
1754573400.002,44286,44286,44275,44275
1754573400.003,44275,44275,44264,44264
1754573400.004,44264,44264,44253,44253
1754573400.005,44253,44253,44242,44242
1754573400.006,44242,44242,44231,44231
1754573400.007,44231,44231,44220,44220
1754573400.008,44220,44220,44209,44209
1754573400.009,44209,44209,44198,44198
1754573400.01,44198,44198,44187,44187
1754573400.011,44187,44187,44176,44176
1754577000,44176,44176,44165,44165
1754577000.001,44165,44165,44154,44154
1754577000.002,44154,44154,44143,44143
1754577000.003,44143,44143,44132,44132
1754577000.004,44132,44132,44121,44121
1754577000.005,44121,44121,44110,44110
1754577000.006,44110,44110,44099,44099
1754577000.007,44099,44099,44088,44088
1754577000.008,44088,44088,44077,44077
1754577000.009,44077,44077,44066,44066
1754577000.01,44066,44066,44055,44055
1754577000.011,44055,44055,44044,44044
1754577000.012,44044,44044,44033,44033
1754577000.013,44033,44033,44022,44022
1754577000.014,44022,44022,44011,44011
1754577000.015,44011,44011,44000,44000
1754580600,44011,44022,44011,44022
1754580600.001,44022,44033,44022,44033
1754580600.002,44033,44044,44033,44044
1754584200,44033,44033,44022,44022
1754584200.001,44022,44022,44011,44011
1754584200.002,44011,44011,44000,44000
1754584200.003,44000,44000,43989,43989
1754584200.004,43989,43989,43978,43978
1754584200.005,43978,43978,43967,43967
1754584200.006,43967,43967,43956,43956
1754584200.007,43956,43956,43945,43945
1754584200.008,43945,43945,43934,43934
1754584200.009,43934,43934,43923,43923
1754587800,43934,43945,43934,43945
1754587800.001,43945,43956,43945,43956
1754587800.002,43956,43967,43956,43967
1754591400,43967,43978,43967,43978
1754591400.001,43978,43989,43978,43989
1754595000,43989,44000,43989,44000
1754595000.001,44000,44011,44000,44011
1754595000.002,44011,44022,44011,44022
1754595000.003,44022,44033,44022,44033
1754595000.004,44033,44044,44033,44044
1754595000.005,44044,44055,44044,44055
1754595000.006,44055,44066,44055,44066
1754595000.007,44066,44077,44066,44077
1754595000.008,44077,44088,44077,44088
1754595000.009,44088,44099,44088,44099
1754595000.01,44099,44110,44099,44110
1754595000.011,44110,44121,44110,44121
1754659800,44121,44132,44121,44132
1754659800.001,44132,44143,44132,44143
1754659800.002,44143,44154,44143,44154
1754659800.003,44154,44165,44154,44165
1754659800.004,44165,44176,44165,44176
1754659800.005,44176,44187,44176,44187
1754659800.006,44187,44198,44187,44198
1754659800.007,44198,44209,44198,44209
1754659800.008,44209,44220,44209,44220
1754659800.009,44220,44231,44220,44231
1754659800.01,44231,44242,44231,44242
1754659800.011,44242,44253,44242,44253
1754659800.012,44253,44264,44253,44264
1754659800.013,44264,44275,44264,44275
1754659800.014,44275,44286,44275,44286
1754659800.015,44286,44297,44286,44297
1754663400,44286,44286,44275,44275
1754663400.001,44275,44275,44264,44264
1754663400.002,44264,44264,44253,44253
1754663400.003,44253,44253,44242,44242
1754663400.004,44242,44242,44231,44231
1754663400.005,44231,44231,44220,44220
1754663400.006,44220,44220,44209,44209
1754663400.007,44209,44209,44198,44198
1754663400.008,44198,44198,44187,44187
1754667000,44198,44209,44198,44209
1754667000.001,44209,44220,44209,44220
1754667000.002,44220,44231,44220,44231
1754667000.003,44231,44242,44231,44242
1754667000.004,44242,44253,44242,44253
1754667000.005,44253,44264,44253,44264
1754667000.006,44264,44275,44264,44275
1754674200,44275,44286,44275,44286
1754674200.001,44286,44297,44286,44297
1754677800,44297,44308,44297,44308
1754681400,44308,44319,44308,44319
1754681400.001,44319,44330,44319,44330
1754681400.002,44330,44341,44330,44341
1754919000,44330,44330,44319,44319
1754919000.001,44319,44319,44308,44308
1754919000.002,44308,44308,44297,44297
1754919000.003,44297,44297,44286,44286
1754919000.004,44286,44286,44275,44275
1754919000.005,44275,44275,44264,44264
1754919000.006,44264,44264,44253,44253
1754919000.007,44253,44253,44242,44242
1754919000.008,44242,44242,44231,44231
