time,open,high,low,close,Volume
1641204000,155.7,155.864,155.54999999999998,155.54999999999998,14017
1641214800,155.54999999999998,155.54999999999998,155.39999999999998,155.39999999999998,6750
1641218400,155.4,155.4,155.25,155.25,5174
1641222000,155.25,155.25,155.1,155.1,4957
1641236400,155.25,155.4,155.25,155.4,6951
1641258000,155.4,155.55,155.4,155.55,5878
1641261600,155.54999999999998,155.7,155.54999999999998,155.7,1228
1641268800,155.7,155.85,155.7,155.85,3042
1641279600,155.85,156,155.85,156,4334
1641283200,156,156.15,156,156.15,2934
1641286800,156.15,156.3,156.15,156.3,1279
1641286800.001,156.29999999999998,156.45,156.29999999999998,156.45,1279
1641294000,156.45,156.6,156.45,156.6,2746.5
1641294000.001,156.6,156.75,156.6,156.75,2746.5
1641301200,156.75,156.9,156.75,156.9,3363
1641301200.001,156.9,157.05,156.9,157.05,3363
1641308400,157.04999999999998,157.2,157.04999999999998,157.2,4984
1641308400.001,157.2,157.35,157.2,157.35,4984
1641348000,157.2,157.2,157.04999999999998,157.04999999999998,15144
1641373200,157.04999999999998,157.04999999999998,156.89999999999998,156.89999999999998,9928
1641376800,156.9,156.9,156.75,156.75,2726
1641394800,156.9,157.05,156.641,157.05,16932
1641398400,157.04999999999998,157.2,157.04999999999998,157.2,2921
1641402000,157.2,157.35,157.2,157.35,917
1641402000.001,157.35,157.5,157.35,157.5,917
1641430800,157.35,157.626,157.2,157.2,15698
1641438000,157.2,157.2,157.04999999999998,157.04999999999998,1320
1641438000.001,157.04999999999998,157.04999999999998,156.89999999999998,156.89999999999998,1320
1641448800,156.9,156.9,156.75,156.75,3587
1641452400,156.75,156.75,156.6,156.6,1375.5
1641452400.001,156.6,156.6,156.45,156.45,1375.5
1641463200,156.6,156.75,156.332,156.75,10031
1641513600,156.75,156.9,156.582,156.9,35967
1641517200,156.9,157.05,156.9,157.05,1502
1641776400,157.04999999999998,157.2,156.854,157.2,48275
1641812400,157.04999999999998,157.336,156.89999999999998,156.89999999999998,8414.5
1641812400.001,156.9,156.9,156.75,156.75,8414.5
1641816000,156.75,156.75,156.6,156.6,1878
1641816000.001,156.6,156.6,156.45,156.45,1878
1641823200,156.45,156.45,156.29999999999998,156.29999999999998,8860
1641826800,156.29999999999998,156.29999999999998,156.14999999999998,156.14999999999998,5260
1641844800,156.29999999999998,156.45,156.094,156.45,9796
1641859200,156.45,156.6,156.45,156.6,3832
1641870000,156.6,156.75,156.6,156.75,4076
1641888000,156.75,156.9,156.524,156.9,10013
1641895200,156.9,157.05,156.9,157.05,5465
1641920400,157.04999999999998,157.2,156.784,157.2,24656
1641952800,157.2,157.35,157.2,157.35,10256
1641992400,157.35,157.5,157.35,157.5,21579
1641999600,157.35,157.529,157.2,157.2,13133
1642006800,157.2,157.2,157.04999999999998,157.04999999999998,6233
1642014000,157.04999999999998,157.04999999999998,156.89999999999998,156.89999999999998,4038
1642039200,157.04999999999998,157.2,157.04999999999998,157.2,9202
1642068000,157.2,157.35,157.2,157.35,13390
1642075200,157.2,157.2,157.04999999999998,157.04999999999998,2841
