time,open,high,low,close
1736177400,43290,43305,43290,43305
1736177400.001,43305,43320,43305,43320
1736177400.002,43320,43335,43320,43335
1736184600,43320,43320,43305,43305
1736184600.001,43305,43305,43290,43290
1736184600.002,43290,43290,43275,43275
1736184600.003,43275,43275,43260,43260
1736184600.004,43260,43260,43245,43245
1736184600.005,43245,43245,43230,43230
1736184600.006,43230,43230,43215,43215
1736184600.007,43215,43215,43200,43200
1736184600.008,43200,43200,43185,43185
1736188200,43185,43185,43170,43170
1736188200.001,43170,43170,43155,43155
1736188200.002,43155,43155,43140,43140
1736188200.003,43140,43140,43125,43125
1736188200.004,43125,43125,43110,43110
1736188200.005,43110,43110,43095,43095
1736188200.006,43095,43095,43080,43080
1736188200.007,43080,43080,43065,43065
1736188200.008,43065,43065,43050,43050
1736191800,43050,43050,43035,43035
1736191800.001,43035,43035,43020,43020
1736191800.002,43020,43020,43005,43005
1736191800.003,43005,43005,42990,42990
1736191800.004,42990,42990,42975,42975
1736195400,42990,43005,42990,43005
1736195400.001,43005,43020,43005,43020
1736260200,43020,43035,43020,43035
1736260200.001,43035,43050,43035,43050
1736260200.002,43050,43065,43050,43065
1736263800,43050,43050,43035,43035
1736263800.001,43035,43035,43020,43020
1736267400,43020,43020,43005,43005
1736267400.001,43005,43005,42990,42990
1736267400.002,42990,42990,42975,42975
1736267400.003,42975,42975,42960,42960
1736267400.004,42960,42960,42945,42945
1736267400.005,42945,42945,42930,42930
1736267400.006,42930,42930,42915,42915
1736271000,42930,42945,42930,42945
1736271000.001,42945,42960,42945,42960
1736271000.002,42960,42975,42960,42975
1736274600,42960,42960,42945,42945
1736278200,42945,42945,42930,42930
1736278200.001,42930,42930,42915,42915
1736278200.002,42915,42915,42900,42900
1736278200.003,42900,42900,42885,42885
1736278200.004,42885,42885,42870,42870
1736278200.005,42870,42870,42855,42855
1736278200.006,42855,42855,42840,42840
1736278200.007,42840,42840,42825,42825
1736278200.008,42825,42825,42810,42810
1736278200.009,42810,42810,42795,42795
1736278200.01,42795,42795,42780,42780
1736278200.011,42780,42780,42765,42765
1736278200.012,42765,42765,42750,42750
1736278200.013,42750,42750,42735,42735
1736278200.014,42735,42735,42720,42720
1736281800,42735,42750,42735,42750
1736281800.001,42750,42765,42750,42765
1736281800.002,42765,42780,42765,42780
1736281800.003,42780,42795,42780,42795
1736346600,42780,42780,42765,42765
1736346600.001,42765,42765,42750,42750
1736346600.002,42750,42750,42735,42735
1736346600.003,42735,42735,42720,42720
1736346600.004,42720,42720,42705,42705
1736346600.005,42705,42705,42690,42690
1736346600.006,42690,42690,42675,42675
1736346600.007,42675,42675,42660,42660
1736346600.008,42660,42660,42645,42645
1736346600.009,42645,42645,42630,42630
1736346600.01,42630,42630,42615,42615
1736350200,42630,42645,42630,42645
1736350200.001,42645,42660,42645,42660
1736350200.002,42660,42675,42660,42675
1736350200.003,42675,42690,42675,42690
1736350200.004,42690,42705,42690,42705
1736350200.005,42705,42720,42705,42720
1736350200.006,42720,42735,42720,42735
1736350200.007,42735,42750,42735,42750
1736350200.008,42750,42765,42750,42765
