time,open,high,low,close,Volume
1699945200,1.2276,1.228,1.22692,1.228,5981.75
1699945200.001,1.228,1.2284,1.228,1.2284,5981.75
1699945200.002,1.2284000000000002,1.2288000000000001,1.2284000000000002,1.2288000000000001,5981.75
1699945200.003,1.2288000000000001,1.2292,1.2288000000000001,1.2292,5981.75
1699948800,1.2288000000000001,1.2288000000000001,1.2284000000000002,1.2284000000000002,5212
1699952400,1.2288000000000001,1.2292,1.2288000000000001,1.2292,1610.3333333333333
1699952400.001,1.2292,1.2296,1.2292,1.2296,1610.3333333333333
1699952400.002,1.2296,1.23,1.2296,1.23,1610.3333333333333
1699956000,1.2296,1.2296,1.2292,1.2292,3669
1699959600,1.2292,1.2292,1.2288000000000001,1.2288000000000001,1474
1699959600.001,1.2288000000000001,1.2288000000000001,1.2284000000000002,1.2284000000000002,1474
1699963200,1.2288000000000001,1.2292,1.2288000000000001,1.2292,3235
1699966800,1.2292,1.2296,1.2292,1.2296,520.8518518518518
1699966800.001,1.2296,1.23,1.2296,1.23,520.8518518518518
1699966800.002,1.23,1.2304,1.23,1.2304,520.8518518518518
1699966800.003,1.2304000000000002,1.2308000000000001,1.2304000000000002,1.2308000000000001,520.8518518518518
1699966800.004,1.2308000000000001,1.2312,1.2308000000000001,1.2312,520.8518518518518
1699966800.005,1.2312,1.2316,1.2312,1.2316,520.8518518518518
1699966800.006,1.2316,1.232,1.2316,1.232,520.8518518518518
1699966800.007,1.232,1.2324,1.232,1.2324,520.8518518518518
1699966800.008,1.2324000000000002,1.2328000000000001,1.2324000000000002,1.2328000000000001,520.8518518518518
1699966800.009,1.2328000000000001,1.2332,1.2328000000000001,1.2332,520.8518518518518
1699966800.01,1.2332,1.2336,1.2332,1.2336,520.8518518518518
1699966800.011,1.2336,1.234,1.2336,1.234,520.8518518518518
1699966800.012,1.234,1.2344,1.234,1.2344,520.8518518518518
1699966800.013,1.2344000000000002,1.2348000000000001,1.2344000000000002,1.2348000000000001,520.8518518518518
1699966800.014,1.2348000000000001,1.2352,1.2348000000000001,1.2352,520.8518518518518
1699966800.015,1.2352,1.2356,1.2352,1.2356,520.8518518518518
1699966800.016,1.2356,1.236,1.2356,1.236,520.8518518518518
1699966800.017,1.236,1.2364,1.236,1.2364,520.8518518518518
1699966800.018,1.2364000000000002,1.2368000000000001,1.2364000000000002,1.2368000000000001,520.8518518518518
1699966800.019,1.2368000000000001,1.2372,1.2368000000000001,1.2372,520.8518518518518
1699966800.02,1.2372,1.2376,1.2372,1.2376,520.8518518518518
1699966800.021,1.2376,1.238,1.2376,1.238,520.8518518518518
1699966800.022,1.238,1.2384,1.238,1.2384,520.8518518518518
1699966800.023,1.2384000000000002,1.2388000000000001,1.2384000000000002,1.2388000000000001,520.8518518518518
1699966800.024,1.2388000000000001,1.2392,1.2388000000000001,1.2392,520.8518518518518
1699966800.025,1.2392,1.2396,1.2392,1.2396,520.8518518518518
1699966800.026,1.2396,1.24,1.2396,1.24,520.8518518518518
1699970400,1.24,1.2404,1.24,1.2404,1092.857142857143
1699970400.001,1.2404000000000002,1.2408000000000001,1.2404000000000002,1.2408000000000001,1092.857142857143
1699970400.002,1.2408000000000001,1.2412,1.2408000000000001,1.2412,1092.857142857143
1699970400.003,1.2412,1.2416,1.2412,1.2416,1092.857142857143
1699970400.004,1.2416,1.242,1.2416,1.242,1092.857142857143
1699970400.005,1.242,1.2424,1.242,1.2424,1092.857142857143
1699970400.006,1.2424,1.2428,1.2424,1.2428,1092.857142857143
1699970400.007,1.2428000000000001,1.2432,1.2428000000000001,1.2432,1092.857142857143
1699970400.008,1.2432,1.2436,1.2432,1.2436,1092.857142857143
1699970400.009,1.2436,1.244,1.2436,1.244,1092.857142857143
1699970400.01,1.244,1.2444,1.244,1.2444,1092.857142857143
1699970400.011,1.2444,1.2448,1.2444,1.2448,1092.857142857143
1699970400.012,1.2448000000000001,1.2452,1.2448000000000001,1.2452,1092.857142857143
1699970400.013,1.2452,1.2456,1.2452,1.2456,1092.857142857143
1699977600,1.2456,1.246,1.2456,1.246,2837.6666666666665
1699977600.001,1.246,1.2464,1.246,1.2464,2837.6666666666665
1699977600.002,1.2464,1.2468,1.2464,1.2468,2837.6666666666665
1699977600.003,1.2468000000000001,1.2472,1.2468000000000001,1.2472,2837.6666666666665
1699977600.004,1.2472,1.2476,1.2472,1.2476,2837.6666666666665
1699977600.005,1.2476,1.248,1.2476,1.248,2837.6666666666665
1699981200,1.248,1.2484,1.248,1.2484,1703.6666666666667
1699981200.001,1.2484,1.2488,1.2484,1.2488,1703.6666666666667
1699981200.002,1.2488000000000001,1.2492,1.2488000000000001,1.2492,1703.6666666666667
1699988400,1.2492,1.2496,1.24867,1.2496,6677
1699992000,1.2496,1.25,1.2496,1.25,2964
1699999200,1.2496,1.2496,1.2492,1.2492,2308
1700006400,1.2492,1.2492,1.2488000000000001,1.2488000000000001,2150.5
1700006400.001,1.2488000000000001,1.2488000000000001,1.2484000000000002,1.2484000000000002,2150.5
1700017200,1.2488000000000001,1.2492,1.2488000000000001,1.2492,9284
1700031600,1.2488000000000001,1.2488000000000001,1.2484000000000002,1.2484000000000002,3336
1700031600.001,1.2484,1.2484,1.248,1.248,3336
1700031600.002,1.248,1.248,1.2476,1.2476,3336
1700031600.003,1.2476,1.2476,1.2472,1.2472,3336
1700035200,1.2472,1.2472,1.2468000000000001,1.2468000000000001,6537
1700038800,1.2468000000000001,1.2468000000000001,1.2464000000000002,1.2464000000000002,5712
1700046000,1.2468000000000001,1.2472,1.24624,1.2472,8084
1700049600,1.2468000000000001,1.2468000000000001,1.2464000000000002,1.2464000000000002,4115
1700053200,1.2464,1.2464,1.246,1.246,2244.2
1700053200.001,1.246,1.246,1.2456,1.2456,2244.2
1700053200.002,1.2456,1.2456,1.2452,1.2452,2244.2
1700053200.003,1.2452,1.2452,1.2448000000000001,1.2448000000000001,2244.2
1700053200.004,1.2448000000000001,1.2448000000000001,1.2444000000000002,1.2444000000000002,2244.2
1700056800,1.2444,1.2444,1.244,1.244,1352.875
1700056800.001,1.244,1.244,1.2436,1.2436,1352.875
1700056800.002,1.2436,1.2436,1.2432,1.2432,1352.875
1700056800.003,1.2432,1.2432,1.2428000000000001,1.2428000000000001,1352.875
1700056800.004,1.2428000000000001,1.2428000000000001,1.2424000000000002,1.2424000000000002,1352.875
1700056800.005,1.2424,1.2424,1.242,1.242,1352.875
1700056800.006,1.242,1.242,1.2416,1.2416,1352.875
1700056800.007,1.2416,1.2416,1.2412,1.2412,1352.875
1700060400,1.2416,1.242,1.2416,1.242,1475.8333333333333
1700060400.001,1.242,1.2424,1.242,1.2424,1475.8333333333333
1700060400.002,1.2424,1.2428,1.2424,1.2428,1475.8333333333333
1700060400.003,1.2428000000000001,1.2432,1.2428000000000001,1.2432,1475.8333333333333
1700060400.004,1.2432,1.2436,1.2432,1.2436,1475.8333333333333
1700060400.005,1.2436,1.244,1.2436,1.244,1475.8333333333333
1700064000,1.2436,1.2436,1.2432,1.2432,6662
1700067600,1.2432,1.2432,1.2428000000000001,1.2428000000000001,2355
1700067600.001,1.2428000000000001,1.2428000000000001,1.2424000000000002,1.2424000000000002,2355
1700071200,1.2424,1.2424,1.242,1.242,3750
1700078400,1.242,1.242,1.2416,1.2416,3262
1700078400.001,1.2416,1.2416,1.2412,1.2412,3262
1700089200,1.2416,1.242,1.2416,1.242,3494
1700096400,1.2416,1.2416,1.2412,1.2412,1736.3333333333333
1700096400.001,1.2412,1.2412,1.2408000000000001,1.2408000000000001,1736.3333333333333
1700096400.002,1.2408000000000001,1.2408000000000001,1.2404000000000002,1.2404000000000002,1736.3333333333333
1700100000,1.2404000000000002,1.2404000000000002,1.2400000000000002,1.2400000000000002,700
1700100000.001,1.24,1.24,1.2396,1.2396,700
1700100000.002,1.2396,1.2396,1.2392,1.2392,700
1700100000.003,1.2392,1.2392,1.2388000000000001,1.2388000000000001,700
1700100000.004,1.2388000000000001,1.2388000000000001,1.2384000000000002,1.2384000000000002,700
1700107200,1.2388000000000001,1.2392,1.2388000000000001,1.2392,3632
1700114400,1.2392,1.2396,1.2392,1.2396,4097
1700118000,1.2392,1.2392,1.2388000000000001,1.2388000000000001,1357.3333333333333
1700118000.001,1.2388000000000001,1.2388000000000001,1.2384000000000002,1.2384000000000002,1357.3333333333333
1700118000.002,1.2384000000000002,1.2384000000000002,1.2380000000000002,1.2380000000000002,1357.3333333333333
1700121600,1.2384000000000002,1.2388000000000001,1.2384000000000002,1.2388000000000001,1981.6666666666667
1700121600.001,1.2388000000000001,1.2392,1.2388000000000001,1.2392,1981.6666666666667
1700121600.002,1.2392,1.2396,1.2392,1.2396,1981.6666666666667
1700125200,1.2396,1.24,1.2396,1.24,5339
1700128800,1.24,1.2404,1.24,1.2404,4151
1700136000,1.24,1.24043,1.2396,1.2396,4172.5
1700136000.001,1.2396,1.2396,1.2392,1.2392,4172.5
1700139600,1.2396,1.24,1.2396,1.24,810.2727272727273
1700139600.001,1.24,1.2404,1.24,1.2404,810.2727272727273
1700139600.002,1.2404000000000002,1.2408000000000001,1.2404000000000002,1.2408000000000001,810.2727272727273
1700139600.003,1.2408000000000001,1.2412,1.2408000000000001,1.2412,810.2727272727273
1700139600.004,1.2412,1.2416,1.2412,1.2416,810.2727272727273
1700139600.005,1.2416,1.242,1.2416,1.242,810.2727272727273
1700139600.006,1.242,1.2424,1.242,1.2424,810.2727272727273
1700139600.007,1.2424,1.2428,1.2424,1.2428,810.2727272727273
1700139600.008,1.2428000000000001,1.2432,1.2428000000000001,1.2432,810.2727272727273
1700139600.009,1.2432,1.2436,1.2432,1.2436,810.2727272727273
1700139600.01,1.2436,1.244,1.2436,1.244,810.2727272727273
1700150400,1.2436,1.24406,1.2432,1.2432,8791
1700150400.001,1.2432,1.2432,1.2428000000000001,1.2428000000000001,8791
1700150400.002,1.2428000000000001,1.2428000000000001,1.2424000000000002,1.2424000000000002,8791
1700161200,1.2424,1.2424,1.242,1.242,10731
1700164800,1.242,1.242,1.2416,1.2416,1476
1700164800.001,1.2416,1.2416,1.2412,1.2412,1476
1700190000,1.2412,1.24182,1.2408000000000001,1.2408000000000001,12674
1700204400,1.2408000000000001,1.24144,1.2404000000000002,1.2404000000000002,2266.6
1700204400.001,1.2404000000000002,1.2404000000000002,1.2400000000000002,1.2400000000000002,2266.6
1700204400.002,1.24,1.24,1.2396,1.2396,2266.6
1700204400.003,1.2396,1.2396,1.2392,1.2392,2266.6
1700204400.004,1.2392,1.2392,1.2388000000000001,1.2388000000000001,2266.6
1700208000,1.2388000000000001,1.2388000000000001,1.2384000000000002,1.2384000000000002,7314
1700211600,1.2388000000000001,1.2392,1.2388000000000001,1.2392,1343.6
1700211600.001,1.2392,1.2396,1.2392,1.2396,1343.6
1700211600.002,1.2396,1.24,1.2396,1.24,1343.6
1700211600.003,1.24,1.2404,1.24,1.2404,1343.6
1700211600.004,1.2404000000000002,1.2408000000000001,1.2404000000000002,1.2408000000000001,1343.6
1700215200,1.2408000000000001,1.2412,1.2408000000000001,1.2412,988.2
1700215200.001,1.2412,1.2416,1.2412,1.2416,988.2
1700215200.002,1.2416,1.242,1.2416,1.242,988.2
1700215200.003,1.242,1.2424,1.242,1.2424,988.2
1700215200.004,1.2424,1.2428,1.2424,1.2428,988.2
1700229600,1.2424,1.24292,1.242,1.242,28243
1700233200,1.2424,1.2428,1.2424,1.2428,3939
1700233200.001,1.2428000000000001,1.2432,1.2428000000000001,1.2432,3939
