time,open,high,low,close,Long Entry,Short Entry,5m ADX(14),Volume
1652832000,1.055,1.0554999999999999,1.055,1.0554999999999999,0,0,,12234
1652835600,1.055,1.055,1.0545,1.0545,0,0,,3285
1652835600.001,1.0545,1.0545,1.054,1.054,0,0,,3285
1652842800,1.054,1.054,1.0535,1.0535,0,0,,8310
1652846400,1.0535,1.0535,1.0530000000000002,1.0530000000000002,0,0,,3522
1652853600,1.053,1.05392,1.0525,1.0525,0,0,,13552
1652857200,1.0525,1.0525,1.052,1.052,0,0,,8729
1652860800,1.052,1.052,1.0515,1.0515,0,0,,4155
1652860800.001,1.0515,1.0515,1.0510000000000002,1.0510000000000002,0,0,,4155
1652864400,1.0515,1.052,1.0515,1.052,0,0,,6214
1652886000,1.0515,1.05216,1.0510000000000002,1.0510000000000002,0,0,,14864.75
1652886000.001,1.051,1.051,1.0505,1.0505,0,0,,14864.75
1652886000.002,1.0505,1.0505,1.05,1.05,0,0,,14864.75
1652886000.003,1.05,1.05,1.0495,1.0495,0,0,,14864.75
1652889600,1.0495,1.0495,1.0490000000000002,1.0490000000000002,0,0,,8284
1652893200,1.049,1.049,1.0485,1.0485,0,0,,2990
1652893200.001,1.0485,1.0485,1.048,1.048,0,0,,2990
1652896800,1.048,1.048,1.0475,1.0475,0,0,,4930
1652900400,1.0475,1.0475,1.0470000000000002,1.0470000000000002,0,0,,5299
1652904000,1.047,1.047,1.0465,1.0465,0,0,,2814
1652918400,1.047,1.0474999999999999,1.04628,1.0474999999999999,0,0,,5906
1652918400.001,1.0475,1.048,1.0475,1.048,0,0,,5906
1652918400.002,1.048,1.0485,1.048,1.0485,0,0,,5906
1652925600,1.0485,1.049,1.0485,1.049,0,0,,7356.5
1652925600.001,1.049,1.0494999999999999,1.049,1.0494999999999999,0,0,,7356.5
1652929200,1.0495,1.05,1.0495,1.05,0,0,,5569
1652936400,1.0495,1.0495,1.0490000000000002,1.0490000000000002,0,0,,9196
1652940000,1.049,1.049,1.0485,1.0485,0,0,,3304
1652940000.001,1.0485,1.0485,1.048,1.048,0,0,,3304
1652943600,1.0485,1.049,1.0485,1.049,0,0,,12467
1652947200,1.049,1.0494999999999999,1.049,1.0494999999999999,0,0,,10623
1652954400,1.0495,1.05,1.0495,1.05,0,0,,3061.8333333333335
1652954400.001,1.05,1.0505,1.05,1.0505,0,0,,3061.8333333333335
1652954400.002,1.0505,1.051,1.0505,1.051,0,0,,3061.8333333333335
1652954400.003,1.051,1.0514999999999999,1.051,1.0514999999999999,0,0,,3061.8333333333335
1652954400.004,1.0515,1.052,1.0515,1.052,0,0,,3061.8333333333335
1652954400.005,1.052,1.0525,1.052,1.0525,0,0,,3061.8333333333335
1652961600,1.0525,1.053,1.05178,1.053,0,0,,13696
1652961600.001,1.053,1.0534999999999999,1.053,1.0534999999999999,0,0,,13696
1652965200,1.0535,1.054,1.0535,1.054,0,0,,4786.75
1652965200.001,1.054,1.0545,1.054,1.0545,0,0,,4786.75
1652965200.002,1.0545,1.055,1.0545,1.055,0,0,,4786.75
1652965200.003,1.055,1.0554999999999999,1.055,1.0554999999999999,0,0,,4786.75
1652968800,1.0555,1.056,1.0555,1.056,0,0,,3503.714285714286
1652968800.001,1.056,1.0565,1.056,1.0565,0,0,,3503.714285714286
1652968800.002,1.0565,1.057,1.0565,1.057,0,0,,3503.714285714286
1652968800.003,1.057,1.0574999999999999,1.057,1.0574999999999999,0,0,,3503.714285714286
1652968800.004,1.0575,1.058,1.0575,1.058,0,0,,3503.714285714286
1652968800.005,1.058,1.0585,1.058,1.0585,0,0,,3503.714285714286
1652968800.006,1.0585,1.059,1.0585,1.059,0,0,,3503.714285714286
1652979600,1.059,1.0594999999999999,1.059,1.0594999999999999,0,0,,16851.5
1652979600.001,1.0595,1.06,1.0595,1.06,0,0,,16851.5
1652990400,1.0595,1.0595,1.0590000000000002,1.0590000000000002,0,0,,7661
1652990400.001,1.059,1.059,1.0585,1.0585,0,0,,7661
1653001200,1.0585,1.0585,1.058,1.058,0,0,,6302
1653008400,1.058,1.058,1.0575,1.0575,0,0,,12316
1653012000,1.0575,1.0575,1.0570000000000002,1.0570000000000002,0,0,,1768.6666666666667
1653012000.001,1.057,1.057,1.0565,1.0565,0,0,,1768.6666666666667
1653012000.002,1.0565,1.0565,1.056,1.056,0,0,,1768.6666666666667
1653019200,1.0565,1.057,1.0565,1.057,0,0,,7629
1653022800,1.057,1.0574999999999999,1.057,1.0574999999999999,0,0,,1572.25
1653022800.001,1.0575,1.058,1.0575,1.058,0,0,,1572.25
1653022800.002,1.058,1.0585,1.058,1.0585,0,0,,1572.25
1653022800.003,1.0585,1.059,1.0585,1.059,0,0,,1572.25
1653026400,1.0585,1.0585,1.058,1.058,0,0,,7111
1653037200,1.0585,1.059,1.05766,1.059,0,0,,25222
1653044400,1.0585,1.0585,1.058,1.058,0,0,,4516.666666666667
1653044400.001,1.058,1.058,1.0575,1.0575,0,0,,4516.666666666667
1653044400.002,1.0575,1.0575,1.0570000000000002,1.0570000000000002,0,0,,4516.666666666667
1653048000,1.057,1.057,1.0565,1.0565,0,0,,8048
1653055200,1.0565,1.0565,1.056,1.056,0,0,,24549
1653062400,1.056,1.056,1.0555,1.0555,0,0,,7387.5
1653062400.001,1.0555,1.0555,1.0550000000000002,1.0550000000000002,0,0,,7387.5
1653066000,1.055,1.055,1.0545,1.0545,0,0,,6968
1653073200,1.055,1.0554999999999999,1.055,1.0554999999999999,0,0,,10320
1653253200,1.0555,1.056,1.0555,1.056,0,0,,2119
1653256800,1.056,1.0565,1.056,1.0565,0,0,,691.6666666666666
1653256800.001,1.0565,1.057,1.0565,1.057,0,0,,691.6666666666666
1653256800.002,1.057,1.0574999999999999,1.057,1.0574999999999999,0,0,,691.6666666666666
1653264000,1.0575,1.058,1.0569,1.058,0,0,,9895
1653267600,1.058,1.0585,1.058,1.0585,0,0,,5958
1653274800,1.0585,1.059,1.0585,1.059,0,0,,5709
1653282000,1.059,1.0594999999999999,1.059,1.0594999999999999,0,0,,6655
1653285600,1.0595,1.06,1.0595,1.06,0,0,,4143.5
