time,open,high,low,close,Volume
1641186000,115.2,115.3,115.2,115.3,7441
1641204000,115.2,115.336,115.10000000000001,115.10000000000001,10213
1641218400,115.2,115.3,115.068,115.3,15201
1641258000,115.30000000000001,115.4,115.30000000000001,115.4,19634
1641261600,115.4,115.5,115.4,115.5,2272
1641265200,115.5,115.6,115.5,115.6,1957.5
1641265200.001,115.60000000000001,115.7,115.60000000000001,115.7,1957.5
1641276000,115.7,115.8,115.7,115.8,5213
1641294000,115.80000000000001,115.9,115.80000000000001,115.9,5011.333333333333
1641294000.001,115.9,116,115.9,116,5011.333333333333
1641294000.002,116,116.1,116,116.1,5011.333333333333
1641297600,116.10000000000001,116.2,116.10000000000001,116.2,2369.5
1641297600.001,116.2,116.3,116.2,116.3,2369.5
1641344400,116.2,116.2,116.10000000000001,116.10000000000001,35030
1641348000,116.10000000000001,116.10000000000001,116.00000000000001,116.00000000000001,2237
1641373200,116,116,115.9,115.9,15016
1641376800,115.9,115.9,115.80000000000001,115.80000000000001,2773
1641380400,115.80000000000001,115.80000000000001,115.70000000000002,115.70000000000002,2959
1641398400,115.80000000000001,115.9,115.80000000000001,115.9,20906
1641405600,115.9,116,115.9,116,3438
1641409200,116,116.1,116,116.1,6921
1641438000,116,116.129,115.9,115.9,15945
1641456000,115.9,115.9,115.80000000000001,115.80000000000001,14647
1641564000,115.80000000000001,115.956,115.70000000000002,115.70000000000002,91940
1641578400,115.7,115.7,115.60000000000001,115.60000000000001,13945
1641783600,115.7,115.8,115.549,115.8,11252
1641808800,115.7,115.812,115.60000000000001,115.60000000000001,16325
1641812400,115.60000000000001,115.60000000000001,115.50000000000001,115.50000000000001,2240.5
1641812400.001,115.5,115.5,115.4,115.4,2240.5
1641816000,115.4,115.4,115.30000000000001,115.30000000000001,5396
1641826800,115.30000000000001,115.30000000000001,115.20000000000002,115.20000000000002,17527
1641834000,115.2,115.2,115.10000000000001,115.10000000000001,6345
1641859200,115.2,115.3,115.2,115.3,11158
1641895200,115.30000000000001,115.4,115.30000000000001,115.4,26779
1641906000,115.4,115.5,115.4,115.5,4670
1641906000.001,115.5,115.6,115.5,115.6,4670
1641916800,115.5,115.5,115.4,115.4,16079
1641931200,115.4,115.4,115.30000000000001,115.30000000000001,7722
1641996000,115.30000000000001,115.457,115.20000000000002,115.20000000000002,40248
1641999600,115.2,115.2,115.10000000000001,115.10000000000001,2449.3333333333335
1641999600.001,115.10000000000001,115.10000000000001,115.00000000000001,115.00000000000001,2449.3333333333335
1641999600.002,115,115,114.9,114.9,2449.3333333333335
1642003200,114.9,114.9,114.80000000000001,114.80000000000001,4948
1642006800,114.80000000000001,114.80000000000001,114.70000000000002,114.70000000000002,1347.5
1642006800.001,114.7,114.7,114.60000000000001,114.60000000000001,1347.5
1642014000,114.60000000000001,114.60000000000001,114.50000000000001,114.50000000000001,2912
1642014000.001,114.5,114.5,114.4,114.4,2912
1642021200,114.5,114.6,114.5,114.6,3075
1642075200,114.5,114.685,114.4,114.4,29900
1642078800,114.4,114.4,114.30000000000001,114.30000000000001,4964
1642086000,114.30000000000001,114.30000000000001,114.20000000000002,114.20000000000002,10709
1642089600,114.2,114.2,114.10000000000001,114.10000000000001,3105
1642118400,114.10000000000001,114.10000000000001,114.00000000000001,114.00000000000001,13863
1642122000,114,114,113.9,113.9,4152
1642129200,113.9,113.9,113.80000000000001,113.80000000000001,5476
