time,open,high,low,close,Long Entry,Short Entry,Renko ADX(14) [1],Vol Ratio,PSAR dir [1],Vel Ratio [1],Vel SMA,Brick TD (s),ET Time,Force Close,Entry Cutoff,Long Entry,Short Entry,Renko ADX(14) [1],Vol Ratio,PSAR dir [1],ET Time,Force Close,Entry Cutoff
1648218600,34776,34776,34748,34748,0,0,,1,-1,,,,10.5,0,0,0,0,,1,-1,10.5,0,0
1648218600.001,34748,34748,34720,34720,0,1,,1,-1,1,,0,10.5,0,0,0,1,,1,-1,10.5,0,0
1648218600.002,34720,34720,34692,34692,0,0,,1,-1,1,,0,10.5,0,0,0,0,,1,-1,10.5,0,0
1648218600.003,34692,34692,34664,34664,0,0,,1,-1,1,,0,10.5,0,0,0,0,,1,-1,10.5,0,0
1648218600.004,34664,34664,34636,34636,0,0,,1,-1,1,,0,10.5,0,0,0,0,,1,-1,10.5,0,0
1648218600.005,34636,34636,34608,34608,0,0,,1,-1,1,,0,10.5,0,0,0,0,,1,-1,10.5,0,0
1648218600.006,34608,34608,34580,34580,0,0,,1,-1,1,,0,10.5,0,0,0,0,,1,-1,10.5,0,0
1648229400,34608,34636,34608,34636,0,0,,1,-1,1,,0,13.5,0,0,0,0,,1,-1,13.5,0,0
1648229400.001,34636,34664,34636,34664,0,0,,1,-1,1,,0,13.5,0,0,0,0,,1,-1,13.5,0,0
1648233000,34636,34636,34608,34608,0,0,,1,-1,1,,0,14.5,0,0,0,0,,1,-1,14.5,0,0
1648233000.001,34608,34608,34580,34580,0,0,,1,-1,1,,0,14.5,0,0,0,0,,1,-1,14.5,0,0
1648236600,34608,34636,34608,34636,0,0,,1,-1,1,,0,15.5,0,1,0,0,,1,-1,15.5,0,1
1648236600.001,34636,34664,34636,34664,0,0,,1,-1,1,,0,15.5,0,1,0,0,,1,-1,15.5,0,1
1648236600.002,34664,34692,34664,34692,0,0,,1,1,1,,0,15.5,0,1,0,0,,1,1,15.5,0,1
1648236600.003,34692,34720,34692,34720,0,0,,1,1,1,,0,15.5,0,1,0,0,,1,1,15.5,0,1
1648474200,34692,34692,34664,34664,0,0,,1,1,1,,0,9.5,0,0,0,0,,1,1,9.5,0,0
1648477800,34664,34664,34636,34636,0,0,,1,1,1,,0,10.5,0,0,0,0,,1,1,10.5,0,0
1648477800.001,34636,34636,34608,34608,0,0,,1,1,1,,0,10.5,0,0,0,0,,1,1,10.5,0,0
1648481400,34608,34608,34580,34580,0,0,,1,-1,1,,0,11.5,0,0,0,0,,1,-1,11.5,0,0
1648481400.001,34580,34580,34552,34552,0,0,,0.4367494819835285,-1,1,,0,11.5,0,0,0,0,,0.4367494819835285,-1,11.5,0,0
1648481400.002,34552,34552,34524,34524,0,0,,0.4615060054740998,-1,1,0.00005,0.001,11.5,0,0,0,0,,0.4615060054740998,-1,11.5,0,0
1648481400.003,34524,34524,34496,34496,0,0,,0.48645386097394816,-1,20,0.0001,0.001,11.5,0,0,0,0,,0.48645386097394816,-1,11.5,0,0
1648485000,34524,34552,34524,34552,0,0,,0.6439162947214536,-1,10,179.99994999999998,3599.997,12.5,0,0,0,0,,0.6439162947214536,-1,12.5,0,0
1648485000.001,34552,34580,34552,34580,0,0,,0.6665198034109882,-1,19.999988888885802,180,0.001,12.5,0,0,0,0,,0.6665198034109882,-1,12.5,0,0
1648488600,34580,34608,34580,34608,0,0,,0.9127199139011736,-1,0.000005555555555555556,359.99995,3599.999,13.5,0,0,0,0,,0.9127199139011736,-1,13.5,0,0
1648492200,34608,34636,34608,34636,0,0,,0.40240866761972843,-1,9.999998611110918,539.99995,3600,14.5,0,0,0,0,,0.40240866761972843,-1,14.5,0,0
1648492200.001,34636,34664,34636,34664,0,0,,0.4266932573509708,1,6.666667283950674,540,0.001,14.5,0,0,0,0,,0.4266932573509708,1,14.5,0,0
1648492200.002,34664,34692,34664,34692,0,0,,0.4513365212395812,1,0.0000018518518518518519,540.00005,0.001,14.5,0,0,0,0,,0.4513365212395812,1,14.5,0,0
1648492200.003,34692,34720,34692,34720,0,0,26.247724491431036,0.4762208033966967,1,0.0000018518516803841037,540.0001,0.001,14.5,0,0,0,0,26.247724491431036,0.4762208033966967,1,14.5,0,0
1648495800,34720,34748,34720,34748,0,0,25.18141963232897,0.4123574899032752,1,0.0000018518515089163874,719.99995,3599.997,15.5,0,1,0,0,25.18141963232897,0.4123574899032752,1,15.5,0,1
1648495800.001,34748,34776,34748,34776,0,0,24.643731158754594,0.43680362097459413,1,4.99999618055529,720,0.001,15.5,0,1,0,0,24.643731158754594,0.43680362097459413,1,15.5,0,1
1648495800.002,34776,34804,34776,34804,0,0,24.564582775117735,0.4615606985079377,1,0.000001388888888888889,720.00005,0.001,15.5,0,1,0,0,24.564582775117735,0.4615606985079377,1,15.5,0,1
1648495800.003,34804,34832,34804,34832,0,0,24.881212062823106,0.48650883942907136,1,0.0000013888887924382783,720.0001,0.001,15.5,0,1,0,0,24.881212062823106,0.48650883942907136,1,15.5,0,1
1648495800.004,34832,34860,34832,34860,0,0,25.537483172819968,0.5115243871648436,1,0.0000013888886959876812,720.0001500000001,0.001,15.5,0,1,0,0,25.537483172819968,0.5115243871648436,1,15.5,0,1
1648560600,34860,34888,34860,34888,0,0,26.483260389231443,1.3853420560419731,1,0.0000013888885995370972,3150.0001274999986,48599.99954999999,9.5,0,0,0,0,26.483260389231443,1.3853420560419731,1,9.5,0,0
1648560600.001,34888,34916,34888,34916,0,0,27.673837374865673,1.3363008267036336,1,15.428570661224526,3150.0001774999982,0.001,9.5,0,0,0,0,27.673837374865673,1.3363008267036336,1,9.5,0,0
