time,open,high,low,close
1673215200,16800,17100,16800,17100
1673370000,17100,17400,17100,17400
1673474400,17400,17700,17400,17700
1673478000,17700,18000,17700,18000
1673539200,18000,18300,18000,18300
1673539200.001,18300,18600,18300,18600
1673550000,18600,18900,18600,18900
1673618400,18900,19200,18900,19200
1673640000,19200,19500,19200,19500
1673640000.001,19500,19800,19500,19800
1673650800,19800,20100,19800,20100
1673650800.001,20100,20400,20100,20400
1673650800.002,20400,20700,20400,20700
1673679600,20700,21000,20700,21000
1673892000,21000,21300,20507,21300
1674079200,21000,21419.5,20700,20700
1674226800,21000,21300,20698.25,21300
1674241200,21300,21600,21300,21600
1674241200.001,21600,21900,21600,21900
1674241200.002,21900,22200,21900,22200
1674248400,22200,22500,22200,22500
1674464400,22500,22800,22500,22800
1674532800,22800,23100,22800,23100
1674604800,22800,23100.75,22500,22500
1674676800,22800,23100,22430.75,23100
1674676800.001,23100,23400,23100,23400
1674777600,23100,23100,22800,22800
1674982800,23100,23400,22774.5,23400
1675015200,23400,23700,23400,23700
1675072800,23400,23799.25,23100,23100
1675101600,23100,23100,22800,22800
1675278000,23100,23400,22691.5,23400
1675285200,23400,23700,23400,23700
1675292400,23700,24000,23700,24000
1675425600,23700,24061,23400,23400
1675609200,23400,23400,23100,23100
1675656000,23100,23100,22800,22800
1675965600,22800,23323.25,22500,22500
1675965600.001,22500,22500,22200,22200
1675972800,22200,22200,21900,21900
1676059200,21900,21900,21600,21600
1676379600,21900,22200,21479.5,22200
1676458800,22200,22500,22200,22500
1676469600,22500,22800,22500,22800
1676484000,22800,23100,22800,23100
1676487600,23100,23400,23100,23400
1676487600.001,23400,23700,23400,23700
1676487600.002,23700,24000,23700,24000
1676498400,24000,24300,24000,24300
1676505600,24300,24600,24300,24600
1676556000,24600,24900,24600,24900
1676581200,24600,24969.5,24300,24300
1676584800,24300,24300,24000,24000
1676584800.001,24000,24000,23700,23700
1676649600,24000,24300,23646.75,24300
1676660400,24300,24600,24300,24600
1676815200,24600,24900,24600,24900
1676844000,24600,24600,24300,24300
1676883600,24600,24900,24216,24900
1677009600,24600,25033.75,24300,24300
1677042000,24300,24300,24000,24000
1677078000,24000,24000,23700,23700
1677114000,24000,24300,24000,24300
1677247200,24000,24519,23700,23700
1677247200.001,23700,23700,23400,23400
1677254400,23400,23400,23100,23100
1677499200,23400,23700,22923,23700
1677625200,23400,23806,23100,23100
1677639600,23400,23700,23400,23700
1677801600,23400,23877.5,23100,23100
