Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
21,Entry long,2025-02-03 13:00:00,[R001L rA:57 hA:44 R:73 V:0.25 B:0.99 M:+ ST:U CH:16 CF:- MI:60 SK:100 PS:U SQ:0 LC:0.33],192.2,1000,192200,4.72,0.38,5.43,0.44,-0.06,0.00,29.01,2.90
22,Exit short,2025-02-05 08:00:00,[ExitS rA:36 hA:33 R:23 V:2.99 B:0.2 M:- ST:D CH:5 CF:- MI:31 SK:15 PS:D SQ:0 LC:-0.22],190.55,1000,191000,2.79,0.23,3.5,0.28,-0.06,0.00,31.8,3.18
22,Entry short,2025-02-05 07:00:00,[R001S rA:33 hA:33 R:25 V:0.38 B:0 M:- ST:D CH:5 CF:- MI:23 SK:0 PS:D SQ:0 LC:-0.18],191,1000,191000,2.79,0.23,3.5,0.28,-0.06,0.00,31.8,3.18
23,Exit short,2025-02-06 17:00:00,[ExitS rA:55 hA:42 R:29 V:0.71 B:0.17 M:- ST:D CH:11 CF:- MI:24 SK:17 PS:D SQ:0 LC:-0.48],188,1000,188200,1.2,0.10,1.92,0.15,-0.06,0.00,33,3.30
23,Entry short,2025-02-06 15:00:00,[R001S rA:33 hA:41 R:29 V:0.36 B:0.1 M:- ST:D CH:26 CF:- MI:20 SK:0 PS:D SQ:0 LC:-0.09],188.2,1000,188200,1.2,0.10,1.92,0.15,-0.06,0.00,33,3.30
24,Exit short,2025-02-07 12:00:00,[ExitS rA:44 hA:55 R:45 V:3.66 B:0.61 M:+ ST:D CH:26 CF:+ MI:76 SK:50 PS:D SQ:0 LC:-0.34],187.85,1000,187850,-0.12,-0.01,0,0.00,-0.39,-0.03,32.87,3.29
24,Entry short,2025-02-07 11:00:00,[R001S rA:36 hA:54 R:38 V:0.87 B:0.46 M:+ ST:D CH:19 CF:+ MI:69 SK:33 PS:D SQ:0 LC:-0.16],187.85,1000,187850,-0.12,-0.01,0,0.00,-0.39,-0.03,32.87,3.29
25,Exit long,2025-02-11 21:00:00,[ExitL rA:67 hA:46 R:85 V:2.86 B:0.8 M:- ST:U CH:5 CF:+ MI:78 SK:85 PS:U SQ:0 LC:0.53],191.15,1000,190050,7.09,0.57,7.8,0.63,-0.06,0.00,39.96,4.00
25,Entry long,2025-02-11 15:00:00,[R001L rA:41 hA:35 R:89 V:0.24 B:0.9 M:- ST:U CH:11 CF:+ MI:79 SK:100 PS:U SQ:0 LC:0.25],190.05,1000,190050,7.09,0.57,7.8,0.63,-0.06,0.00,39.96,4.00
26,Exit long,2025-02-12 10:00:00,[ExitL rA:93 hA:68 R:82 V:0.56 B:0.8 M:+ ST:U CH:5 CF:+ MI:95 SK:85 PS:U SQ:0 LC:0.65],192.45,1000,191400,6.76,0.54,7.48,0.60,-0.06,0.00,46.72,4.67
