Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
760,Exit long,2026-01-21 20:00:00,Trail,49380,1,24525,163.1,0.67,194.05,0.79,-0.95,0.00,46077.9,460.78
760,Entry long,2026-01-21 19:00:00,Long,49050,1,24525,163.1,0.67,194.05,0.79,-0.95,0.00,46077.9,460.78
761,Exit long,2026-01-22 18:00:00,Trail,49710,1,24690,163.1,0.66,194.05,0.79,-0.95,0.00,46241,462.41
761,Entry long,2026-01-22 08:00:00,Long,49380,1,24690,163.1,0.66,194.05,0.79,-0.95,0.00,46241,462.41
762,Exit short,2026-01-23 19:00:00,Trail,49230,1,24675,58.1,0.24,89.05,0.36,-0.95,0.00,46299.1,462.99
762,Entry short,2026-01-23 13:00:00,Short,49350,1,24675,58.1,0.24,89.05,0.36,-0.95,0.00,46299.1,462.99
763,Exit short,2026-01-26 05:00:00,Trail,49170,1,24585,-1.9,-0.01,29.05,0.12,-0.95,0.00,46297.2,462.97
763,Entry short,2026-01-25 23:00:00,Short,49170,1,24585,-1.9,-0.01,29.05,0.12,-0.95,0.00,46297.2,462.97
764,Exit long,2026-01-26 21:00:00,Trail,49500,1,24765,-16.9,-0.07,14.05,0.06,-15.95,-0.06,46280.3,462.80
764,Entry long,2026-01-26 19:00:00,Long,49530,1,24765,-16.9,-0.07,14.05,0.06,-15.95,-0.06,46280.3,462.80
765,Exit long,2026-01-27 11:00:00,Trail,49470,1,24735,-1.9,-0.01,31.55,0.13,-0.95,0.00,46278.4,462.78
765,Entry long,2026-01-27 02:00:00,Long,49470,1,24735,-1.9,-0.01,31.55,0.13,-0.95,0.00,46278.4,462.78
766,Exit long,2026-01-28 08:00:00,Trail,49140,1,24585,-16.9,-0.07,14.05,0.06,-15.95,-0.06,46261.5,462.62
766,Entry long,2026-01-28 00:00:00,Long,49170,1,24585,-16.9,-0.07,14.05,0.06,-15.95,-0.06,46261.5,462.62
767,Exit long,2026-01-29 14:00:00,Trail,49140,1,24555,13.1,0.05,55.55,0.23,-0.95,0.00,46274.6,462.75
767,Entry long,2026-01-29 04:00:00,Long,49110,1,24555,13.1,0.05,55.55,0.23,-0.95,0.00,46274.6,462.75
768,Exit long,2026-01-29 17:00:00,Trail,48960,1,24480,-1.9,-0.01,29.05,0.12,-0.95,0.00,46272.7,462.73
768,Entry long,2026-01-29 16:00:00,Long,48960,1,24480,-1.9,-0.01,29.05,0.12,-0.95,0.00,46272.7,462.73
769,Exit long,2026-01-30 00:00:00,Trail,49080,1,24525,13.1,0.05,44.05,0.18,-0.95,0.00,46285.8,462.86
769,Entry long,2026-01-29 20:00:00,Long,49050,1,24525,13.1,0.05,44.05,0.18,-0.95,0.00,46285.8,462.86
770,Exit long,2026-01-30 13:00:00,Trail,48960,1,24435,43.1,0.18,74.05,0.30,-0.95,0.00,46328.9,463.29
770,Entry long,2026-01-30 11:00:00,Long,48870,1,24435,43.1,0.18,74.05,0.30,-0.95,0.00,46328.9,463.29
771,Exit short,2026-02-02 07:00:00,Trail,48630,1,24300,-16.9,-0.07,14.05,0.06,-15.95,-0.07,46312,463.12
771,Entry short,2026-02-02 06:00:00,Short,48600,1,24300,-16.9,-0.07,14.05,0.06,-15.95,-0.07,46312,463.12
772,Exit short,2026-02-03 19:00:00,Trail,49050,1,24735,208.1,0.84,239.05,0.97,-0.95,0.00,46520.1,465.20
772,Entry short,2026-02-03 16:00:00,Short,49470,1,24735,208.1,0.84,239.05,0.97,-0.95,0.00,46520.1,465.20
773,Exit short,2026-02-04 19:00:00,Trail,49470,1,24795,58.1,0.23,99.05,0.40,-0.95,0.00,46578.2,465.78
773,Entry short,2026-02-04 17:00:00,Short,49590,1,24795,58.1,0.23,99.05,0.40,-0.95,0.00,46578.2,465.78
774,Exit short,2026-02-05 16:00:00,Trail,49080,1,24600,58.1,0.24,89.05,0.36,-0.95,0.00,46636.3,466.36
774,Entry short,2026-02-05 15:00:00,Short,49200,1,24600,58.1,0.24,89.05,0.36,-0.95,0.00,46636.3,466.36
775,Exit short,2026-02-06 01:00:00,Trail,48870,1,24405,-31.9,-0.13,0,0.00,-30.95,-0.13,46604.4,466.04
775,Entry short,2026-02-05 23:00:00,Short,48810,1,24405,-31.9,-0.13,0,0.00,-30.95,-0.13,46604.4,466.04
776,Exit short,2026-02-09 15:00:00,Trail,50070,1,25095,58.1,0.23,89.05,0.35,-0.95,0.00,46662.5,466.63
776,Entry short,2026-02-09 10:00:00,Short,50190,1,25095,58.1,0.23,89.05,0.35,-0.95,0.00,46662.5,466.63
777,Exit long,2026-02-10 15:00:00,Trail,50520,1,25290,-31.9,-0.13,0,0.00,-30.95,-0.12,46630.6,466.31
777,Entry long,2026-02-10 14:00:00,Long,50580,1,25290,-31.9,-0.13,0,0.00,-30.95,-0.12,46630.6,466.31
778,Exit long,2026-02-11 11:00:00,Trail,50310,1,25185,-31.9,-0.13,13.55,0.05,-30.95,-0.12,46598.7,465.99
778,Entry long,2026-02-11 00:00:00,Long,50370,1,25185,-31.9,-0.13,13.55,0.05,-30.95,-0.12,46598.7,465.99
779,Exit long,2026-02-11 14:00:00,Trail,50460,1,25200,28.1,0.11,59.05,0.23,-0.95,0.00,46626.8,466.27
779,Entry long,2026-02-11 13:00:00,Long,50400,1,25200,28.1,0.11,59.05,0.23,-0.95,0.00,46626.8,466.27
780,Exit short,2026-02-11 16:00:00,Trail,50130,1,25050,-16.9,-0.07,14.05,0.06,-15.95,-0.06,46609.9,466.10
780,Entry short,2026-02-11 15:00:00,Short,50100,1,25050,-16.9,-0.07,14.05,0.06,-15.95,-0.06,46609.9,466.10
781,Exit short,2026-02-12 00:00:00,Trail,50220,1,25080,-31.9,-0.13,0,0.00,-30.95,-0.12,46578,465.78
781,Entry short,2026-02-11 18:00:00,Short,50160,1,25080,-31.9,-0.13,0,0.00,-30.95,-0.12,46578,465.78
782,Exit short,2026-02-12 18:00:00,Trail,49620,1,25140,328.1,1.31,359.05,1.43,-0.95,0.00,46906.1,469.06
782,Entry short,2026-02-12 15:00:00,Short,50280,1,25140,328.1,1.31,359.05,1.43,-0.95,0.00,46906.1,469.06
783,Exit short,2026-02-13 13:00:00,Trail,49440,1,24690,-31.9,-0.13,0,0.00,-30.95,-0.13,46874.2,468.74
783,Entry short,2026-02-13 10:00:00,Short,49380,1,24690,-31.9,-0.13,0,0.00,-30.95,-0.13,46874.2,468.74
784,Exit short,2026-02-13 15:00:00,Trail,49470,1,24720,-16.9,-0.07,14.05,0.06,-15.95,-0.06,46857.3,468.57
784,Entry short,2026-02-13 14:00:00,Short,49440,1,24720,-16.9,-0.07,14.05,0.06,-15.95,-0.06,46857.3,468.57
785,Exit short,2026-02-15 23:00:00,Trail,49590,1,24810,13.1,0.05,44.05,0.18,-0.95,0.00,46870.4,468.70
785,Entry short,2026-02-13 19:00:00,Short,49620,1,24810,13.1,0.05,44.05,0.18,-0.95,0.00,46870.4,468.70
786,Exit short,2026-02-16 23:00:00,Trail,49650,1,24840,13.1,0.05,44.05,0.18,-0.95,0.00,46883.5,468.84
786,Entry short,2026-02-16 15:00:00,Short,49680,1,24840,13.1,0.05,44.05,0.18,-0.95,0.00,46883.5,468.84
787,Exit short,2026-02-19 20:00:00,Trail,49410,1,24765,58.1,0.23,89.05,0.36,-0.95,0.00,46941.6,469.42
787,Entry short,2026-02-19 16:00:00,Short,49530,1,24765,58.1,0.23,89.05,0.36,-0.95,0.00,46941.6,469.42
788,Exit short,2026-02-20 15:00:00,Trail,49440,1,24720,-1.9,-0.01,29.05,0.12,-0.95,0.00,46939.7,469.40
788,Entry short,2026-02-20 11:00:00,Short,49440,1,24720,-1.9,-0.01,29.05,0.12,-0.95,0.00,46939.7,469.40
789,Exit short,2026-02-23 07:00:00,Trail,49410,1,24780,73.1,0.29,104.05,0.42,-0.95,0.00,47012.8,470.13
789,Entry short,2026-02-23 00:00:00,Short,49560,1,24780,73.1,0.29,104.05,0.42,-0.95,0.00,47012.8,470.13
790,Exit short,2026-02-23 13:00:00,Trail,49470,1,24720,-16.9,-0.07,14.05,0.06,-15.95,-0.06,46995.9,469.96
790,Entry short,2026-02-23 12:00:00,Short,49440,1,24720,-16.9,-0.07,14.05,0.06,-15.95,-0.06,46995.9,469.96
791,Exit short,2026-02-24 04:00:00,Trail,48930,1,24555,88.1,0.36,122.55,0.50,-0.95,0.00,47084,470.84
791,Entry short,2026-02-23 15:00:00,Short,49110,1,24555,88.1,0.36,122.55,0.50,-0.95,0.00,47084,470.84
792,Exit short,2026-02-25 01:00:00,Trail,49260,1,24600,-31.9,-0.13,0,0.00,-30.95,-0.13,47052.1,470.52
792,Entry short,2026-02-24 21:00:00,Short,49200,1,24600,-31.9,-0.13,0,0.00,-30.95,-0.13,47052.1,470.52
793,Exit short,2026-02-26 11:00:00,Trail,49500,1,24720,-31.9,-0.13,12.55,0.05,-30.95,-0.13,47020.2,470.20
793,Entry short,2026-02-25 23:00:00,Short,49440,1,24720,-31.9,-0.13,12.55,0.05,-30.95,-0.13,47020.2,470.20
794,Exit short,2026-02-26 18:00:00,Trail,49350,1,24780,103.1,0.42,134.05,0.54,-0.95,0.00,47123.3,471.23
794,Entry short,2026-02-26 16:00:00,Short,49560,1,24780,103.1,0.42,134.05,0.54,-0.95,0.00,47123.3,471.23
795,Exit short,2026-02-27 15:00:00,Trail,48780,1,24555,163.1,0.66,194.05,0.79,-0.95,0.00,47286.4,472.86
795,Entry short,2026-02-27 13:00:00,Short,49110,1,24555,163.1,0.66,194.05,0.79,-0.95,0.00,47286.4,472.86
796,Exit short,2026-03-02 00:00:00,Trail,48510,1,24285,28.1,0.12,59.05,0.24,-0.95,0.00,47314.5,473.15
796,Entry short,2026-03-01 23:00:00,Short,48570,1,24285,28.1,0.12,59.05,0.24,-0.95,0.00,47314.5,473.15
797,Exit short,2026-03-02 09:00:00,Trail,48330,1,24135,-31.9,-0.13,0,0.00,-30.95,-0.13,47282.6,472.83
797,Entry short,2026-03-02 07:00:00,Short,48270,1,24135,-31.9,-0.13,0,0.00,-30.95,-0.13,47282.6,472.83
798,Exit short,2026-03-02 19:00:00,Trail,48960,1,24450,-31.9,-0.13,0,0.00,-30.95,-0.13,47250.7,472.51
798,Entry short,2026-03-02 18:00:00,Short,48900,1,24450,-31.9,-0.13,0,0.00,-30.95,-0.13,47250.7,472.51
799,Exit short,2026-03-03 12:00:00,Trail,48180,1,24480,388.1,1.59,424.55,1.73,-0.95,0.00,47638.8,476.39
799,Entry short,2026-03-02 20:00:00,Short,48960,1,24480,388.1,1.59,424.55,1.73,-0.95,0.00,47638.8,476.39
800,Exit short,2026-03-03 16:00:00,Trail,47940,1,24090,118.1,0.49,159.05,0.66,-0.95,0.00,47756.9,477.57
800,Entry short,2026-03-03 13:00:00,Short,48180,1,24090,118.1,0.49,159.05,0.66,-0.95,0.00,47756.9,477.57
801,Exit short,2026-03-04 07:00:00,Trail,48420,1,24285,73.1,0.30,104.05,0.43,-0.95,0.00,47830,478.30
801,Entry short,2026-03-03 20:00:00,Short,48570,1,24285,73.1,0.30,104.05,0.43,-0.95,0.00,47830,478.30
802,Exit short,2026-03-04 13:00:00,Trail,48600,1,24270,-31.9,-0.13,0,0.00,-30.95,-0.13,47798.1,477.98
802,Entry short,2026-03-04 12:00:00,Short,48540,1,24270,-31.9,-0.13,0,0.00,-30.95,-0.13,47798.1,477.98
803,Exit short,2026-03-04 15:00:00,Trail,48630,1,24285,-31.9,-0.13,0,0.00,-30.95,-0.13,47766.2,477.66
803,Entry short,2026-03-04 14:00:00,Short,48570,1,24285,-31.9,-0.13,0,0.00,-30.95,-0.13,47766.2,477.66
804,Exit short,2026-03-05 06:00:00,Trail,48660,1,24390,58.1,0.24,89.05,0.37,-0.95,0.00,47824.3,478.24
804,Entry short,2026-03-05 01:00:00,Short,48780,1,24390,58.1,0.24,89.05,0.37,-0.95,0.00,47824.3,478.24
