Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2022-10-18 10:00:00,Trail,30570,1,15300,13.1,0.09,44.05,0.29,-0.95,-0.01,13.1,0.13
1,Entry short,2022-10-18 08:00:00,Short,30600,1,15300,13.1,0.09,44.05,0.29,-0.95,-0.01,13.1,0.13
2,Exit short,2022-10-18 16:00:00,Trail,30510,1,15225,-31.9,-0.21,0,0.00,-30.95,-0.20,-18.8,-0.19
2,Entry short,2022-10-18 15:00:00,Short,30450,1,15225,-31.9,-0.21,0,0.00,-30.95,-0.20,-18.8,-0.19
3,Exit short,2022-10-21 02:00:00,Trail,30360,1,15180,-1.9,-0.01,29.05,0.19,-28.95,-0.19,-20.7,-0.21
3,Entry short,2022-10-20 18:00:00,Short,30360,1,15180,-1.9,-0.01,29.05,0.19,-28.95,-0.19,-20.7,-0.21
4,Exit short,2022-10-21 13:00:00,Trail,30270,1,15150,13.1,0.09,48.05,0.32,-0.95,-0.01,-7.6,-0.08
4,Entry short,2022-10-21 07:00:00,Short,30300,1,15150,13.1,0.09,48.05,0.32,-0.95,-0.01,-7.6,-0.08
5,Exit short,2022-10-21 15:00:00,Trail,30600,1,15330,28.1,0.18,59.05,0.39,-0.95,-0.01,20.5,0.21
5,Entry short,2022-10-21 14:00:00,Short,30660,1,15330,28.1,0.18,59.05,0.39,-0.95,-0.01,20.5,0.21
6,Exit short,2022-10-24 04:00:00,Trail,31200,1,15630,28.1,0.18,59.05,0.38,-0.95,-0.01,48.6,0.49
6,Entry short,2022-10-24 00:00:00,Short,31260,1,15630,28.1,0.18,59.05,0.38,-0.95,-0.01,48.6,0.49
7,Exit short,2022-10-24 15:00:00,Trail,31470,1,15720,-16.9,-0.11,14.05,0.09,-15.95,-0.10,31.7,0.32
7,Entry short,2022-10-24 14:00:00,Short,31440,1,15720,-16.9,-0.11,14.05,0.09,-15.95,-0.10,31.7,0.32
8,Exit long,2022-10-26 00:00:00,Trail,31800,1,15915,-16.9,-0.11,25.05,0.16,-15.95,-0.10,14.8,0.15
8,Entry long,2022-10-25 19:00:00,Long,31830,1,15915,-16.9,-0.11,25.05,0.16,-15.95,-0.10,14.8,0.15
9,Exit long,2022-10-30 22:00:00,Trail,32910,1,16185,268.1,1.66,299.05,1.85,-0.95,-0.01,282.9,2.83
9,Entry long,2022-10-28 13:00:00,Long,32370,1,16185,268.1,1.66,299.05,1.85,-0.95,-0.01,282.9,2.83
10,Exit long,2022-11-02 10:00:00,Trail,32670,1,16320,13.1,0.08,55.05,0.34,-0.95,-0.01,296,2.96
10,Entry long,2022-11-01 16:00:00,Long,32640,1,16320,13.1,0.08,55.05,0.34,-0.95,-0.01,296,2.96
11,Exit long,2022-11-03 08:00:00,Trail,32160,1,16095,-16.9,-0.10,22.05,0.14,-15.95,-0.10,279.1,2.79
11,Entry long,2022-11-03 01:00:00,Long,32190,1,16095,-16.9,-0.10,22.05,0.14,-15.95,-0.10,279.1,2.79
12,Exit long,2022-11-03 17:00:00,Trail,32100,1,15915,133.1,0.84,164.05,1.03,-0.95,-0.01,412.2,4.12
12,Entry long,2022-11-03 14:00:00,Long,31830,1,15915,133.1,0.84,164.05,1.03,-0.95,-0.01,412.2,4.12
13,Exit long,2022-11-04 15:00:00,Trail,32430,1,16200,13.1,0.08,44.05,0.27,-0.95,-0.01,425.3,4.25
13,Entry long,2022-11-04 14:00:00,Long,32400,1,16200,13.1,0.08,44.05,0.27,-0.95,-0.01,425.3,4.25
14,Exit long,2022-11-06 23:00:00,Trail,32370,1,16035,148.1,0.92,179.05,1.12,-0.95,-0.01,573.4,5.73
14,Entry long,2022-11-04 18:00:00,Long,32070,1,16035,148.1,0.92,179.05,1.12,-0.95,-0.01,573.4,5.73
15,Exit long,2022-11-08 02:00:00,Trail,32850,1,16350,73.1,0.45,104.05,0.64,-0.95,-0.01,646.5,6.47
15,Entry long,2022-11-07 18:00:00,Long,32700,1,16350,73.1,0.45,104.05,0.64,-0.95,-0.01,646.5,6.47
16,Exit long,2022-11-08 18:00:00,Trail,33270,1,16620,13.1,0.08,44.05,0.27,-0.95,-0.01,659.6,6.60
16,Entry long,2022-11-08 16:00:00,Long,33240,1,16620,13.1,0.08,44.05,0.27,-0.95,-0.01,659.6,6.60
17,Exit short,2022-11-10 10:00:00,Trail,32610,1,16395,88.1,0.54,124.05,0.76,-0.95,-0.01,747.7,7.48
17,Entry short,2022-11-09 18:00:00,Short,32790,1,16395,88.1,0.54,124.05,0.76,-0.95,-0.01,747.7,7.48
18,Exit short,2022-11-10 18:00:00,Trail,33390,1,16725,28.1,0.17,59.05,0.35,-0.95,-0.01,775.8,7.76
18,Entry short,2022-11-10 17:00:00,Short,33450,1,16725,28.1,0.17,59.05,0.35,-0.95,-0.01,775.8,7.76
19,Exit short,2022-11-11 04:00:00,Trail,33780,1,16860,-31.9,-0.19,0,0.00,-30.95,-0.18,743.9,7.44
19,Entry short,2022-11-11 01:00:00,Short,33720,1,16860,-31.9,-0.19,0,0.00,-30.95,-0.18,743.9,7.44
20,Exit short,2022-11-11 18:00:00,Trail,33570,1,16770,-16.9,-0.10,14.05,0.08,-15.95,-0.10,727,7.27
20,Entry short,2022-11-11 16:00:00,Short,33540,1,16770,-16.9,-0.10,14.05,0.08,-15.95,-0.10,727,7.27
21,Exit long,2022-11-15 15:00:00,Trail,33870,1,16815,118.1,0.70,149.05,0.89,-0.95,-0.01,845.1,8.45
21,Entry long,2022-11-15 01:00:00,Long,33630,1,16815,118.1,0.70,149.05,0.89,-0.95,-0.01,845.1,8.45
22,Exit long,2022-11-16 00:00:00,Trail,33570,1,16770,13.1,0.08,44.05,0.26,-0.95,-0.01,858.2,8.58
22,Entry long,2022-11-15 19:00:00,Long,33540,1,16770,13.1,0.08,44.05,0.26,-0.95,-0.01,858.2,8.58
23,Exit short,2022-11-17 14:00:00,Trail,33270,1,16620,-16.9,-0.10,14.05,0.08,-15.95,-0.10,841.3,8.41
23,Entry short,2022-11-17 13:00:00,Short,33240,1,16620,-16.9,-0.10,14.05,0.08,-15.95,-0.10,841.3,8.41
24,Exit long,2022-11-23 13:00:00,Trail,34110,1,17025,28.1,0.17,59.05,0.35,-0.95,-0.01,869.4,8.69
24,Entry long,2022-11-22 19:00:00,Long,34050,1,17025,28.1,0.17,59.05,0.35,-0.95,-0.01,869.4,8.69
25,Exit short,2022-11-29 04:00:00,Trail,33930,1,16965,-1.9,-0.01,35.05,0.21,-0.95,-0.01,867.5,8.67
25,Entry short,2022-11-28 18:00:00,Short,33930,1,16965,-1.9,-0.01,35.05,0.21,-0.95,-0.01,867.5,8.67
