Trade #,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
503,Exit long,2026-03-20 03:00:00,Trail,212.4,500,106065,0.79,0.12,1.39,0.21,-0.03,0.00,657.53,65.75
503,Entry long,2026-03-19 19:00:00,Long,212.13,500,106065,0.79,0.12,1.39,0.21,-0.03,0.00,657.53,65.75
504,Exit long,2026-03-23 04:08:00,Trail,212.76,500,106425,-0.34,-0.05,0.25,0.04,-0.31,-0.05,657.18,65.72
504,Entry long,2026-03-23 04:06:00,Long,212.85,500,106425,-0.34,-0.05,0.25,0.04,-0.31,-0.05,657.18,65.72
505,Exit short,2026-03-23 04:22:00,Trail,211.86,500,105930,-0.06,-0.01,0.53,0.08,-0.03,0.00,657.12,65.71
505,Entry short,2026-03-23 04:20:00,Short,211.86,500,105930,-0.06,-0.01,0.53,0.08,-0.03,0.00,657.12,65.71
506,Exit long,2026-03-23 06:01:00,Trail,212.67,500,106425,-0.63,-0.09,0,0.00,-0.6,-0.09,656.5,65.65
506,Entry long,2026-03-23 05:59:00,Long,212.85,500,106425,-0.63,-0.09,0,0.00,-0.6,-0.09,656.5,65.65
507,Exit short,2026-03-30 07:53:00,Trail,210.51,500,105930,4.15,0.63,4.98,0.75,-0.03,0.00,660.64,66.06
507,Entry short,2026-03-30 00:05:00,Short,211.86,500,105930,4.15,0.63,4.98,0.75,-0.03,0.00,660.64,66.06
508,Exit short,2026-03-31 08:05:00,Trail,209.88,500,104985,0.22,0.03,0.81,0.12,-0.03,0.00,660.87,66.09
508,Entry short,2026-03-31 07:57:00,Short,209.97,500,104985,0.22,0.03,0.81,0.12,-0.03,0.00,660.87,66.09
509,Exit long,2026-04-07 17:04:00,Trail,212.58,500,106380,-0.63,-0.09,0,0.00,-0.59,-0.09,660.24,66.02
509,Entry long,2026-04-07 16:53:00,Long,212.76,500,106380,-0.63,-0.09,0,0.00,-0.59,-0.09,660.24,66.02
510,Exit long,2026-04-09 08:40:00,Trail,213.57,500,106785,-0.06,-0.01,0.62,0.09,-0.38,-0.06,660.18,66.02
510,Entry long,2026-04-09 07:28:00,Long,213.57,500,106785,-0.06,-0.01,0.62,0.09,-0.38,-0.06,660.18,66.02
