Trade #,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
67,Exit short,2023-08-03 08:00:00,Trail,180.9,500,90630,1.2,0.19,1.85,0.29,-0.03,0.00,80.31,8.03
67,Entry short,2023-08-03 01:00:00,Short,181.26,500,90630,1.2,0.19,1.85,0.29,-0.03,0.00,80.31,8.03
68,Exit long,2023-08-07 23:00:00,Trail,182.7,500,90945,2.78,0.44,3.44,0.54,-0.03,0.00,83.09,8.31
68,Entry long,2023-08-07 09:00:00,Long,181.89,500,90945,2.78,0.44,3.44,0.54,-0.03,0.00,83.09,8.31
69,Exit short,2023-08-08 07:00:00,Trail,181.89,500,90855,-0.69,-0.11,0,0.00,-0.66,-0.10,82.4,8.24
69,Entry short,2023-08-08 06:00:00,Short,181.71,500,90855,-0.69,-0.11,0,0.00,-0.66,-0.10,82.4,8.24
70,Exit long,2023-08-09 02:00:00,Trail,182.7,500,91395,-0.37,-0.06,0.28,0.04,-0.34,-0.05,82.03,8.20
70,Entry long,2023-08-09 00:00:00,Long,182.79,500,91395,-0.37,-0.06,0.28,0.04,-0.34,-0.05,82.03,8.20
71,Exit long,2023-08-10 08:00:00,Trail,183.87,500,91890,0.25,0.04,0.91,0.14,-0.03,0.00,82.28,8.23
71,Entry long,2023-08-10 05:00:00,Long,183.78,500,91890,0.25,0.04,0.91,0.14,-0.03,0.00,82.28,8.23
72,Exit long,2023-08-15 03:00:00,Trail,185.04,500,92385,0.87,0.14,1.58,0.25,-0.03,0.00,83.15,8.32
72,Entry long,2023-08-14 23:00:00,Long,184.77,500,92385,0.87,0.14,1.58,0.25,-0.03,0.00,83.15,8.32
73,Exit long,2023-08-17 01:00:00,Trail,186.21,500,92970,0.86,0.14,1.51,0.24,-0.52,-0.08,84.01,8.40
73,Entry long,2023-08-16 07:00:00,Long,185.94,500,92970,0.86,0.14,1.51,0.24,-0.52,-0.08,84.01,8.40
74,Exit short,2023-08-18 01:00:00,Trail,184.95,500,92610,0.87,0.14,1.51,0.24,-0.03,0.00,84.88,8.49
74,Entry short,2023-08-17 23:00:00,Short,185.22,500,92610,0.87,0.14,1.51,0.24,-0.03,0.00,84.88,8.49
75,Exit long,2023-08-22 01:00:00,Trail,186.39,500,93015,1.17,0.18,1.97,0.31,-0.03,0.00,86.05,8.61
75,Entry long,2023-08-21 04:00:00,Long,186.03,500,93015,1.17,0.18,1.97,0.31,-0.03,0.00,86.05,8.61
76,Exit short,2023-08-23 08:00:00,Trail,183.78,500,92700,5.49,0.86,6.14,0.97,-0.03,0.00,91.54,9.15
76,Entry short,2023-08-23 00:00:00,Short,185.4,500,92700,5.49,0.86,6.14,0.97,-0.03,0.00,91.54,9.15
77,Exit long,2023-08-30 16:00:00,Trail,185.85,500,92700,1.48,0.23,2.13,0.34,-0.03,0.00,93.02,9.30
77,Entry long,2023-08-30 05:00:00,Long,185.4,500,92700,1.48,0.23,2.13,0.34,-0.03,0.00,93.02,9.30
78,Exit short,2023-08-31 13:00:00,Trail,184.41,500,92520,2.1,0.33,2.88,0.46,-0.03,0.00,95.12,9.51
78,Entry short,2023-08-31 07:00:00,Short,185.04,500,92520,2.1,0.33,2.88,0.46,-0.03,0.00,95.12,9.51
79,Exit long,2023-09-04 23:00:00,Trail,185.04,500,92430,0.56,0.09,1.2,0.19,-0.28,-0.04,95.68,9.57
79,Entry long,2023-09-04 01:00:00,Long,184.86,500,92430,0.56,0.09,1.2,0.19,-0.28,-0.04,95.68,9.57
80,Exit long,2023-09-05 16:00:00,Trail,185.49,500,92745,-0.06,-0.01,0.69,0.11,-0.03,0.00,95.62,9.56
80,Entry long,2023-09-05 08:00:00,Long,185.49,500,92745,-0.06,-0.01,0.69,0.11,-0.03,0.00,95.62,9.56
81,Exit short,2023-09-06 10:00:00,Trail,184.59,500,92250,-0.36,-0.06,0.44,0.07,-0.33,-0.05,95.26,9.53
81,Entry short,2023-09-06 06:00:00,Short,184.5,500,92250,-0.36,-0.06,0.44,0.07,-0.33,-0.05,95.26,9.53
82,Exit short,2023-09-14 10:00:00,Trail,182.79,500,91530,0.86,0.14,1.5,0.24,-0.03,0.00,96.11,9.61
82,Entry short,2023-09-14 06:00:00,Short,183.06,500,91530,0.86,0.14,1.5,0.24,-0.03,0.00,96.11,9.61
83,Exit long,2023-09-15 04:00:00,Trail,183.6,500,91890,-0.67,-0.11,0,0.00,-0.64,-0.10,95.45,9.54
83,Entry long,2023-09-15 01:00:00,Long,183.78,500,91890,-0.67,-0.11,0,0.00,-0.64,-0.10,95.45,9.54
84,Exit short,2023-09-21 09:00:00,Trail,181.35,500,90945,1.76,0.29,2.4,0.39,-0.03,0.00,97.21,9.72
84,Entry short,2023-09-21 03:00:00,Short,181.89,500,90945,1.76,0.29,2.4,0.39,-0.03,0.00,97.21,9.72
85,Exit long,2023-09-28 11:00:00,Trail,182.07,500,91125,-0.66,-0.11,0,0.00,-0.63,-0.10,96.55,9.66
85,Entry long,2023-09-28 08:00:00,Long,182.25,500,91125,-0.66,-0.11,0,0.00,-0.63,-0.10,96.55,9.66
86,Exit short,2023-10-03 01:00:00,Trail,181.08,500,90765,1.45,0.24,2.23,0.37,-0.03,0.00,98,9.80
86,Entry short,2023-10-02 09:00:00,Short,181.53,500,90765,1.45,0.24,2.23,0.37,-0.03,0.00,98,9.80
87,Exit short,2023-10-03 13:00:00,Trail,179.91,500,90045,0.55,0.09,1.17,0.20,-0.03,0.00,98.54,9.85
87,Entry short,2023-10-03 07:00:00,Short,180.09,500,90045,0.55,0.09,1.17,0.20,-0.03,0.00,98.54,9.85
88,Exit long,2023-10-04 04:00:00,Trail,180.63,500,90405,-0.66,-0.11,0,0.00,-0.63,-0.10,97.89,9.79
88,Entry long,2023-10-04 02:00:00,Long,180.81,500,90405,-0.66,-0.11,0,0.00,-0.63,-0.10,97.89,9.79
89,Exit long,2023-10-06 05:00:00,Trail,181.8,500,90900,-0.06,-0.01,0.73,0.12,-0.03,0.00,97.83,9.78
89,Entry long,2023-10-06 02:00:00,Long,181.8,500,90900,-0.06,-0.01,0.73,0.12,-0.03,0.00,97.83,9.78
90,Exit long,2023-10-08 14:00:00,Trail,182.7,500,91170,1.16,0.19,1.79,0.29,-0.03,0.00,98.98,9.90
90,Entry long,2023-10-06 08:00:00,Long,182.34,500,91170,1.16,0.19,1.79,0.29,-0.03,0.00,98.98,9.90
91,Exit short,2023-10-09 06:00:00,Trail,181.71,500,90900,0.25,0.04,0.96,0.16,-0.03,0.00,99.23,9.92
91,Entry short,2023-10-08 23:00:00,Short,181.8,500,90900,0.25,0.04,0.96,0.16,-0.03,0.00,99.23,9.92
92,Exit long,2023-10-10 05:00:00,Trail,182.43,500,91305,-0.66,-0.11,0,0.00,-0.63,-0.10,98.57,9.86
92,Entry long,2023-10-10 01:00:00,Long,182.61,500,91305,-0.66,-0.11,0,0.00,-0.63,-0.10,98.57,9.86
93,Exit short,2023-10-12 18:00:00,Trail,182.61,500,91350,0.24,0.04,0.97,0.16,-0.03,0.00,98.81,9.88
93,Entry short,2023-10-12 09:00:00,Short,182.7,500,91350,0.24,0.04,0.97,0.16,-0.03,0.00,98.81,9.88
94,Exit short,2023-10-13 13:00:00,Trail,181.62,500,90810,-0.06,-0.01,0.61,0.10,-0.03,0.00,98.76,9.88
94,Entry short,2023-10-13 08:00:00,Short,181.62,500,90810,-0.06,-0.01,0.61,0.10,-0.03,0.00,98.76,9.88
95,Exit short,2023-10-18 23:00:00,Trail,181.71,500,90765,-0.66,-0.11,0,0.00,-0.63,-0.10,98.1,9.81
95,Entry short,2023-10-18 22:00:00,Short,181.53,500,90765,-0.66,-0.11,0,0.00,-0.63,-0.10,98.1,9.81
96,Exit long,2023-10-24 00:00:00,Trail,183.51,500,91350,2.65,0.43,3.28,0.54,-0.03,0.00,100.75,10.07
96,Entry long,2023-10-23 07:00:00,Long,182.7,500,91350,2.65,0.43,3.28,0.54,-0.03,0.00,100.75,10.07
97,Exit short,2023-10-24 17:00:00,Trail,182.34,500,91260,0.54,0.09,1.17,0.19,-0.03,0.00,101.29,10.13
97,Entry short,2023-10-24 07:00:00,Short,182.52,500,91260,0.54,0.09,1.17,0.19,-0.03,0.00,101.29,10.13
98,Exit short,2023-10-27 13:00:00,Trail,181.35,500,90630,-0.35,-0.06,0.27,0.05,-0.33,-0.05,100.94,10.09
98,Entry short,2023-10-27 10:00:00,Short,181.26,500,90630,-0.35,-0.06,0.27,0.05,-0.33,-0.05,100.94,10.09
99,Exit long,2023-10-31 04:00:00,Trail,183.6,500,91125,4.47,0.73,5.1,0.83,-0.03,0.00,105.41,10.54
99,Entry long,2023-10-30 21:00:00,Long,182.25,500,91125,4.47,0.73,5.1,0.83,-0.03,0.00,105.41,10.54
100,Exit long,2023-11-06 04:00:00,Trail,185.67,500,92250,3.86,0.62,4.49,0.73,-0.03,0.00,109.26,10.93
100,Entry long,2023-11-03 08:00:00,Long,184.5,500,92250,3.86,0.62,4.49,0.73,-0.03,0.00,109.26,10.93
101,Exit long,2023-11-14 03:00:00,Trail,186.39,500,92970,1.43,0.23,2.05,0.33,-0.03,0.00,110.69,11.07
101,Entry long,2023-11-13 09:00:00,Long,185.94,500,92970,1.43,0.23,2.05,0.33,-0.03,0.00,110.69,11.07
102,Exit short,2023-11-16 21:00:00,Trail,186.93,500,93375,-0.65,-0.11,0,0.00,-0.63,-0.10,110.04,11.00
102,Entry short,2023-11-16 18:00:00,Short,186.75,500,93375,-0.65,-0.11,0,0.00,-0.63,-0.10,110.04,11.00
103,Exit long,2023-11-19 16:00:00,Trail,186.57,500,93330,-0.36,-0.06,0.27,0.04,-0.33,-0.05,109.68,10.97
103,Entry long,2023-11-19 15:00:00,Long,186.66,500,93330,-0.36,-0.06,0.27,0.04,-0.33,-0.05,109.68,10.97
104,Exit short,2023-11-20 05:00:00,Trail,185.04,500,92790,1.75,0.28,2.37,0.38,-0.03,0.00,111.42,11.14
104,Entry short,2023-11-20 00:00:00,Short,185.58,500,92790,1.75,0.28,2.37,0.38,-0.03,0.00,111.42,11.14
105,Exit long,2023-11-21 14:00:00,Trail,185.85,500,92925,-0.06,-0.01,0.58,0.09,-0.03,0.00,111.37,11.14
105,Entry long,2023-11-21 11:00:00,Long,185.85,500,92925,-0.06,-0.01,0.58,0.09,-0.03,0.00,111.37,11.14
106,Exit long,2023-11-26 16:00:00,Trail,188.37,500,93825,2.35,0.37,2.98,0.47,-0.03,0.00,113.72,11.37
106,Entry long,2023-11-24 00:00:00,Long,187.65,500,93825,2.35,0.37,2.98,0.47,-0.03,0.00,113.72,11.37
107,Exit short,2023-12-03 19:00:00,Trail,185.94,500,93105,0.86,0.14,1.5,0.24,-0.03,0.00,114.58,11.46
107,Entry short,2023-12-03 15:00:00,Short,186.21,500,93105,0.86,0.14,1.5,0.24,-0.03,0.00,114.58,11.46
108,Exit short,2023-12-07 12:00:00,Trail,180.81,500,92250,12.46,1.99,13.1,2.09,-0.03,0.00,127.04,12.70
108,Entry short,2023-12-06 17:00:00,Short,184.5,500,92250,12.46,1.99,13.1,2.09,-0.03,0.00,127.04,12.70
109,Exit long,2023-12-11 06:00:00,Trail,183.87,500,90945,6.77,1.08,7.42,1.18,-0.03,0.00,133.81,13.38
109,Entry long,2023-12-08 10:00:00,Long,181.89,500,90945,6.77,1.08,7.42,1.18,-0.03,0.00,133.81,13.38
110,Exit short,2023-12-12 07:00:00,Trail,182.7,500,91440,0.56,0.09,1.39,0.22,-0.03,0.00,134.37,13.44
110,Entry short,2023-12-11 21:00:00,Short,182.88,500,91440,0.56,0.09,1.39,0.22,-0.03,0.00,134.37,13.44
111,Exit short,2023-12-13 15:00:00,Trail,180.18,500,90990,6.24,0.98,6.9,1.08,-0.03,0.00,140.61,14.06
111,Entry short,2023-12-13 06:00:00,Short,181.98,500,90990,6.24,0.98,6.9,1.08,-0.03,0.00,140.61,14.06
112,Exit long,2023-12-14 16:00:00,Trail,181.44,500,89955,5.33,0.84,6,0.95,-0.03,0.00,145.94,14.59
112,Entry long,2023-12-14 04:00:00,Long,179.91,500,89955,5.33,0.84,6,0.95,-0.03,0.00,145.94,14.59
113,Exit long,2023-12-18 20:00:00,Trail,181.62,500,90810,-0.06,-0.01,0.6,0.09,-0.03,0.00,145.88,14.59
113,Entry long,2023-12-18 18:00:00,Long,181.62,500,90810,-0.06,-0.01,0.6,0.09,-0.03,0.00,145.88,14.59
114,Exit short,2023-12-20 06:00:00,Trail,181.62,500,91395,4.01,0.63,4.87,0.77,-0.03,0.00,149.89,14.99
114,Entry short,2023-12-19 19:00:00,Short,182.79,500,91395,4.01,0.63,4.87,0.77,-0.03,0.00,149.89,14.99
115,Exit short,2023-12-20 21:00:00,Trail,180.72,500,90540,1.2,0.19,1.86,0.30,-0.03,0.00,151.08,15.11
115,Entry short,2023-12-20 17:00:00,Short,181.08,500,90540,1.2,0.19,1.86,0.30,-0.03,0.00,151.08,15.11
116,Exit short,2023-12-28 10:00:00,Trail,180,500,90450,3.11,0.49,3.96,0.62,-0.03,0.00,154.2,15.42
116,Entry short,2023-12-27 20:00:00,Short,180.9,500,90450,3.11,0.49,3.96,0.62,-0.03,0.00,154.2,15.42
117,Exit short,2024-01-02 07:00:00,Trail,179.01,500,89640,0.9,0.14,1.57,0.25,-0.03,0.00,155.1,15.51
117,Entry short,2024-01-02 06:00:00,Short,179.28,500,89640,0.9,0.14,1.57,0.25,-0.03,0.00,155.1,15.51
118,Exit long,2024-01-03 11:00:00,Trail,181.44,500,90000,5.01,0.79,5.67,0.90,-0.03,0.00,160.11,16.01
118,Entry long,2024-01-02 23:00:00,Long,180,500,90000,5.01,0.79,5.67,0.90,-0.03,0.00,160.11,16.01
119,Exit short,2024-01-08 02:00:00,Trail,183.33,500,91575,-0.68,-0.11,0,0.00,-0.65,-0.10,159.43,15.94
119,Entry short,2024-01-08 01:00:00,Short,183.15,500,91575,-0.68,-0.11,0,0.00,-0.65,-0.10,159.43,15.94
120,Exit long,2024-01-10 19:00:00,Trail,185.58,500,92070,4.88,0.77,5.53,0.88,-0.03,0.00,164.31,16.43
120,Entry long,2024-01-10 00:00:00,Long,184.14,500,92070,4.88,0.77,5.53,0.88,-0.03,0.00,164.31,16.43
121,Exit short,2024-01-12 13:00:00,Trail,184.77,500,92385,-0.06,-0.01,0.59,0.09,-0.03,0.00,164.25,16.43
121,Entry short,2024-01-12 05:00:00,Short,184.77,500,92385,-0.06,-0.01,0.59,0.09,-0.03,0.00,164.25,16.43
122,Exit long,2024-01-17 05:00:00,Trail,187.2,500,93060,3.61,0.57,4.25,0.67,-0.03,0.00,167.86,16.79
122,Entry long,2024-01-16 22:00:00,Long,186.12,500,93060,3.61,0.57,4.25,0.67,-0.03,0.00,167.86,16.79
123,Exit long,2024-01-18 23:00:00,Trail,188.55,500,94320,-0.36,-0.06,0.27,0.04,-0.33,-0.05,167.5,16.75
123,Entry long,2024-01-18 21:00:00,Long,188.64,500,94320,-0.36,-0.06,0.27,0.04,-0.33,-0.05,167.5,16.75
124,Exit short,2024-01-30 05:00:00,Trail,186.93,500,93645,1.16,0.18,1.8,0.28,-0.42,-0.07,168.66,16.87
124,Entry short,2024-01-29 17:00:00,Short,187.29,500,93645,1.16,0.18,1.8,0.28,-0.42,-0.07,168.66,16.87
125,Exit short,2024-01-31 12:00:00,Trail,186.3,500,93150,-0.06,-0.01,0.58,0.09,-0.03,0.00,168.6,16.86
125,Entry short,2024-01-31 07:00:00,Short,186.3,500,93150,-0.06,-0.01,0.58,0.09,-0.03,0.00,168.6,16.86
126,Exit long,2024-02-02 06:00:00,Trail,187.29,500,93330,2.09,0.33,2.74,0.43,-0.42,-0.07,170.69,17.07
126,Entry long,2024-02-01 14:00:00,Long,186.66,500,93330,2.09,0.33,2.74,0.43,-0.42,-0.07,170.69,17.07
127,Exit short,2024-02-06 00:00:00,Trail,186.48,500,93240,-0.06,-0.01,0.58,0.09,-0.03,0.00,170.64,17.06
127,Entry short,2024-02-05 06:00:00,Short,186.48,500,93240,-0.06,-0.01,0.58,0.09,-0.03,0.00,170.64,17.06
128,Exit long,2024-02-09 01:00:00,Trail,188.46,500,93960,1.75,0.28,2.38,0.38,-0.03,0.00,172.38,17.24
128,Entry long,2024-02-08 02:00:00,Long,187.92,500,93960,1.75,0.28,2.38,0.38,-0.03,0.00,172.38,17.24
129,Exit long,2024-02-13 11:00:00,Trail,189.72,500,94590,1.75,0.28,2.67,0.42,-0.03,0.00,174.13,17.41
129,Entry long,2024-02-12 23:00:00,Long,189.18,500,94590,1.75,0.28,2.67,0.42,-0.03,0.00,174.13,17.41
130,Exit short,2024-02-15 06:00:00,Trail,188.55,500,94410,0.84,0.13,1.6,0.25,-0.04,-0.01,174.97,17.50
130,Entry short,2024-02-14 17:00:00,Short,188.82,500,94410,0.84,0.13,1.6,0.25,-0.04,-0.01,174.97,17.50
131,Exit long,2024-02-22 01:00:00,Trail,190.53,500,95265,-0.06,-0.01,0.57,0.09,-0.03,0.00,174.91,17.49
131,Entry long,2024-02-22 00:00:00,Long,190.53,500,95265,-0.06,-0.01,0.57,0.09,-0.03,0.00,174.91,17.49
132,Exit short,2024-02-29 01:00:00,Trail,189.63,500,94815,-0.06,-0.01,0.57,0.09,-0.03,0.00,174.86,17.49
132,Entry short,2024-02-28 23:00:00,Short,189.63,500,94815,-0.06,-0.01,0.57,0.09,-0.03,0.00,174.86,17.49
133,Exit long,2024-03-04 21:00:00,Trail,190.89,500,95535,-0.66,-0.10,0.12,0.02,-0.63,-0.10,174.2,17.42
133,Entry long,2024-03-04 07:00:00,Long,191.07,500,95535,-0.66,-0.10,0.12,0.02,-0.63,-0.10,174.2,17.42
134,Exit short,2024-03-07 01:00:00,Trail,188.64,500,94680,2.35,0.37,3.1,0.49,-0.06,-0.01,176.55,17.65
134,Entry short,2024-03-06 17:00:00,Short,189.36,500,94680,2.35,0.37,3.1,0.49,-0.06,-0.01,176.55,17.65
135,Exit long,2024-03-07 16:00:00,Trail,189.45,500,94815,-0.67,-0.10,0.1,0.02,-0.64,-0.10,175.88,17.59
135,Entry long,2024-03-07 10:00:00,Long,189.63,500,94815,-0.67,-0.10,0.1,0.02,-0.64,-0.10,175.88,17.59
136,Exit long,2024-03-17 15:00:00,Trail,189.72,500,94950,-0.66,-0.10,0,0.00,-0.63,-0.10,175.22,17.52
136,Entry long,2024-03-15 12:00:00,Long,189.9,500,94950,-0.66,-0.10,0,0.00,-0.63,-0.10,175.22,17.52
137,Exit long,2024-03-19 00:00:00,Trail,190.89,500,95400,0.24,0.04,0.88,0.14,-0.03,0.00,175.46,17.55
137,Entry long,2024-03-18 22:00:00,Long,190.8,500,95400,0.24,0.04,0.88,0.14,-0.03,0.00,175.46,17.55
138,Exit short,2024-03-22 05:00:00,Trail,190.8,500,96075,4.39,0.69,5.01,0.79,-0.03,0.00,179.86,17.99
138,Entry short,2024-03-21 08:00:00,Short,192.15,500,96075,4.39,0.69,5.01,0.79,-0.03,0.00,179.86,17.99
139,Exit long,2024-04-04 04:00:00,Trail,191.97,500,95715,1.72,0.27,2.34,0.37,-0.03,0.00,181.58,18.16
139,Entry long,2024-04-03 07:00:00,Long,191.43,500,95715,1.72,0.27,2.34,0.37,-0.03,0.00,181.58,18.16
140,Exit short,2024-04-04 20:00:00,Trail,190.98,500,95490,-0.06,-0.01,0.57,0.09,-0.03,0.00,181.52,18.15
140,Entry short,2024-04-04 17:00:00,Short,190.98,500,95490,-0.06,-0.01,0.57,0.09,-0.03,0.00,181.52,18.15
141,Exit long,2024-04-09 07:00:00,Trail,192.51,500,96075,1.13,0.18,1.81,0.29,-0.03,0.00,182.65,18.26
141,Entry long,2024-04-08 13:00:00,Long,192.15,500,96075,1.13,0.18,1.81,0.29,-0.03,0.00,182.65,18.26
142,Exit short,2024-04-10 23:00:00,Trail,191.88,500,95895,-0.35,-0.06,0.35,0.06,-0.32,-0.05,182.3,18.23
142,Entry short,2024-04-10 15:00:00,Short,191.79,500,95895,-0.35,-0.06,0.35,0.06,-0.32,-0.05,182.3,18.23
143,Exit short,2024-04-12 08:00:00,Trail,190.35,500,95625,2.88,0.46,3.49,0.56,-0.03,0.00,185.17,18.52
143,Entry short,2024-04-12 03:00:00,Short,191.25,500,95625,2.88,0.46,3.49,0.56,-0.03,0.00,185.17,18.52
144,Exit long,2024-04-15 04:00:00,Trail,192.06,500,95670,2.29,0.37,2.91,0.47,-0.03,0.00,187.46,18.75
144,Entry long,2024-04-14 19:00:00,Long,191.34,500,95670,2.29,0.37,2.91,0.47,-0.03,0.00,187.46,18.75
145,Exit short,2024-04-18 20:00:00,Trail,190.98,500,95805,1.98,0.32,2.59,0.42,-0.03,0.00,189.44,18.94
145,Entry short,2024-04-18 18:00:00,Short,191.61,500,95805,1.98,0.32,2.59,0.42,-0.03,0.00,189.44,18.94
146,Exit long,2024-04-19 07:00:00,Trail,192.33,500,95985,1.11,0.18,1.72,0.28,-0.03,0.00,190.55,19.06
146,Entry long,2024-04-19 00:00:00,Long,191.97,500,95985,1.11,0.18,1.72,0.28,-0.03,0.00,190.55,19.06
147,Exit short,2024-04-21 16:00:00,Trail,191.34,500,95670,-0.06,-0.01,0.55,0.09,-0.03,0.00,190.49,19.05
147,Entry short,2024-04-19 11:00:00,Short,191.34,500,95670,-0.06,-0.01,0.55,0.09,-0.03,0.00,190.49,19.05
148,Exit long,2024-04-24 00:00:00,Trail,192.69,500,96075,1.69,0.27,2.34,0.38,-0.03,0.00,192.18,19.22
148,Entry long,2024-04-23 06:00:00,Long,192.15,500,96075,1.69,0.27,2.34,0.38,-0.03,0.00,192.18,19.22
149,Exit long,2024-04-26 07:00:00,Trail,196.02,500,97650,2.26,0.36,2.94,0.47,-0.03,0.00,194.43,19.44
149,Entry long,2024-04-25 23:00:00,Long,195.3,500,97650,2.26,0.36,2.94,0.47,-0.03,0.00,194.43,19.44
150,Exit short,2024-04-28 22:00:00,Trail,196.29,500,99225,6.76,1.08,7.36,1.17,-0.03,0.00,201.2,20.12
150,Entry short,2024-04-28 21:00:00,Short,198.45,500,99225,6.76,1.08,7.36,1.17,-0.03,0.00,201.2,20.12
151,Exit long,2024-04-29 09:00:00,Trail,196.47,500,98055,1.08,0.17,1.68,0.27,-0.03,0.00,202.28,20.23
151,Entry long,2024-04-29 06:00:00,Long,196.11,500,98055,1.08,0.17,1.68,0.27,-0.03,0.00,202.28,20.23
152,Exit long,2024-05-01 03:00:00,Trail,197.19,500,98460,0.8,0.13,1.4,0.22,-0.03,0.00,203.07,20.31
152,Entry long,2024-04-30 05:00:00,Long,196.92,500,98460,0.8,0.13,1.4,0.22,-0.03,0.00,203.07,20.31
153,Exit short,2024-05-01 15:00:00,Trail,193.5,500,97965,7.81,1.23,8.24,1.33,-0.03,0.00,210.88,21.09
153,Entry short,2024-05-01 13:00:00,Short,195.93,500,97965,7.81,1.23,8.24,1.33,-0.03,0.00,210.88,21.09
154,Exit long,2024-05-01 19:00:00,Trail,195.39,500,97245,2.85,0.45,3.47,0.55,-0.03,0.00,213.73,21.37
154,Entry long,2024-05-01 15:00:00,Long,194.49,500,97245,2.85,0.45,3.47,0.55,-0.03,0.00,213.73,21.37
155,Exit short,2024-05-02 13:00:00,Trail,192.15,500,97200,7.22,1.15,7.83,1.25,-0.03,0.00,220.96,22.10
155,Entry short,2024-05-02 01:00:00,Short,194.4,500,97200,7.22,1.15,7.83,1.25,-0.03,0.00,220.96,22.10
156,Exit long,2024-05-06 09:00:00,Trail,193.41,500,96480,1.41,0.22,2.03,0.32,-0.03,0.00,222.37,22.24
156,Entry long,2024-05-05 20:00:00,Long,192.96,500,96480,1.41,0.22,2.03,0.32,-0.03,0.00,222.37,22.24
157,Exit long,2024-05-10 13:00:00,Trail,195.12,500,97605,-0.35,-0.06,0.26,0.04,-0.32,-0.05,222.02,22.20
157,Entry long,2024-05-10 08:00:00,Long,195.21,500,97605,-0.35,-0.06,0.26,0.04,-0.32,-0.05,222.02,22.20
158,Exit short,2024-05-15 18:00:00,Trail,195.39,500,97695,-0.06,-0.01,0.55,0.09,-0.03,0.00,221.97,22.20
158,Entry short,2024-05-15 17:00:00,Short,195.39,500,97695,-0.06,-0.01,0.55,0.09,-0.03,0.00,221.97,22.20
159,Exit long,2024-05-16 23:00:00,Trail,197.1,500,98190,2.26,0.36,2.87,0.45,-0.03,0.00,224.22,22.42
159,Entry long,2024-05-16 05:00:00,Long,196.38,500,98190,2.26,0.36,2.87,0.45,-0.03,0.00,224.22,22.42
160,Exit long,2024-05-28 22:00:00,Trail,200.52,500,100125,0.8,0.13,1.4,0.22,-0.29,-0.05,225.02,22.50
160,Entry long,2024-05-27 07:00:00,Long,200.25,500,100125,0.8,0.13,1.4,0.22,-0.29,-0.05,225.02,22.50
161,Exit short,2024-05-30 00:00:00,Trail,199.08,500,99765,1.37,0.22,1.97,0.31,-0.03,0.00,226.39,22.64
161,Entry short,2024-05-29 22:00:00,Short,199.53,500,99765,1.37,0.22,1.97,0.31,-0.03,0.00,226.39,22.64
162,Exit long,2024-06-02 23:00:00,Trail,200.34,500,100215,-0.34,-0.05,0.5,0.08,-0.57,-0.09,226.05,22.60
162,Entry long,2024-05-31 13:00:00,Long,200.43,500,100215,-0.34,-0.05,0.5,0.08,-0.57,-0.09,226.05,22.60
163,Exit short,2024-06-03 04:00:00,Trail,199.53,500,99675,-0.63,-0.10,0,0.00,-0.6,-0.09,225.42,22.54
163,Entry short,2024-06-03 03:00:00,Short,199.35,500,99675,-0.63,-0.10,0,0.00,-0.6,-0.09,225.42,22.54
164,Exit short,2024-06-04 05:00:00,Trail,197.82,500,99585,4.26,0.67,4.9,0.77,-0.03,0.00,229.68,22.97
164,Entry short,2024-06-04 00:00:00,Short,199.17,500,99585,4.26,0.67,4.9,0.77,-0.03,0.00,229.68,22.97
165,Exit long,2024-06-05 03:00:00,Trail,199.35,500,99360,1.97,0.31,2.59,0.40,-0.03,0.00,231.66,23.17
165,Entry long,2024-06-04 21:00:00,Long,198.72,500,99360,1.97,0.31,2.59,0.40,-0.03,0.00,231.66,23.17
166,Exit long,2024-06-13 02:00:00,Trail,201.06,500,100575,-0.35,-0.05,0.26,0.04,-0.32,-0.05,231.31,23.13
166,Entry long,2024-06-13 01:00:00,Long,201.15,500,100575,-0.35,-0.05,0.26,0.04,-0.32,-0.05,231.31,23.13
167,Exit short,2024-06-13 10:00:00,Trail,200.16,500,100035,-0.35,-0.05,0.26,0.04,-0.32,-0.05,230.96,23.10
167,Entry short,2024-06-13 09:00:00,Short,200.07,500,100035,-0.35,-0.05,0.26,0.04,-0.32,-0.05,230.96,23.10
168,Exit long,2024-06-13 23:00:00,Trail,201.33,500,100575,0.51,0.08,1.12,0.17,-0.03,0.00,231.48,23.15
168,Entry long,2024-06-13 20:00:00,Long,201.15,500,100575,0.51,0.08,1.12,0.17,-0.03,0.00,231.48,23.15
169,Exit short,2024-06-14 08:00:00,Trail,199.44,500,100170,2.81,0.44,3.41,0.53,-0.03,0.00,234.28,23.43
169,Entry short,2024-06-14 02:00:00,Short,200.34,500,100170,2.81,0.44,3.41,0.53,-0.03,0.00,234.28,23.43
170,Exit long,2024-06-18 04:00:00,Trail,200.43,500,100170,0.23,0.04,0.85,0.13,-0.03,0.00,234.51,23.45
170,Entry long,2024-06-17 22:00:00,Long,200.34,500,100170,0.23,0.04,0.85,0.13,-0.03,0.00,234.51,23.45
171,Exit long,2024-06-23 18:00:00,Trail,201.87,500,100980,-0.34,-0.05,0.25,0.04,-0.31,-0.05,234.17,23.42
