Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
52,Entry long,2025-03-27 23:00:00,[R001L rA:44 R:72 V:0.92 B:0.94 M:+ ST:U CH:31 CF:+ MI:89 SK:97/90 PS:U SQ:0 LC:0.41],151.05,1000,151050,-0.43,-0.04,0,0.00,-0.38,-0.04,122.22,12.22
53,Exit short,2025-03-31 00:00:00,[ExitS rA:67 R:25 V:2.36 B:0.18 M:- ST:D CH:5 CF:- MI:19 SK:5/2 PS:D SQ:0 LC:-0.43],149.55,1000,149950,2.57,0.26,2.95,0.30,-0.05,0.00,124.79,12.48
53,Entry short,2025-03-28 19:00:00,[R001S rA:60 R:25 V:0.66 B:0.1 M:- ST:D CH:18 CF:- MI:27 SK:0/0 PS:D SQ:0 LC:-0.42],149.95,1000,149950,2.57,0.26,2.95,0.30,-0.05,0.00,124.79,12.48
54,Exit short,2025-04-11 02:00:00,[ExitS rA:53 R:19 V:3.97 B:0.2 M:- ST:D CH:5 CF:- MI:33 SK:5/2 PS:D SQ:0 LC:-0.46],143.5,1000,144450,6.47,0.65,7.21,0.72,-0.56,-0.06,131.26,13.13
54,Entry short,2025-04-10 22:00:00,[R001S rA:37 R:29 V:1.31 B:0.24 M:+ ST:D CH:29 CF:- MI:49 SK:0/1 PS:D SQ:0 LC:-0.32],144.45,1000,144450,6.47,0.65,7.21,0.72,-0.56,-0.06,131.26,13.13
55,Exit short,2025-04-21 19:00:00,[ExitS rA:74 R:40 V:0.24 B:0.33 M:+ ST:D CH:36 CF:- MI:30 SK:5/2 PS:D SQ:0 LC:-0.51],140.7,1000,140650,-0.45,-0.05,0,0.00,-0.4,-0.04,130.81,13.08
55,Entry short,2025-04-21 19:00:00,[R001S rA:61 R:32 V:0.98 B:0.09 M:+ ST:D CH:34 CF:- MI:32 SK:37/50 PS:D SQ:0 LC:-0.33],140.65,1000,140650,-0.45,-0.05,0,0.00,-0.4,-0.04,130.81,13.08
56,Exit long,2025-04-22 23:00:00,[ExitL rA:35 R:85 V:2.65 B:0.8 M:- ST:U CH:5 CF:+ MI:79 SK:90/95 PS:U SQ:0 LC:0.3],142.9,1000,141450,10.06,1.01,10.81,1.09,-0.05,0.00,140.87,14.09
56,Entry long,2025-04-22 19:00:00,[R001L rA:35 R:80 V:0.55 B:0.9 M:+ ST:U CH:18 CF:+ MI:54 SK:100/94 PS:U SQ:0 LC:0.29],141.45,1000,141450,10.06,1.01,10.81,1.09,-0.05,0.00,140.87,14.09
57,Exit long,2025-04-25 15:00:00,[ExitL rA:87 R:68 V:1.01 B:0.83 M:+ ST:U CH:11 CF:+ MI:82 SK:95/98 PS:U SQ:0 LC:0.66],143.85,1000,143650,1.3,0.13,2.05,0.20,-0.05,0.00,142.17,14.22
57,Entry long,2025-04-25 13:00:00,[R001L rA:52 R:67 V:0.9 B:0.99 M:- ST:U CH:39 CF:- MI:50 SK:100/99 PS:U SQ:0 LC:0.5],143.65,1000,143650,1.3,0.13,2.05,0.20,-0.05,0.00,142.17,14.22
58,Exit short,2025-04-29 17:00:00,[ExitS rA:44 R:38 V:0.42 B:0.2 M:- ST:D CH:16 CF:- MI:28 SK:10/16 PS:D SQ:0 LC:-0.19],142.15,1000,142100,-0.45,-0.05,0,0.00,-0.4,-0.04,141.72,14.17
58,Entry short,2025-04-29 17:00:00,[R001S rA:45 R:29 V:0.78 B:0.03 M:- ST:D CH:10 CF:- MI:25 SK:11/28 PS:D SQ:0 LC:-0.2],142.1,1000,142100,-0.45,-0.05,0,0.00,-0.4,-0.04,141.72,14.17
59,Exit long,2025-05-01 20:00:00,[ExitL rA:42 R:81 V:1.51 B:0.8 M:+ ST:U CH:8 CF:+ MI:89 SK:94/98 PS:U SQ:0 LC:0.3],145.55,1000,144900,4.44,0.44,5.19,0.51,-0.05,0.00,146.16,14.62
59,Entry long,2025-05-01 14:00:00,[R001L rA:36 R:79 V:0.46 B:0.97 M:+ ST:U CH:15 CF:+ MI:73 SK:88/71 PS:U SQ:0 LC:0.31],144.9,1000,144900,4.44,0.44,5.19,0.51,-0.05,0.00,146.16,14.62
60,Exit short,2025-05-06 22:00:00,[ExitS rA:32 R:34 V:0.33 B:0.24 M:+ ST:D CH:22 CF:- MI:25 SK:6/2 PS:D SQ:0 LC:-0.07],142.5,1000,142550,0.25,0.03,0.99,0.10,-0.05,0.00,146.41,14.64
