Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
30,Exit long,2025-02-03 08:00:00,[ExitL 5A:55 bA:55 R:78 V:1.76 B:0.8 M:+ ST:U CH:5 CF:+ MI:85 SK:85 PS:U SQ:0],191.95,1000,191850,0.52,0.04,1.23,0.10,-0.06,0.00,69.29,6.93
30,Entry long,2025-02-03 07:00:00,[R001L 5A:46 bA:46 R:86 V:0.81 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],191.85,1000,191850,0.52,0.04,1.23,0.10,-0.06,0.00,69.29,6.93
31,Exit long,2025-02-03 17:00:00,[ExitL 5A:67 bA:67 R:80 V:1.95 B:0.8 M:+ ST:U CH:5 CF:+ MI:82 SK:85 PS:U SQ:0],192.95,1000,192550,2.46,0.20,3.17,0.25,-0.06,0.00,71.75,7.18
31,Entry long,2025-02-03 13:00:00,[R001L 5A:51 bA:51 R:83 V:0.4 B:0.93 M:+ ST:U CH:8 CF:+ MI:47 SK:100 PS:U SQ:0],192.55,1000,192550,2.46,0.20,3.17,0.25,-0.06,0.00,71.75,7.18
32,Exit short,2025-02-04 22:00:00,[ExitS 5A:72 bA:72 R:18 V:2.47 B:0.2 M:- ST:D CH:5 CF:- MI:22 SK:15 PS:D SQ:0],191.2,1000,192350,7.32,0.59,7.71,0.62,-0.06,0.00,79.08,7.91
32,Entry short,2025-02-04 15:00:00,[R001S 5A:25 bA:25 R:29 V:0.81 B:-0.01 M:- ST:D CH:12 CF:- MI:19 SK:0 PS:D SQ:0],192.35,1000,192350,7.32,0.59,7.71,0.62,-0.06,0.00,79.08,7.91
33,Exit short,2025-02-05 08:00:00,[ExitS 5A:55 bA:55 R:23 V:2.99 B:0.2 M:- ST:D CH:5 CF:- MI:31 SK:15 PS:D SQ:0],190.55,1000,191350,5.06,0.41,5.77,0.47,-0.06,0.00,84.13,8.41
33,Entry short,2025-02-05 06:00:00,[R001S 5A:25 bA:25 R:39 V:0.56 B:0.07 M:+ ST:D CH:37 CF:- MI:41 SK:0 PS:D SQ:0],191.35,1000,191350,5.06,0.41,5.77,0.47,-0.06,0.00,84.13,8.41
34,Exit short,2025-02-06 06:00:00,[ExitS 5A:85 bA:85 R:15 V:2.69 B:0.2 M:+ ST:D CH:5 CF:- MI:23 SK:15 PS:D SQ:0],188.45,1000,188400,-0.45,-0.04,0.27,0.02,-0.39,-0.03,83.68,8.37
34,Entry short,2025-02-06 05:00:00,[R001S 5A:84 bA:84 R:3 V:1.49 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],188.4,1000,188400,-0.45,-0.04,0.27,0.02,-0.39,-0.03,83.68,8.37
