Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
12,Exit short,2025-05-07 06:30:00,[ExitS rA:74 R:15 V:0.39 B:0.2 M:- ST:D CH:8 CF:- MI:3 SK:15 PS:D SQ:0 VR:20 ET:9:30],40937,1,20592,121.6,0.59,135.55,0.66,-0.95,0.00,1875.2,187.52
12,Entry short,2025-05-06 06:30:00,[R001S rA:62 R:12 V:1.26 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 VR:1 ET:9:30],41184,1,20592,121.6,0.59,135.55,0.66,-0.95,0.00,1875.2,187.52
13,Exit long,2025-05-08 10:30:00,[ExitL rA:79 R:86 V:0.73 B:0.8 M:- ST:U CH:5 CF:+ MI:94 SK:85 PS:U SQ:0 VR:20 ET:13:30],41756,1,20696,180.1,0.87,194.05,0.94,-0.95,0.00,2055.3,205.53
13,Entry long,2025-05-08 06:30:00,[R001L rA:69 R:89 V:0.89 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 VR:1 ET:9:30],41392,1,20696,180.1,0.87,194.05,0.94,-0.95,0.00,2055.3,205.53
14,Exit short,2025-05-09 11:30:00,[ExitS rA:83 R:19 V:4.58 B:0.2 M:- ST:D CH:5 CF:- MI:30 SK:15 PS:D SQ:0 VR:9.6 ET:13:30],41327,1,20683,17.6,0.09,31.55,0.15,-0.95,0.00,2072.9,207.29
14,Entry short,2025-05-09 08:30:00,[R001S rA:53 R:9 V:0.69 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 VR:0 ET:11:30],41366,1,20683,17.6,0.09,31.55,0.15,-0.95,0.00,2072.9,207.29
15,Exit long,2025-05-13 06:30:00,[ExitL rA:89 R:87 V:1.11 B:0.8 M:- ST:U CH:8 CF:+ MI:92 SK:85 PS:U SQ:0 VR:8.57 ET:9:30],42471,1,21157.5,76.1,0.36,90.05,0.43,-0.95,0.00,2149,214.90
15,Entry long,2025-05-12 09:30:00,[R001L rA:53 R:100 V:1.1 B:0.91 M:+ ST:U CH:4 CF:+ MI:100 SK:100 PS:U SQ:0 VR:0 ET:12:30],42315,1,21157.5,76.1,0.36,90.05,0.43,-0.95,0.00,2149,214.90
16,Exit long,2025-05-19 07:30:00,[ExitL rA:98 R:85 V:3.59 B:0.8 M:- ST:U CH:5 CF:+ MI:66 SK:85 PS:U SQ:0 VR:12.63 ET:10:30],42692,1,21229,115.1,0.54,129.05,0.61,-0.95,0.00,2264.1,226.41
16,Entry long,2025-05-16 08:30:00,[R001L rA:97 R:92 V:0.68 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 VR:0 ET:11:30],42458,1,21229,115.1,0.54,129.05,0.61,-0.95,0.00,2264.1,226.41
17,Exit short,2025-05-21 10:30:00,[ExitS rA:70 R:15 V:4.54 B:0.2 M:+ ST:D CH:5 CF:- MI:37 SK:15 PS:D SQ:0 VR:5.97 ET:13:30],42003,1,21144.5,141.1,0.67,155.05,0.73,-0.95,0.00,2405.2,240.52
17,Entry short,2025-05-21 09:30:00,[R001S rA:63 R:13 V:0.62 B:0.03 M:- ST:D CH:14 CF:- MI:60 SK:0 PS:D SQ:0 VR:4.26 ET:12:30],42289,1,21144.5,141.1,0.67,155.05,0.73,-0.95,0.00,2405.2,240.52
18,Exit short,2025-05-23 07:30:00,[ExitS rA:88 R:17 V:3.92 B:0.2 M:- ST:D CH:5 CF:- MI:30 SK:15 PS:D SQ:0 VR:20 ET:10:30],41639,1,20904,82.6,0.40,96.55,0.46,-0.95,0.00,2487.8,248.78
18,Entry short,2025-05-23 06:30:00,[R001S rA:67 R:12 V:0.98 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 VR:0 ET:9:30],41808,1,20904,82.6,0.40,96.55,0.46,-0.95,0.00,2487.8,248.78
19,Exit long,2025-05-28 06:30:00,[ExitL rA:87 R:86 V:2.13 B:0.8 M:- ST:U CH:8 CF:+ MI:86 SK:85 PS:U SQ:0 VR:15.9 ET:9:30],42432,1,21086,128.1,0.61,142.05,0.67,-0.95,0.00,2615.9,261.59
19,Entry long,2025-05-27 07:30:00,[R001L rA:65 R:96 V:1.45 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 VR:5.3 ET:10:30],42172,1,21086,128.1,0.61,142.05,0.67,-0.95,0.00,2615.9,261.59
20,Exit long,2025-06-04 08:30:00,[ExitL rA:92 R:83 V:0.59 B:0.8 M:+ ST:U CH:10 CF:+ MI:95 SK:85 PS:U SQ:0 VR:12.11 ET:11:30],42614,1,21242,63.1,0.30,77.05,0.36,-0.95,0.00,2679,267.90
20,Entry long,2025-06-03 08:30:00,[R001L rA:76 R:90 V:0.47 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 VR:0 ET:11:30],42484,1,21242,63.1,0.30,77.05,0.36,-0.95,0.00,2679,267.90
21,Exit long,2025-06-06 07:30:00,[ExitL rA:74 R:83 V:2.27 B:0.8 M:+ ST:U CH:5 CF:+ MI:82 SK:85 PS:U SQ:0 VR:2.77 ET:10:30],42835,1,21346,69.6,0.33,83.55,0.39,-0.95,0.00,2748.6,274.86
21,Entry long,2025-06-06 06:30:00,[R001L rA:55 R:88 V:0.77 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 VR:3.54 ET:9:30],42692,1,21346,69.6,0.33,83.55,0.39,-0.95,0.00,2748.6,274.86
22,Exit long,2025-06-11 10:30:00,[ExitL rA:74 R:78 V:0.34 B:0.8 M:+ ST:U CH:8 CF:+ MI:98 SK:85 PS:U SQ:0 VR:20 ET:13:30],43108,1,21560.5,-8.4,-0.04,0,0.00,-7.45,-0.03,2740.2,274.02
22,Entry long,2025-06-11 10:30:00,[R001L rA:52 R:90 V:0.93 B:0.91 M:+ ST:U CH:3 CF:+ MI:100 SK:100 PS:U SQ:0 VR:1 ET:12:30],43121,1,21560.5,-8.4,-0.04,0,0.00,-7.45,-0.03,2740.2,274.02
23,Exit short,2025-06-13 07:30:00,[ExitS rA:76 R:14 V:1.72 B:0.2 M:+ ST:D CH:5 CF:- MI:13 SK:15 PS:D SQ:0 VR:20 ET:10:30],42315,1,21339.5,180.1,0.84,194.05,0.91,-0.95,0.00,2920.3,292.03
23,Entry short,2025-06-13 06:30:00,[R001S rA:52 R:12 V:0.45 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 VR:0 ET:9:30],42679,1,21339.5,180.1,0.84,194.05,0.91,-0.95,0.00,2920.3,292.03
24,Exit short,2025-06-13 12:30:00,[ExitS rA:89 R:21 V:1.07 B:0.2 M:- ST:D CH:5 CF:- MI:9 SK:15 PS:D SQ:0 VR:20 ET:15:30],42172,1,21092.5,4.6,0.02,18.55,0.09,-0.95,0.00,2924.9,292.49
24,Entry short,2025-06-13 11:30:00,[R001S rA:52 R:11 V:0.85 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 VR:1 ET:13:30],42185,1,21092.5,4.6,0.02,18.55,0.09,-0.95,0.00,2924.9,292.49
25,Exit short,2025-06-16 12:30:00,[ExitS rA:60 R:43 V:0.9 B:0.18 M:- ST:D CH:10 CF:- MI:5 SK:15 PS:D SQ:0 VR:7.5 ET:15:30],42848,1,21437,11.1,0.05,25.05,0.12,-0.95,0.00,2936,293.60
25,Entry short,2025-06-16 11:30:00,[R001S rA:54 R:46 V:0.69 B:0.05 M:- ST:D CH:16 CF:- MI:5 SK:0 PS:D SQ:0 VR:0 ET:14:30],42874,1,21437,11.1,0.05,25.05,0.12,-0.95,0.00,2936,293.60
26,Exit long,2025-06-24 12:30:00,[ExitL rA:55 R:86 V:1.99 B:0.8 M:- ST:U CH:5 CF:+ MI:86 SK:85 PS:U SQ:0 VR:3.33 ET:15:30],43433,1,21456.5,258.1,1.20,272.05,1.27,-0.95,0.00,3194.1,319.41
26,Entry long,2025-06-24 06:30:00,[R001L rA:54 R:94 V:0.51 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 VR:0 ET:9:30],42913,1,21456.5,258.1,1.20,272.05,1.27,-0.95,0.00,3194.1,319.41
27,Exit short,2025-06-25 11:30:00,[ExitS rA:48 R:35 V:0.44 B:0.2 M:- ST:D CH:5 CF:- MI:3 SK:15 PS:D SQ:0 VR:6.67 ET:14:30],43238,1,21645,24.1,0.11,38.05,0.18,-0.95,0.00,3218.2,321.82
27,Entry short,2025-06-25 09:30:00,[R001S rA:61 R:40 V:1.1 B:0.01 M:- ST:D CH:5 CF:- MI:4 SK:0 PS:D SQ:0 VR:8.33 ET:12:30],43290,1,21645,24.1,0.11,38.05,0.18,-0.95,0.00,3218.2,321.82
28,Exit long,2025-06-27 09:30:00,[ExitL rA:96 R:86 V:1.69 B:0.8 M:- ST:U CH:5 CF:+ MI:85 SK:85 PS:U SQ:0 VR:6.25 ET:12:30],44239,1,21898.5,219.1,1.00,233.05,1.06,-0.95,0.00,3437.3,343.73
28,Entry long,2025-06-27 06:30:00,[R001L rA:67 R:97 V:0.49 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 VR:15 ET:9:30],43797,1,21898.5,219.1,1.00,233.05,1.06,-0.95,0.00,3437.3,343.73
29,Exit short,2025-06-27 12:30:00,[ExitS rA:48 R:28 V:1.97 B:0.2 M:- ST:D CH:5 CF:- MI:15 SK:15 PS:D SQ:0 VR:2.17 ET:15:30],43966,1,22035,50.1,0.23,64.05,0.29,-0.95,0.00,3487.4,348.74
29,Entry short,2025-06-27 10:30:00,[R001S rA:56 R:34 V:0.87 B:0.03 M:- ST:D CH:3 CF:- MI:0 SK:0 PS:D SQ:0 VR:0 ET:13:30],44070,1,22035,50.1,0.23,64.05,0.29,-0.95,0.00,3487.4,348.74
30,Exit long,2025-07-01 12:30:00,[ExitL rA:97 R:86 V:0.52 B:0.8 M:- ST:U CH:5 CF:+ MI:96 SK:85 PS:U SQ:0 VR:10 ET:15:30],44850,1,22204,219.1,0.99,233.05,1.05,-0.95,0.00,3706.5,370.65
