Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-02-22 12:00:00,Close entry(s) order Short,1.0636,1000,1063.2,-0.5,-0.05,0.35,0.03,-0.45,-0.04,-0.5,-0.05
1,Entry short,2023-02-22 10:00:00,[R001S 5A:26 bA:25 R:31 V:0.4 B:0.07 M:- ST:D],1.0632,1000,1063.2,-0.5,-0.05,0.35,0.03,-0.45,-0.04,-0.5,-0.05
2,Exit long,2023-02-22 15:00:00,Close entry(s) order Long,1.064,1000,1063.6,0.3,0.03,1.15,0.11,-0.05,0.00,-0.2,-0.02
2,Entry long,2023-02-22 12:00:00,[R002L 5A:28 bA:27 R:37 V:0.87 B:0.22 M:- ST:D],1.0636,1000,1063.6,0.3,0.03,1.15,0.11,-0.05,0.00,-0.2,-0.02
3,Exit long,2023-02-23 15:00:00,Close entry(s) order Long,1.0604,1000,1060,0.3,0.03,1.15,0.11,-0.05,0.00,0.11,0.01
3,Entry long,2023-02-23 11:00:00,[R002L 5A:36 bA:36 R:36 V:1.25 B:0.21 M:- ST:D],1.06,1000,1060,0.3,0.03,1.15,0.11,-0.05,0.00,0.11,0.01
4,Exit short,2023-02-23 20:00:00,Close entry(s) order Short,1.0592,1000,1058.8,-0.5,-0.05,0.35,0.03,-0.45,-0.04,-0.39,-0.04
4,Entry short,2023-02-23 16:00:00,[R001S 5A:32 bA:32 R:32 V:0.38 B:0.05 M:- ST:D],1.0588,1000,1058.8,-0.5,-0.05,0.35,0.03,-0.45,-0.04,-0.39,-0.04
5,Exit long,2023-02-28 01:00:00,Close entry(s) order Long,1.06,1000,1056.8,3.1,0.29,4.13,0.39,-0.05,0.00,2.71,0.27
5,Entry long,2023-02-27 13:00:00,[R001L 5A:34 bA:34 R:52 V:0.71 B:0.8 M:+ ST:U],1.0568,1000,1056.8,3.1,0.29,4.13,0.39,-0.05,0.00,2.71,0.27
6,Exit short,2023-02-28 08:00:00,Close entry(s) order Short,1.0596,1000,1060,0.3,0.03,1.49,0.14,-0.05,0.00,3.01,0.30
6,Entry short,2023-02-28 01:00:00,[R002S 5A:36 bA:36 R:66 V:0.51 B:0.8 M:+ ST:U],1.06,1000,1060,0.3,0.03,1.49,0.14,-0.05,0.00,3.01,0.30
7,Exit short,2023-03-01 01:00:00,Close entry(s) order Short,1.058,1000,1062.4,4.3,0.40,5.15,0.48,-0.05,0.00,7.32,0.73
7,Entry short,2023-02-28 15:00:00,[R002S 5A:40 bA:40 R:68 V:0.48 B:0.83 M:+ ST:U],1.0624,1000,1062.4,4.3,0.40,5.15,0.48,-0.05,0.00,7.32,0.73
8,Exit long,2023-03-01 13:00:00,Close entry(s) order Long,1.0676,1000,1058,9.5,0.90,10.35,0.98,-0.05,0.00,16.82,1.68
8,Entry long,2023-03-01 01:00:00,[R002L 5A:31 bA:31 R:37 V:0.59 B:0.18 M:- ST:D],1.058,1000,1058,9.5,0.90,10.35,0.98,-0.05,0.00,16.82,1.68
9,Exit short,2023-03-01 20:00:00,Close entry(s) order Short,1.066,1000,1067.6,1.5,0.14,2.35,0.22,-0.05,0.00,18.32,1.83
9,Entry short,2023-03-01 13:00:00,[R002S 5A:56 bA:56 R:78 V:1.42 B:0.8 M:+ ST:U],1.0676,1000,1067.6,1.5,0.14,2.35,0.22,-0.05,0.00,18.32,1.83
10,Exit long,2023-03-02 01:00:00,Close entry(s) order Long,1.066,1000,1066,-0.1,-0.01,0.9,0.08,-0.05,0.00,18.22,1.82
10,Entry long,2023-03-01 20:00:00,[R002L 5A:44 bA:44 R:58 V:0.79 B:0.44 M:- ST:D],1.066,1000,1066,-0.1,-0.01,0.9,0.08,-0.05,0.00,18.22,1.82
11,Exit short,2023-03-02 12:00:00,Close entry(s) order Short,1.062,1000,1064.4,2.3,0.22,2.75,0.26,-0.05,0.00,20.53,2.05
11,Entry short,2023-03-02 06:00:00,[R001S 5A:31 bA:31 R:43 V:0.97 B:0.03 M:- ST:D],1.0644,1000,1064.4,2.3,0.22,2.75,0.26,-0.05,0.00,20.53,2.05
12,Exit long,2023-03-02 12:00:00,Close entry(s) order Long,1.0616,1000,1062,-0.5,-0.05,0,0.00,-0.45,-0.04,20.03,2.00
12,Entry long,2023-03-02 12:00:00,[R002L 5A:33 bA:33 R:36 V:1.2 B:0.17 M:- ST:D],1.062,1000,1062,-0.5,-0.05,0,0.00,-0.45,-0.04,20.03,2.00
13,Exit long,2023-03-03 08:00:00,Close entry(s) order Long,1.0616,1000,1058.8,2.7,0.26,3.15,0.30,-0.05,0.00,22.73,2.27
13,Entry long,2023-03-02 18:00:00,[R002L 5A:41 bA:41 R:36 V:0.82 B:0.25 M:- ST:D],1.0588,1000,1058.8,2.7,0.26,3.15,0.30,-0.05,0.00,22.73,2.27
14,Exit short,2023-03-03 09:00:00,Close entry(s) order Short,1.0616,1000,1061.6,-0.1,-0.01,0,0.00,-0.45,-0.04,22.63,2.26
14,Entry short,2023-03-03 08:00:00,[R002S 5A:28 bA:28 R:54 V:1.25 B:0.79 M:+ ST:U],1.0616,1000,1061.6,-0.1,-0.01,0,0.00,-0.45,-0.04,22.63,2.26
15,Exit long,2023-03-06 09:00:00,Close entry(s) order Long,1.064,1000,1064.4,-0.5,-0.05,0.4,0.04,-0.45,-0.04,22.13,2.21
15,Entry long,2023-03-06 09:00:00,[R001L 5A:26 bA:26 R:72 V:1.32 B:1.02 M:+ ST:U],1.0644,1000,1064.4,-0.5,-0.05,0.4,0.04,-0.45,-0.04,22.13,2.21
16,Exit short,2023-03-06 13:00:00,Close entry(s) order Short,1.064,1000,1064,-0.1,-0.01,1.12,0.11,-0.05,0.00,22.04,2.20
16,Entry short,2023-03-06 09:00:00,[R002S 5A:27 bA:27 R:64 V:1.35 B:0.83 M:+ ST:U],1.064,1000,1064,-0.1,-0.01,1.12,0.11,-0.05,0.00,22.04,2.20
17,Exit short,2023-03-07 03:00:00,Close entry(s) order Short,1.0684,1000,1068.4,-0.1,-0.01,0.79,0.07,-0.05,0.00,21.94,2.19
17,Entry short,2023-03-06 18:00:00,[R002S 5A:47 bA:47 R:73 V:0.69 B:0.82 M:+ ST:U],1.0684,1000,1068.4,-0.1,-0.01,0.79,0.07,-0.05,0.00,21.94,2.19
18,Exit short,2023-03-08 12:00:00,Close entry(s) order Short,1.054,1000,1064.4,10.3,0.97,11.25,1.06,-0.05,0.00,32.24,3.22
18,Entry short,2023-03-07 15:00:00,[R001S 5A:28 bA:28 R:36 V:0.35 B:0.01 M:- ST:D],1.0644,1000,1064.4,10.3,0.97,11.25,1.06,-0.05,0.00,32.24,3.22
19,Exit long,2023-03-08 18:00:00,Close entry(s) order Long,1.0548,1000,1055.2,-0.5,-0.05,0,0.00,-0.45,-0.04,31.74,3.17
19,Entry long,2023-03-08 16:00:00,[R001L 5A:66 bA:66 R:37 V:0.99 B:0.48 M:+ ST:U],1.0552,1000,1055.2,-0.5,-0.05,0,0.00,-0.45,-0.04,31.74,3.17
20,Exit short,2023-03-09 13:00:00,Close entry(s) order Short,1.0568,1000,1056.4,-0.5,-0.05,0,0.00,-0.45,-0.04,31.25,3.12
20,Entry short,2023-03-09 13:00:00,[R002S 5A:44 bA:44 R:46 V:0.49 B:0.77 M:+ ST:U],1.0564,1000,1056.4,-0.5,-0.05,0,0.00,-0.45,-0.04,31.25,3.12
21,Exit short,2023-03-10 00:00:00,Close entry(s) order Short,1.0584,1000,1058,-0.5,-0.05,0.35,0.03,-0.45,-0.04,30.75,3.07
21,Entry short,2023-03-09 19:00:00,[R002S 5A:34 bA:34 R:57 V:0.41 B:0.82 M:+ ST:U],1.058,1000,1058,-0.5,-0.05,0.35,0.03,-0.45,-0.04,30.75,3.07
22,Exit long,2023-03-10 16:00:00,Close entry(s) order Long,1.0676,1000,1061.2,6.3,0.59,7.15,0.67,-0.05,0.00,37.05,3.71
22,Entry long,2023-03-10 13:00:00,[R001L 5A:31 bA:31 R:69 V:0.42 B:1.05 M:+ ST:U],1.0612,1000,1061.2,6.3,0.59,7.15,0.67,-0.05,0.00,37.05,3.71
23,Exit short,2023-03-10 18:00:00,Close entry(s) order Short,1.0664,1000,1067.6,1.1,0.10,1.55,0.15,-0.05,0.00,38.15,3.82
23,Entry short,2023-03-10 16:00:00,[R002S 5A:64 bA:64 R:79 V:0.86 B:0.8 M:+ ST:U],1.0676,1000,1067.6,1.1,0.10,1.55,0.15,-0.05,0.00,38.15,3.82
24,Exit long,2023-03-12 23:00:00,Close entry(s) order Long,1.0688,1000,1064.8,3.9,0.37,4.75,0.45,-0.05,0.00,42.05,4.21
24,Entry long,2023-03-12 21:00:00,[R002L 5A:38 bA:38 R:49 V:0.06 B:0.19 M:- ST:D],1.0648,1000,1064.8,3.9,0.37,4.75,0.45,-0.05,0.00,42.05,4.21
25,Exit long,2023-03-13 08:00:00,Close entry(s) order Long,1.072,1000,1068,3.9,0.37,4.75,0.44,-0.05,0.00,45.96,4.60
25,Entry long,2023-03-13 02:00:00,[R002L 5A:32 bA:32 R:58 V:0.27 B:0.62 M:- ST:D],1.068,1000,1068,3.9,0.37,4.75,0.44,-0.05,0.00,45.96,4.60
26,Exit short,2023-03-13 12:00:00,Close entry(s) order Short,1.0676,1000,1070.4,2.7,0.25,3.55,0.33,-0.05,0.00,48.66,4.87
26,Entry short,2023-03-13 09:00:00,[R001S 5A:39 bA:39 R:54 V:0.55 B:0.52 M:- ST:D],1.0704,1000,1070.4,2.7,0.25,3.55,0.33,-0.05,0.00,48.66,4.87
27,Exit long,2023-03-13 23:00:00,Close entry(s) order Long,1.0728,1000,1067.6,5.1,0.48,6.19,0.58,-0.05,0.00,53.76,5.38
27,Entry long,2023-03-13 12:00:00,[R002L 5A:31 bA:31 R:38 V:0.77 B:0.18 M:- ST:D],1.0676,1000,1067.6,5.1,0.48,6.19,0.58,-0.05,0.00,53.76,5.38
28,Exit short,2023-03-14 08:00:00,Close entry(s) order Short,1.07,1000,1071.2,1.1,0.10,1.95,0.18,-0.05,0.00,54.86,5.49
28,Entry short,2023-03-14 02:00:00,[R001S 5A:31 bA:31 R:52 V:0.41 B:0.52 M:- ST:D],1.0712,1000,1071.2,1.1,0.10,1.95,0.18,-0.05,0.00,54.86,5.49
