Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
96,Entry short,2024-07-18 17:00:00,Short,41160,1,20580,283.1,1.38,314.05,1.53,-0.95,0.00,6192.6,61.93
97,Exit short,2024-07-24 20:00:00,Trail,40170,1,20190,103.1,0.51,134.05,0.66,-0.95,0.00,6295.7,62.96
97,Entry short,2024-07-24 13:00:00,Short,40380,1,20190,103.1,0.51,134.05,0.66,-0.95,0.00,6295.7,62.96
98,Exit long,2024-07-31 19:00:00,Trail,41340,1,20670,-1.9,-0.01,29.05,0.14,-0.95,0.00,6293.8,62.94
98,Entry long,2024-07-31 18:00:00,Long,41340,1,20670,-1.9,-0.01,29.05,0.14,-0.95,0.00,6293.8,62.94
99,Exit short,2024-08-05 13:00:00,Trail,38730,1,19725,358.1,1.82,389.05,1.97,-0.95,0.00,6651.9,66.52
99,Entry short,2024-08-05 05:00:00,Short,39450,1,19725,358.1,1.82,389.05,1.97,-0.95,0.00,6651.9,66.52
100,Exit long,2024-08-06 06:00:00,Trail,39180,1,19620,-31.9,-0.16,0,0.00,-30.95,-0.16,6620,66.20
100,Entry long,2024-08-06 05:00:00,Long,39240,1,19620,-31.9,-0.16,0,0.00,-30.95,-0.16,6620,66.20
101,Exit long,2024-08-06 19:00:00,Trail,39360,1,19710,-31.9,-0.16,5.05,0.03,-30.95,-0.16,6588.1,65.88
101,Entry long,2024-08-06 17:00:00,Long,39420,1,19710,-31.9,-0.16,5.05,0.03,-30.95,-0.16,6588.1,65.88
102,Exit long,2024-08-14 19:00:00,Trail,40110,1,19905,148.1,0.74,179.05,0.90,-0.95,0.00,6736.2,67.36
102,Entry long,2024-08-13 16:00:00,Long,39810,1,19905,148.1,0.74,179.05,0.90,-0.95,0.00,6736.2,67.36
103,Exit long,2024-08-28 22:00:00,Trail,41190,1,20535,58.1,0.28,89.05,0.43,-0.95,0.00,6794.3,67.94
103,Entry long,2024-08-28 18:00:00,Long,41070,1,20535,58.1,0.28,89.05,0.43,-0.95,0.00,6794.3,67.94
104,Exit short,2024-09-05 16:00:00,Trail,40740,1,20340,-31.9,-0.16,0,0.00,-30.95,-0.15,6762.4,67.62
104,Entry short,2024-09-05 15:00:00,Short,40680,1,20340,-31.9,-0.16,0,0.00,-30.95,-0.15,6762.4,67.62
105,Exit short,2024-09-09 00:00:00,Trail,40410,1,20265,58.1,0.29,89.05,0.44,-0.95,0.00,6820.5,68.21
105,Entry short,2024-09-06 15:00:00,Short,40530,1,20265,58.1,0.29,89.05,0.44,-0.95,0.00,6820.5,68.21
106,Exit short,2024-09-10 16:00:00,Trail,40590,1,20325,28.1,0.14,59.05,0.29,-0.95,0.00,6848.6,68.49
106,Entry short,2024-09-10 15:00:00,Short,40650,1,20325,28.1,0.14,59.05,0.29,-0.95,0.00,6848.6,68.49
107,Exit short,2024-09-11 15:00:00,Trail,40230,1,20190,73.1,0.36,104.05,0.52,-0.95,0.00,6921.7,69.22
107,Entry short,2024-09-11 13:00:00,Short,40380,1,20190,73.1,0.36,104.05,0.52,-0.95,0.00,6921.7,69.22
108,Exit long,2024-09-13 16:00:00,Trail,41460,1,20580,148.1,0.72,179.05,0.87,-6.95,-0.03,7069.8,70.70
108,Entry long,2024-09-12 23:00:00,Long,41160,1,20580,148.1,0.72,179.05,0.87,-6.95,-0.03,7069.8,70.70
109,Exit long,2024-09-19 14:00:00,Trail,42330,1,21165,-1.9,-0.01,34.55,0.16,-0.95,0.00,7067.9,70.68
109,Entry long,2024-09-19 09:00:00,Long,42330,1,21165,-1.9,-0.01,34.55,0.16,-0.95,0.00,7067.9,70.68
110,Exit long,2024-09-27 16:00:00,Trail,42840,1,21345,73.1,0.34,110.55,0.52,-0.95,0.00,7141,71.41
110,Entry long,2024-09-27 13:00:00,Long,42690,1,21345,73.1,0.34,110.55,0.52,-0.95,0.00,7141,71.41
111,Exit short,2024-10-07 19:00:00,Trail,42210,1,21120,13.1,0.06,44.05,0.21,-0.95,0.00,7154.1,71.54
111,Entry short,2024-10-07 18:00:00,Short,42240,1,21120,13.1,0.06,44.05,0.21,-0.95,0.00,7154.1,71.54
112,Exit long,2024-10-10 07:00:00,Trail,42750,1,21285,88.1,0.41,133.05,0.63,-0.95,0.00,7242.2,72.42
112,Entry long,2024-10-09 15:00:00,Long,42570,1,21285,88.1,0.41,133.05,0.63,-0.95,0.00,7242.2,72.42
113,Exit long,2024-10-14 10:00:00,Trail,43080,1,21510,28.1,0.13,73.55,0.34,-0.95,0.00,7270.3,72.70
113,Entry long,2024-10-11 14:00:00,Long,43020,1,21510,28.1,0.13,73.55,0.34,-0.95,0.00,7270.3,72.70
