Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
49,Entry long,2025-01-15 21:00:00,[R001L 5A:62 bA:62 R:39 V:1.18 B:0.48 M:+ ST:U CH:19 CF:+ MI:76 SK:67 PS:U SQ:0],190.55,1000,190550,0.84,0.07,1.54,0.13,-0.06,0.00,138.54,13.85
50,Exit short,2025-01-16 03:00:00,[ExitS 5A:46 bA:46 R:28 V:2.04 B:0.2 M:- ST:D CH:5 CF:- MI:19 SK:15 PS:D SQ:0],190.05,1000,190700,4.03,0.33,4.73,0.39,-0.06,0.00,142.57,14.26
50,Entry short,2025-01-16 00:00:00,[R002S 5A:43 bA:43 R:50 V:0.42 B:0.79 M:+ ST:U CH:14 CF:+ MI:92 SK:82 PS:U SQ:0],190.7,1000,190700,4.03,0.33,4.73,0.39,-0.06,0.00,142.57,14.26
51,Exit long,2025-01-16 05:00:00,[ExitL 5A:31 bA:31 R:48 V:1.85 B:0.65 M:+ ST:U CH:22 CF:+ MI:69 SK:78 PS:U SQ:0],190.3,1000,190250,0.2,0.02,0.9,0.07,-0.06,0.00,142.77,14.28
51,Entry long,2025-01-16 04:00:00,[R001L 5A:41 bA:41 R:45 V:1.03 B:0.48 M:+ ST:U CH:19 CF:- MI:60 SK:67 PS:U SQ:0],190.25,1000,190250,0.2,0.02,0.9,0.07,-0.06,0.00,142.77,14.28
52,Exit short,2025-01-16 15:00:00,[ExitS 5A:26 bA:26 R:37 V:0.51 B:0.17 M:- ST:D CH:19 CF:- MI:31 SK:18 PS:D SQ:0],189.95,1000,189900,-0.44,-0.04,0.27,0.02,-0.38,-0.03,142.33,14.23
52,Entry short,2025-01-16 15:00:00,[R001S 5A:25 bA:25 R:29 V:1.48 B:-0.03 M:- ST:D CH:16 CF:- MI:33 SK:0 PS:D SQ:0],189.9,1000,189900,-0.44,-0.04,0.27,0.02,-0.38,-0.03,142.33,14.23
53,Exit long,2025-01-16 16:00:00,[ExitL 5A:25 bA:25 R:39 V:0.91 B:0.23 M:- ST:D CH:26 CF:- MI:35 SK:23 PS:U SQ:0],189.95,1000,189950,-0.12,-0.01,0.58,0.05,-0.06,0.00,142.21,14.22
53,Entry long,2025-01-16 15:00:00,[R002L 5A:26 bA:26 R:37 V:0.51 B:0.17 M:- ST:D CH:19 CF:- MI:31 SK:18 PS:D SQ:0],189.95,1000,189950,-0.12,-0.01,0.58,0.05,-0.06,0.00,142.21,14.22
54,Exit short,2025-01-17 00:00:00,[ExitS 5A:29 bA:29 R:34 V:1.29 B:0.17 M:- ST:D CH:8 CF:- MI:29 SK:15 PS:D SQ:0],189.6,1000,189550,-0.44,-0.04,0.26,0.02,-0.38,-0.03,141.76,14.18
54,Entry short,2025-01-16 23:00:00,[R001S 5A:25 bA:25 R:26 V:0.58 B:-0.01 M:- ST:D CH:8 CF:- MI:43 SK:0 PS:D SQ:0],189.55,1000,189550,-0.44,-0.04,0.26,0.02,-0.38,-0.03,141.76,14.18
55,Exit long,2025-01-17 04:00:00,[ExitL 5A:22 bA:22 R:53 V:2.62 B:0.73 M:+ ST:U CH:18 CF:+ MI:70 SK:80 PS:U SQ:0],189.9,1000,189600,1.81,0.15,2.52,0.21,-0.06,0.00,143.57,14.36
55,Entry long,2025-01-17 00:00:00,[R002L 5A:29 bA:29 R:34 V:1.29 B:0.17 M:- ST:D CH:8 CF:- MI:29 SK:15 PS:D SQ:0],189.6,1000,189600,1.81,0.15,2.52,0.21,-0.06,0.00,143.57,14.36
56,Exit short,2025-01-17 13:00:00,[ExitS 5A:24 bA:24 R:54 V:1.25 B:0.54 M:- ST:D CH:31 CF:+ MI:45 SK:29 PS:D SQ:0],190.15,1000,190100,-0.44,-0.04,0.29,0.02,-0.38,-0.03,143.13,14.31
56,Entry short,2025-01-17 11:00:00,[R001S 5A:27 bA:27 R:51 V:0.81 B:0.52 M:- ST:D CH:19 CF:- MI:46 SK:33 PS:D SQ:0],190.1,1000,190100,-0.44,-0.04,0.29,0.02,-0.38,-0.03,143.13,14.31
57,Exit long,2025-01-19 23:00:00,[ExitL 5A:35 bA:35 R:69 V:1.11 B:0.82 M:+ ST:U CH:5 CF:+ MI:92 SK:86 PS:U SQ:0],190.7,1000,190750,-0.44,-0.04,0.26,0.02,-0.38,-0.03,142.69,14.27
57,Entry long,2025-01-19 22:00:00,[R001L 5A:32 bA:32 R:78 V:0.5 B:0.98 M:+ ST:U CH:5 CF:+ MI:80 SK:100 PS:U SQ:0],190.75,1000,190750,-0.44,-0.04,0.26,0.02,-0.38,-0.03,142.69,14.27
58,Exit short,2025-01-20 02:00:00,[ExitS 5A:25 bA:25 R:51 V:0.65 B:0.35 M:- ST:D CH:22 CF:- MI:22 SK:22 PS:D SQ:0],190.45,1000,190700,1.48,0.12,2.18,0.18,-0.06,0.00,144.16,14.42
58,Entry short,2025-01-19 23:00:00,[R002S 5A:35 bA:35 R:69 V:1.11 B:0.82 M:+ ST:U CH:5 CF:+ MI:92 SK:86 PS:U SQ:0],190.7,1000,190700,1.48,0.12,2.18,0.18,-0.06,0.00,144.16,14.42
59,Exit long,2025-01-20 10:00:00,[ExitL 5A:53 bA:53 R:77 V:6.54 B:0.8 M:+ ST:U CH:5 CF:+ MI:43 SK:85 PS:U SQ:0],191.45,1000,190450,6.27,0.52,6.65,0.55,-0.06,0.00,150.44,15.04
59,Entry long,2025-01-20 02:00:00,[R002L 5A:25 bA:25 R:51 V:0.65 B:0.35 M:- ST:D CH:22 CF:- MI:22 SK:22 PS:D SQ:0],190.45,1000,190450,6.27,0.52,6.65,0.55,-0.06,0.00,150.44,15.04
60,Exit long,2025-01-20 15:00:00,[ExitL 5A:66 bA:66 R:78 V:1.92 B:0.81 M:+ ST:U CH:16 CF:+ MI:47 SK:82 PS:U SQ:0],191.85,1000,191700,0.84,0.07,1.54,0.13,-0.06,0.00,151.28,15.13
60,Entry long,2025-01-20 11:00:00,[R001L 5A:59 bA:59 R:84 V:0.14 B:0.9 M:+ ST:U CH:11 CF:+ MI:57 SK:100 PS:U SQ:0],191.7,1000,191700,0.84,0.07,1.54,0.13,-0.06,0.00,151.28,15.13
61,Exit short,2025-01-20 21:00:00,[ExitS 5A:50 bA:50 R:27 V:2.61 B:0.2 M:- ST:D CH:5 CF:- MI:20 SK:15 PS:D SQ:0],190.75,1000,191150,2.45,0.20,2.83,0.23,-0.06,0.00,153.72,15.37
61,Entry short,2025-01-20 17:00:00,[R001S 5A:40 bA:40 R:30 V:0.81 B:0.05 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],191.15,1000,191150,2.45,0.20,2.83,0.23,-0.06,0.00,153.72,15.37
62,Exit short,2025-01-21 06:00:00,[ExitS 5A:34 bA:34 R:44 V:3.41 B:0.58 M:+ ST:D CH:38 CF:+ MI:78 SK:57 PS:D SQ:0],190.9,1000,190950,0.2,0.02,0.9,0.07,-0.06,0.00,153.92,15.39
62,Entry short,2025-01-21 03:00:00,[R002S 5A:38 bA:38 R:45 V:0.43 B:0.55 M:+ ST:U CH:36 CF:+ MI:71 SK:71 PS:U SQ:0],190.95,1000,190950,0.2,0.02,0.9,0.07,-0.06,0.00,153.92,15.39
63,Exit long,2025-01-21 16:00:00,[ExitL 5A:59 bA:59 R:78 V:1.16 B:0.8 M:+ ST:U CH:8 CF:+ MI:92 SK:85 PS:U SQ:0],192.05,1000,191100,5.98,0.49,6.69,0.54,-0.06,0.00,159.91,15.99
63,Entry long,2025-01-21 08:00:00,[R001L 5A:27 bA:27 R:57 V:0.34 B:0.96 M:+ ST:U CH:37 CF:+ MI:89 SK:100 PS:U SQ:0],191.1,1000,191100,5.98,0.49,6.69,0.54,-0.06,0.00,159.91,15.99
64,Exit short,2025-01-21 19:00:00,[ExitS 5A:60 bA:60 R:76 V:2.91 B:0.8 M:+ ST:U CH:17 CF:+ MI:87 SK:91 PS:D SQ:0],192.1,1000,192050,-0.44,-0.04,0.27,0.02,-0.38,-0.03,159.46,15.95
64,Entry short,2025-01-21 16:00:00,[R002S 5A:59 bA:59 R:78 V:1.16 B:0.8 M:+ ST:U CH:8 CF:+ MI:92 SK:85 PS:U SQ:0],192.05,1000,192050,-0.44,-0.04,0.27,0.02,-0.38,-0.03,159.46,15.95
65,Exit long,2025-01-21 22:00:00,[ExitL 5A:65 bA:65 R:73 V:0.5 B:0.78 M:- ST:U CH:27 CF:+ MI:78 SK:78 PS:U SQ:0],192.25,1000,192300,-0.44,-0.04,0.26,0.02,-0.38,-0.03,159.02,15.90
65,Entry long,2025-01-21 21:00:00,[R001L 5A:64 bA:64 R:82 V:0.98 B:0.9 M:+ ST:U CH:21 CF:+ MI:84 SK:100 PS:U SQ:0],192.3,1000,192300,-0.44,-0.04,0.26,0.02,-0.38,-0.03,159.02,15.90
66,Exit short,2025-01-22 01:00:00,[ExitS 5A:59 bA:59 R:65 V:2.64 B:0.67 M:- ST:D CH:38 CF:+ MI:74 SK:57 PS:D SQ:0],192.2,1000,192250,0.2,0.02,0.9,0.07,-0.06,0.00,159.21,15.92
66,Entry short,2025-01-21 22:00:00,[R002S 5A:65 bA:65 R:73 V:0.5 B:0.78 M:- ST:U CH:27 CF:+ MI:78 SK:78 PS:U SQ:0],192.25,1000,192250,0.2,0.02,0.9,0.07,-0.06,0.00,159.21,15.92
67,Exit long,2025-01-22 13:00:00,[ExitL 5A:59 bA:59 R:71 V:3.98 B:0.81 M:+ ST:U CH:23 CF:+ MI:45 SK:73 PS:U SQ:0],192.85,1000,192800,0.2,0.02,1.08,0.09,-0.06,0.00,159.41,15.94
67,Entry long,2025-01-22 08:00:00,[R001L 5A:57 bA:57 R:77 V:0.32 B:0.91 M:+ ST:U CH:18 CF:+ MI:67 SK:100 PS:U SQ:0],192.8,1000,192800,0.2,0.02,1.08,0.09,-0.06,0.00,159.41,15.94
68,Exit short,2025-01-23 01:00:00,[ExitS 5A:31 bA:31 R:46 V:1.05 B:0.19 M:- ST:D CH:25 CF:- MI:55 SK:21 PS:D SQ:0],192.55,1000,192500,-0.44,-0.04,0,0.00,-0.38,-0.03,158.97,15.90
68,Entry short,2025-01-23 01:00:00,[R001S 5A:32 bA:32 R:38 V:0.34 B:-0.04 M:- ST:D CH:23 CF:- MI:52 SK:0 PS:D SQ:0],192.5,1000,192500,-0.44,-0.04,0,0.00,-0.38,-0.03,158.97,15.90
69,Exit long,2025-01-23 05:00:00,[ExitL 5A:24 bA:24 R:48 V:1.95 B:0.34 M:- ST:U CH:23 CF:+ MI:38 SK:31 PS:D SQ:0],192.6,1000,192550,0.2,0.02,0.9,0.07,-0.06,0.00,159.16,15.92
69,Entry long,2025-01-23 01:00:00,[R002L 5A:31 bA:31 R:46 V:1.05 B:0.19 M:- ST:D CH:25 CF:- MI:55 SK:21 PS:D SQ:0],192.55,1000,192550,0.2,0.02,0.9,0.07,-0.06,0.00,159.16,15.92
70,Exit long,2025-01-23 19:00:00,[ExitL 5A:34 bA:34 R:69 V:0.38 B:0.82 M:+ ST:U CH:5 CF:+ MI:97 SK:85 PS:U SQ:0],193.25,1000,193200,0.2,0.02,0.9,0.07,-0.06,0.00,159.36,15.94
70,Entry long,2025-01-23 18:00:00,[R001L 5A:26 bA:26 R:74 V:0.64 B:1.02 M:+ ST:U CH:8 CF:+ MI:86 SK:100 PS:U SQ:0],193.2,1000,193200,0.2,0.02,0.9,0.07,-0.06,0.00,159.36,15.94
71,Exit short,2025-01-23 21:00:00,[ExitS 5A:35 bA:35 R:32 V:1.64 B:0.2 M:- ST:D CH:5 CF:- MI:14 SK:15 PS:D SQ:0],192.5,1000,193250,4.68,0.38,5.38,0.43,-0.06,0.00,164.04,16.40
71,Entry short,2025-01-23 19:00:00,[R002S 5A:34 bA:34 R:69 V:0.38 B:0.82 M:+ ST:U CH:5 CF:+ MI:97 SK:85 PS:U SQ:0],193.25,1000,193250,4.68,0.38,5.38,0.43,-0.06,0.00,164.04,16.40
72,Exit long,2025-01-26 14:00:00,[ExitL 5A:81 bA:81 R:84 V:0.02 B:0.8 M:+ ST:U CH:13 CF:+ MI:100 SK:85 PS:U SQ:0],194.6,1000,192800,11.41,0.92,12.11,0.98,-0.06,0.00,175.45,17.55
72,Entry long,2025-01-24 01:00:00,[R001L 5A:28 bA:28 R:56 V:0.28 B:0.79 M:+ ST:U CH:30 CF:- MI:43 SK:100 PS:U SQ:0],192.8,1000,192800,11.41,0.92,12.11,0.98,-0.06,0.00,175.45,17.55
73,Exit short,2025-01-26 18:00:00,[ExitS 5A:47 bA:47 R:31 V:1.43 B:0.2 M:- ST:D CH:5 CF:- MI:13 SK:15 PS:D SQ:0],193.7,1000,194600,5.64,0.45,6.35,0.51,-0.06,0.00,181.1,18.11
73,Entry short,2025-01-26 14:00:00,[R002S 5A:81 bA:81 R:84 V:0.02 B:0.8 M:+ ST:U CH:13 CF:+ MI:100 SK:85 PS:U SQ:0],194.6,1000,194600,5.64,0.45,6.35,0.51,-0.06,0.00,181.1,18.11
74,Exit long,2025-01-26 23:00:00,[ExitL 5A:32 bA:32 R:59 V:1.83 B:0.82 M:+ ST:U CH:8 CF:+ MI:74 SK:84 PS:U SQ:0],194.15,1000,193700,2.76,0.22,3.48,0.28,-0.06,0.00,183.85,18.39
74,Entry long,2025-01-26 18:00:00,[R002L 5A:47 bA:47 R:31 V:1.43 B:0.2 M:- ST:D CH:5 CF:- MI:13 SK:15 PS:D SQ:0],193.7,1000,193700,2.76,0.22,3.48,0.28,-0.06,0.00,183.85,18.39
75,Exit short,2025-01-27 04:00:00,[ExitS 5A:72 bA:72 R:17 V:2.58 B:0.2 M:- ST:D CH:5 CF:- MI:23 SK:15 PS:D SQ:0],192.5,1000,193950,9.17,0.74,9.87,0.79,-0.06,0.00,193.02,19.30
75,Entry short,2025-01-26 23:00:00,[R001S 5A:26 bA:26 R:45 V:1.44 B:0.51 M:+ ST:D CH:19 CF:- MI:40 SK:33 PS:D SQ:0],193.95,1000,193950,9.17,0.74,9.87,0.79,-0.06,0.00,193.02,19.30
