Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
14,Exit long,2024-08-02 01:00:00,[ExitL rA:29 R:62 SK:85 PS:U SL:62862 D:3.32%],64950,0.001,63.9,1.04,1.63,1.35,2.11,-0.003,0.00,9.37,0.94
14,Entry long,2024-08-01 20:00:00,[SwBnc rA:31 R:47 SK:70 PS:U SL:63750 D:0%],63900,0.001,63.9,1.04,1.63,1.35,2.11,-0.003,0.00,9.37,0.94
15,Exit long,2024-08-05 18:00:00,[ExitL rA:32 R:79 SK:85 PS:U SL:49950 D:9.01%],54450,0.001,51.3,3.15,6.13,3.45,6.72,-0.002,0.00,12.51,1.25
15,Entry long,2024-08-05 13:00:00,[SwBnc rA:39 R:52 SK:100 PS:U SL:51600 D:0.87%],51300,0.001,51.3,3.15,6.13,3.45,6.72,-0.002,0.00,12.51,1.25
16,Exit long,2024-08-12 13:00:00,[ExitL rA:62 R:52 SK:80 PS:U SL:58350 D:2.06%],59550,0.001,59.55,-0.01,-0.01,0.3,0.50,-0.003,0.00,12.51,1.25
16,Entry long,2024-08-12 11:00:00,[SwBnc rA:49 R:53 SK:100 PS:U SL:59850 D:0.75%],59550,0.001,59.55,-0.01,-0.01,0.3,0.50,-0.003,0.00,12.51,1.25
17,Exit long,2024-08-15 17:00:00,[ExitL rA:30 R:52 SK:82 PS:U SL:58052 D:2.32%],59400,0.001,58.95,0.44,0.75,0.75,1.27,-0.003,0.00,12.95,1.30
17,Entry long,2024-08-15 13:00:00,[SwBnc rA:35 R:42 SK:55 PS:U SL:58800 D:0%],58950,0.001,58.95,0.44,0.75,0.75,1.27,-0.003,0.00,12.95,1.30
18,Exit long,2024-08-16 12:00:00,[ExitL rA:28 R:57 SK:85 PS:U SL:56700 D:2.91%],58350,0.001,57.75,0.59,1.03,0.9,1.55,-0.003,0.00,13.55,1.35
18,Entry long,2024-08-16 02:00:00,[SwBnc rA:39 R:47 SK:88 PS:U SL:58052 D:0.78%],57750,0.001,57.75,0.59,1.03,0.9,1.55,-0.003,0.00,13.55,1.35
19,Exit long,2024-08-20 11:00:00,[ExitL rA:31 R:71 SK:85 PS:U SL:58050 D:4.65%],60750,0.001,58.8,1.94,3.31,2.25,3.82,-0.003,0.00,15.49,1.55
19,Entry long,2024-08-19 17:00:00,[SwBnc rA:40 R:50 SK:63 PS:U SL:58950 D:0.51%],58800,0.001,58.8,1.94,3.31,2.25,3.82,-0.003,0.00,15.49,1.55
20,Exit long,2024-08-24 01:00:00,[ExitL rA:39 R:78 SK:85 PS:U SL:60287 D:6.24%],64050,0.001,61.05,2.99,4.90,3.3,5.40,-0.003,0.00,18.48,1.85
20,Entry long,2024-08-23 15:00:00,[SwBnc rA:25 R:56 SK:72 PS:U SL:60300 D:1%],61050,0.001,61.05,2.99,4.90,3.3,5.40,-0.003,0.00,18.48,1.85
21,Exit long,2024-08-30 19:00:00,[ExitL rA:57 R:48 SK:71 PS:U SL:58800 D:0.26%],58950,0.001,59.1,-0.16,-0.26,0,0.00,-0.15,-0.26,18.33,1.83
21,Entry long,2024-08-30 19:00:00,[SwBnc rA:15 R:54 SK:74 PS:U SL:58800 D:0.51%],59100,0.001,59.1,-0.16,-0.26,0,0.00,-0.15,-0.26,18.33,1.83
22,Exit long,2024-09-03 06:00:00,[ExitL rA:21 R:61 SK:86 PS:U SL:57310 D:3.12%],59100,0.001,58.2,0.89,1.54,1.2,2.06,-0.01,-0.02,19.22,1.92
22,Entry long,2024-09-02 09:00:00,[SwBnc rA:23 R:49 SK:73 PS:U SL:58200 D:0.26%],58200,0.001,58.2,0.89,1.54,1.2,2.06,-0.01,-0.02,19.22,1.92
23,Exit long,2024-09-04 17:00:00,[ExitL rA:26 R:60 SK:85 PS:U SL:56250 D:3.2%],58050,0.001,57,1.04,1.83,1.35,2.36,-0.003,0.00,20.27,2.03
