Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2024-12-30 08:00:00,[ExitS 5A:77 bA:76 R:17 V:3.05 B:0.2 M:- ST:D CH:5 CF:- MI:23 SK:15 PS:D SQ:0],196.8,1000,197950,7.16,0.57,7.85,0.63,-0.06,0.00,7.16,0.72
1,Entry short,2024-12-30 05:00:00,[R001S 5A:26 bA:29 R:25 V:0.36 B:0.02 M:- ST:D CH:3 CF:- MI:13 SK:0 PS:D SQ:0],197.95,1000,197950,7.16,0.57,7.85,0.63,-0.06,0.00,7.16,0.72
2,Exit long,2024-12-30 12:00:00,[ExitL 5A:60 bA:59 R:39 V:1.71 B:0.56 M:+ ST:U CH:26 CF:- MI:61 SK:75 PS:U SQ:0],197,1000,197000,-0.12,-0.01,0.57,0.05,-0.06,0.00,7.03,0.70
2,Entry long,2024-12-30 09:00:00,[R001L 5A:70 bA:69 R:37 V:0.78 B:0.48 M:+ ST:U CH:19 CF:- MI:55 SK:67 PS:U SQ:0],197,1000,197000,-0.12,-0.01,0.57,0.05,-0.06,0.00,7.03,0.70
3,Exit long,2024-12-30 16:00:00,[ExitL 5A:45 bA:45 R:41 V:0.24 B:0.5 M:+ ST:U CH:39 CF:+ MI:43 SK:33 PS:D SQ:0],196.9,1000,196900,-0.13,-0.01,0.57,0.05,-0.06,0.00,6.91,0.69
3,Entry long,2024-12-30 15:00:00,[R002L 5A:52 bA:51 R:39 V:0.79 B:0.5 M:+ ST:D CH:29 CF:- MI:52 SK:50 PS:D SQ:0],196.9,1000,196900,-0.13,-0.01,0.57,0.05,-0.06,0.00,6.91,0.69
4,Exit long,2024-12-31 10:00:00,[ExitL 5A:31 bA:31 R:65 V:1.69 B:0.81 M:+ ST:U CH:14 CF:- MI:48 SK:82 PS:U SQ:0],196.9,1000,196550,2.1,0.17,2.82,0.22,-0.06,0.00,9.01,0.90
4,Entry long,2024-12-31 07:00:00,[R002L 5A:27 bA:27 R:52 V:0.59 B:0.54 M:- ST:D CH:35 CF:- MI:27 SK:29 PS:D SQ:0],196.55,1000,196550,2.1,0.17,2.82,0.22,-0.06,0.00,9.01,0.90
5,Exit long,2025-01-01 16:00:00,[ExitL 5A:36 bA:36 R:69 V:1.12 B:0.82 M:+ ST:U CH:8 CF:+ MI:79 SK:85 PS:U SQ:0],197.3,1000,197150,0.83,0.07,1.52,0.12,-0.06,0.00,9.84,0.98
5,Entry long,2025-01-01 15:00:00,[R001L 5A:26 bA:26 R:70 V:0.21 B:1.04 M:+ ST:U CH:25 CF:+ MI:89 SK:100 PS:U SQ:0],197.15,1000,197150,0.83,0.07,1.52,0.12,-0.06,0.00,9.84,0.98
6,Exit short,2025-01-02 07:00:00,[ExitS 5A:82 bA:82 R:17 V:5.37 B:0.2 M:- ST:D CH:5 CF:- MI:46 SK:15 PS:D SQ:0],194.6,1000,195050,2.73,0.22,3.11,0.25,-0.06,0.00,12.57,1.26
6,Entry short,2025-01-02 05:00:00,[R001S 5A:73 bA:73 R:10 V:0.87 B:0.04 M:- ST:D CH:3 CF:- MI:31 SK:0 PS:D SQ:0],195.05,1000,195050,2.73,0.22,3.11,0.25,-0.06,0.00,12.57,1.26
7,Exit long,2025-01-02 10:00:00,[ExitL 5A:48 bA:48 R:50 V:3.52 B:0.82 M:+ ST:U CH:19 CF:- MI:50 SK:82 PS:U SQ:0],194.95,1000,194900,0.19,0.02,0.89,0.07,-0.06,0.00,12.77,1.28
7,Entry long,2025-01-02 08:00:00,[R001L 5A:63 bA:63 R:48 V:0.58 B:0.8 M:+ ST:U CH:29 CF:- MI:52 SK:100 PS:U SQ:0],194.9,1000,194900,0.19,0.02,0.89,0.07,-0.06,0.00,12.77,1.28
8,Exit long,2025-01-06 04:00:00,[ExitL 5A:84 bA:84 R:85 V:0.4 B:0.8 M:- ST:U CH:5 CF:+ MI:97 SK:85 PS:U SQ:0],197.05,1000,195500,9.72,0.78,10.42,0.84,-0.66,-0.05,22.49,2.25
8,Entry long,2025-01-05 15:00:00,[R001L 5A:25 bA:25 R:74 V:0.33 B:0.97 M:+ ST:U CH:18 CF:+ MI:71 SK:100 PS:U SQ:0],195.5,1000,195500,9.72,0.78,10.42,0.84,-0.66,-0.05,22.49,2.25
