Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
20,Exit long,2024-07-05 15:00:00,TP,56550,0.001,55.8,0.74,1.33,0.75,1.34,-0.003,0.00,1.23,0.12
20,Entry long,2024-07-05 13:00:00,Long,55800,0.001,55.8,0.74,1.33,0.75,1.34,-0.003,0.00,1.23,0.12
21,Exit long,2024-07-06 16:00:00,TP,57750,0.001,57,0.74,1.31,0.75,1.31,-0.003,0.00,1.97,0.20
21,Entry long,2024-07-06 14:00:00,Long,57000,0.001,57,0.74,1.31,0.75,1.31,-0.003,0.00,1.97,0.20
22,Exit long,2024-07-08 08:00:00,TP,57600,0.001,56.85,0.74,1.31,0.75,1.31,-0.003,0.00,2.72,0.27
22,Entry long,2024-07-08 08:00:00,Long,56850,0.001,56.85,0.74,1.31,0.75,1.31,-0.003,0.00,2.72,0.27
23,Exit long,2024-07-09 16:00:00,TP,57600,0.001,56.85,0.74,1.31,0.75,1.31,-0.003,0.00,3.46,0.35
23,Entry long,2024-07-09 02:00:00,Long,56850,0.001,56.85,0.74,1.31,0.75,1.31,-0.003,0.00,3.46,0.35
24,Exit long,2024-07-11 14:00:00,SL,58200,0.001,58.5,-0.31,-0.52,0.3,0.51,-0.3,-0.52,3.16,0.32
24,Entry long,2024-07-11 11:00:00,Long,58500,0.001,58.5,-0.31,-0.52,0.3,0.51,-0.3,-0.52,3.16,0.32
25,Exit long,2024-07-13 22:00:00,TP,59250,0.001,58.5,0.74,1.27,0.75,1.28,-0.05,-0.08,3.9,0.39
25,Entry long,2024-07-13 09:00:00,Long,58500,0.001,58.5,0.74,1.27,0.75,1.28,-0.05,-0.08,3.9,0.39
26,Exit long,2024-07-15 01:00:00,TP,61350,0.001,60.6,0.74,1.23,0.75,1.23,-0.003,0.00,4.65,0.46
26,Entry long,2024-07-14 21:00:00,Long,60600,0.001,60.6,0.74,1.23,0.75,1.23,-0.003,0.00,4.65,0.46
