Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
66,Entry long,2024-01-10 15:00:00,Long,1.6356,1000,1635.6,0.2,0.02,1.5,0.14,-0.1,-0.01,58.59,5.86
67,Exit long,2024-01-14 23:00:00,Close entry(s) order Long,1.6374,1000,1636.8,0.2,0.02,1.11,0.10,-0.1,-0.01,58.79,5.88
67,Entry long,2024-01-12 16:00:00,Long,1.6368,1000,1636.8,0.2,0.02,1.11,0.10,-0.1,-0.01,58.79,5.88
68,Exit long,2024-01-17 02:00:00,Close entry(s) order Long,1.6512,1000,1651.2,-0.2,-0.02,0.34,0.03,-0.49,-0.05,58.6,5.86
68,Entry long,2024-01-17 01:00:00,Long,1.6512,1000,1651.2,-0.2,-0.02,0.34,0.03,-0.49,-0.05,58.6,5.86
69,Exit long,2024-01-19 17:00:00,Close entry(s) order Long,1.653,1000,1653,-0.2,-0.02,0.69,0.06,-0.1,-0.01,58.4,5.84
69,Entry long,2024-01-19 16:00:00,Long,1.653,1000,1653,-0.2,-0.02,0.69,0.06,-0.1,-0.01,58.4,5.84
70,Exit long,2024-01-25 08:00:00,Close entry(s) order Long,1.6548,1000,1653,0.99,0.09,1.48,0.14,-0.1,-0.01,59.39,5.94
70,Entry long,2024-01-24 19:00:00,Long,1.653,1000,1653,0.99,0.09,1.48,0.14,-0.1,-0.01,59.39,5.94
71,Exit long,2024-02-01 00:00:00,Close entry(s) order Long,1.6458,1000,1646.4,-0.59,-0.05,0.55,0.05,-0.49,-0.05,58.8,5.88
71,Entry long,2024-01-31 20:00:00,Long,1.6464,1000,1646.4,-0.59,-0.05,0.55,0.05,-0.49,-0.05,58.8,5.88
72,Exit long,2024-02-05 01:00:00,Close entry(s) order Long,1.6578,1000,1650.6,4.49,0.42,5.37,0.50,-0.1,-0.01,63.29,6.33
72,Entry long,2024-02-02 13:00:00,Long,1.6506,1000,1650.6,4.49,0.42,5.37,0.50,-0.1,-0.01,63.29,6.33
73,Exit short,2024-02-07 05:00:00,Close entry(s) order Short,1.6476,1000,1650,1.37,0.13,2.25,0.21,-0.1,-0.01,64.67,6.47
73,Entry short,2024-02-06 17:00:00,Short,1.65,1000,1650,1.37,0.13,2.25,0.21,-0.1,-0.01,64.67,6.47
