Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
429,Entry long,2026-03-23 10:35:00,Long,46635,1,23317.5,20.6,0.09,36.55,0.16,-0.95,0.00,25982.4,259.82
430,Exit short,2026-03-23 13:15:00,Close entry(s) order Short,46485,1,23242.5,-1.9,-0.01,21.05,0.09,-0.95,0.00,25980.5,259.81
430,Entry short,2026-03-23 13:01:00,Short,46485,1,23242.5,-1.9,-0.01,21.05,0.09,-0.95,0.00,25980.5,259.81
431,Exit short,2026-03-23 17:22:00,Close entry(s) order Short,46410,1,23197.5,-9.4,-0.04,12.05,0.05,-8.45,-0.04,25971.1,259.71
431,Entry short,2026-03-23 17:21:00,Short,46395,1,23197.5,-9.4,-0.04,12.05,0.05,-8.45,-0.04,25971.1,259.71
432,Exit long,2026-03-24 00:20:00,Close entry(s) order Long,46590,1,23190,103.1,0.44,125.05,0.54,-9.45,-0.04,26074.2,260.74
432,Entry long,2026-03-23 23:32:00,Long,46380,1,23190,103.1,0.44,125.05,0.54,-9.45,-0.04,26074.2,260.74
433,Exit long,2026-03-24 07:54:00,Close entry(s) order Long,46530,1,23265,-1.9,-0.01,14.05,0.06,-0.95,0.00,26072.3,260.72
433,Entry long,2026-03-24 07:53:00,Long,46530,1,23265,-1.9,-0.01,14.05,0.06,-0.95,0.00,26072.3,260.72
434,Exit short,2026-03-24 10:22:00,Close entry(s) order Short,46440,1,23212.5,-9.4,-0.04,0,0.00,-8.45,-0.04,26062.9,260.63
434,Entry short,2026-03-24 10:20:00,Short,46425,1,23212.5,-9.4,-0.04,0,0.00,-8.45,-0.04,26062.9,260.63
435,Exit long,2026-03-24 11:41:00,Close entry(s) order Long,46635,1,23325,-9.4,-0.04,0,0.00,-8.45,-0.04,26053.5,260.54
435,Entry long,2026-03-24 11:41:00,Long,46650,1,23325,-9.4,-0.04,0,0.00,-8.45,-0.04,26053.5,260.54
436,Exit short,2026-03-24 13:19:00,Close entry(s) order Short,46440,1,23212.5,-9.4,-0.04,12.55,0.05,-8.45,-0.04,26044.1,260.44
436,Entry short,2026-03-24 13:15:00,Short,46425,1,23212.5,-9.4,-0.04,12.55,0.05,-8.45,-0.04,26044.1,260.44
437,Exit long,2026-03-24 13:27:00,Close entry(s) order Long,46860,1,23302.5,125.6,0.54,141.55,0.61,-0.95,0.00,26169.7,261.70
437,Entry long,2026-03-24 13:20:00,Long,46605,1,23302.5,125.6,0.54,141.55,0.61,-0.95,0.00,26169.7,261.70
438,Exit short,2026-03-24 13:33:00,Close entry(s) order Short,46725,1,23355,-9.4,-0.04,8.55,0.04,-8.45,-0.04,26160.3,261.60
438,Entry short,2026-03-24 13:32:00,Short,46710,1,23355,-9.4,-0.04,8.55,0.04,-8.45,-0.04,26160.3,261.60
439,Exit long,2026-03-25 01:31:00,Close entry(s) order Long,46935,1,23460,5.6,0.02,14.05,0.06,-15.45,-0.07,26165.9,261.66
439,Entry long,2026-03-25 01:15:00,Long,46920,1,23460,5.6,0.02,14.05,0.06,-15.45,-0.07,26165.9,261.66
440,Exit short,2026-03-25 07:01:00,Close entry(s) order Short,46695,1,23400,50.6,0.22,66.55,0.28,-0.95,0.00,26216.5,262.16
440,Entry short,2026-03-25 06:50:00,Short,46800,1,23400,50.6,0.22,66.55,0.28,-0.95,0.00,26216.5,262.16
441,Exit short,2026-03-25 08:19:00,Close entry(s) order Short,46515,1,23317.5,58.1,0.25,74.05,0.32,-0.95,0.00,26274.6,262.75
441,Entry short,2026-03-25 08:16:00,Short,46635,1,23317.5,58.1,0.25,74.05,0.32,-0.95,0.00,26274.6,262.75
442,Exit long,2026-03-25 08:37:00,Close entry(s) order Long,46755,1,23340,35.6,0.15,55.55,0.24,-0.95,0.00,26310.2,263.10
