Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
60,Entry short,2024-09-23 20:00:00,[R001S 5A:25 bA:25 R:42 V:0.64 B:0.51 M:+ ST:D CH:22 CF:- MI:52 SK:56 PS:U SQ:0],1.1116,1000,1111.6,-0.1,-0.01,0.99,0.09,-0.05,0.00,65.59,6.56
61,Exit long,2024-09-25 09:00:00,[ExitL 5A:45 bA:45 R:74 V:3.55 B:0.81 M:+ ST:U CH:5 CF:+ MI:70 SK:85 PS:U SQ:0],1.1188,1000,1117.6,1.1,0.10,1.95,0.17,-0.05,0.00,66.69,6.67
61,Entry long,2024-09-24 22:00:00,[R001L 5A:33 bA:33 R:78 V:0.22 B:0.94 M:+ ST:U CH:13 CF:+ MI:86 SK:100 PS:U SQ:0],1.1176,1000,1117.6,1.1,0.10,1.95,0.17,-0.05,0.00,66.69,6.67
62,Exit short,2024-10-02 18:00:00,[ExitS 5A:58 bA:58 R:30 V:0.94 B:0.19 M:+ ST:D CH:31 CF:- MI:53 SK:22 PS:D SQ:0],1.1044,1000,1105.2,0.7,0.06,1.15,0.10,-0.05,0.00,67.39,6.74
62,Entry short,2024-10-02 14:00:00,[R001S 5A:60 bA:60 R:25 V:0.95 B:0.12 M:+ ST:D CH:46 CF:- MI:38 SK:0 PS:D SQ:0],1.1052,1000,1105.2,0.7,0.06,1.15,0.10,-0.05,0.00,67.39,6.74
63,Exit short,2024-10-10 12:00:00,[ExitS 5A:31 bA:31 R:34 V:0.9 B:0.18 M:- ST:D CH:18 CF:- MI:12 SK:16 PS:D SQ:0],1.094,1000,1094,-0.1,-0.01,0.75,0.07,-0.05,0.00,67.29,6.73
63,Entry short,2024-10-10 08:00:00,[R001S 5A:27 bA:27 R:29 V:0.37 B:0.01 M:- ST:D CH:26 CF:- MI:23 SK:0 PS:D SQ:0],1.094,1000,1094,-0.1,-0.01,0.75,0.07,-0.05,0.00,67.29,6.73
64,Exit short,2024-10-15 03:00:00,[ExitS 5A:27 bA:27 R:36 V:0.74 B:0.17 M:- ST:D CH:23 CF:- MI:33 SK:18 PS:D SQ:0],1.0904,1000,1090.4,-0.1,-0.01,0,0.00,-0.45,-0.04,67.19,6.72
64,Entry short,2024-10-14 20:00:00,[R001S 5A:26 bA:26 R:28 V:0.47 B:-0.02 M:- ST:D CH:21 CF:- MI:29 SK:0 PS:D SQ:0],1.0904,1000,1090.4,-0.1,-0.01,0,0.00,-0.45,-0.04,67.19,6.72
65,Exit short,2024-10-17 10:00:00,[ExitS 5A:45 bA:45 R:33 V:1.14 B:0.17 M:- ST:D CH:25 CF:- MI:24 SK:20 PS:D SQ:0],1.086,1000,1087.6,1.5,0.14,2.39,0.22,-0.05,0.00,68.69,6.87
65,Entry short,2024-10-16 16:00:00,[R001S 5A:35 bA:35 R:34 V:0.66 B:0.07 M:- ST:D CH:37 CF:- MI:20 SK:0 PS:D SQ:0],1.0876,1000,1087.6,1.5,0.14,2.39,0.22,-0.05,0.00,68.69,6.87
66,Exit short,2024-10-22 06:00:00,[ExitS 5A:38 bA:38 R:34 V:3.13 B:0.18 M:- ST:D CH:17 CF:+ MI:46 SK:18 PS:D SQ:0],1.082,1000,1084,1.9,0.18,2.75,0.25,-0.05,0.00,70.59,7.06
66,Entry short,2024-10-21 14:00:00,[R001S 5A:31 bA:31 R:39 V:0.29 B:0.3 M:+ ST:D CH:34 CF:+ MI:61 SK:7 PS:D SQ:0],1.084,1000,1084,1.9,0.18,2.75,0.25,-0.05,0.00,70.59,7.06
67,Exit short,2024-10-23 06:00:00,[ExitS 5A:32 bA:32 R:37 V:2.28 B:0.18 M:- ST:D CH:26 CF:- MI:26 SK:24 PS:D SQ:0],1.08,1000,1080,-0.1,-0.01,0.45,0.04,-0.45,-0.04,70.49,7.05
67,Entry short,2024-10-22 19:00:00,[R001S 5A:31 bA:31 R:30 V:0.44 B:-0.04 M:- ST:D CH:24 CF:- MI:15 SK:0 PS:D SQ:0],1.08,1000,1080,-0.1,-0.01,0.45,0.04,-0.45,-0.04,70.49,7.05
68,Exit long,2024-10-25 06:00:00,[ExitL 5A:34 bA:34 R:62 V:1.48 B:0.81 M:+ ST:U CH:21 CF:+ MI:84 SK:81 PS:U SQ:0],1.082,1000,1082.4,-0.5,-0.05,0.41,0.04,-0.45,-0.04,69.99,7.00
68,Entry long,2024-10-25 06:00:00,[R001L 5A:34 bA:34 R:71 V:0.47 B:0.95 M:+ ST:U CH:16 CF:+ MI:92 SK:100 PS:U SQ:0],1.0824,1000,1082.4,-0.5,-0.05,0.41,0.04,-0.45,-0.04,69.99,7.00
69,Exit long,2024-10-31 00:00:00,[ExitL 5A:38 bA:38 R:70 V:1.33 B:0.83 M:+ ST:U CH:8 CF:+ MI:81 SK:85 PS:U SQ:0],1.086,1000,1084,1.9,0.18,2.75,0.25,-0.05,0.00,71.89,7.19
69,Entry long,2024-10-30 14:00:00,[R001L 5A:25 bA:25 R:68 V:0.44 B:0.89 M:+ ST:U CH:38 CF:+ MI:71 SK:100 PS:U SQ:0],1.084,1000,1084,1.9,0.18,2.75,0.25,-0.05,0.00,71.89,7.19
70,Exit long,2024-11-01 05:00:00,[ExitL 5A:32 bA:32 R:61 V:1.47 B:0.76 M:+ ST:U CH:35 CF:+ MI:54 SK:65 PS:U SQ:0],1.0876,1000,1087.2,0.3,0.03,1.41,0.13,-0.05,0.00,72.19,7.22
70,Entry long,2024-10-31 19:00:00,[R001L 5A:31 bA:31 R:63 V:0.37 B:0.83 M:- ST:D CH:37 CF:+ MI:68 SK:86 PS:U SQ:0],1.0872,1000,1087.2,0.3,0.03,1.41,0.13,-0.05,0.00,72.19,7.22
71,Exit long,2024-11-06 00:00:00,[ExitL 5A:33 bA:33 R:67 V:0.18 B:0.82 M:+ ST:U CH:5 CF:+ MI:99 SK:86 PS:U SQ:0],1.0924,1000,1091.6,0.7,0.06,1.55,0.14,-0.05,0.00,72.89,7.29
71,Entry long,2024-11-05 16:00:00,[R001L 5A:26 bA:26 R:70 V:0.67 B:0.92 M:+ ST:U CH:15 CF:+ MI:71 SK:100 PS:U SQ:0],1.0916,1000,1091.6,0.7,0.06,1.55,0.14,-0.05,0.00,72.89,7.29
72,Exit long,2024-11-07 16:00:00,[ExitL 5A:43 bA:43 R:72 V:1.99 B:0.82 M:+ ST:U CH:5 CF:+ MI:85 SK:80 PS:U SQ:0],1.08,1000,1077.6,2.3,0.21,3.45,0.32,-0.05,0.00,75.19,7.52
72,Entry long,2024-11-07 13:00:00,[R001L 5A:27 bA:27 R:70 V:0.81 B:0.94 M:+ ST:U CH:31 CF:+ MI:81 SK:100 PS:U SQ:0],1.0776,1000,1077.6,2.3,0.21,3.45,0.32,-0.05,0.00,75.19,7.52
73,Exit long,2024-11-08 00:00:00,[ExitL 5A:32 bA:32 R:57 V:0.36 B:0.48 M:- ST:U CH:41 CF:- MI:30 SK:44 PS:U SQ:0],1.0796,1000,1080,-0.5,-0.05,0.35,0.03,-0.45,-0.04,74.69,7.47
73,Entry long,2024-11-07 22:00:00,[R001L 5A:33 bA:33 R:62 V:0.92 B:0.69 M:- ST:D CH:39 CF:- MI:33 SK:59 PS:D SQ:0],1.08,1000,1080,-0.5,-0.05,0.35,0.03,-0.45,-0.04,74.69,7.47
74,Exit short,2024-11-12 18:00:00,[ExitS 5A:69 bA:69 R:22 V:0.62 B:0.18 M:- ST:D CH:8 CF:- MI:4 SK:15 PS:D SQ:0],1.0608,1000,1060.8,-0.1,-0.01,0.75,0.07,-0.05,0.00,74.59,7.46
74,Entry short,2024-11-12 16:00:00,[R001S 5A:67 bA:67 R:13 V:0.36 B:0.01 M:- ST:D CH:8 CF:- MI:14 SK:0 PS:D SQ:0],1.0608,1000,1060.8,-0.1,-0.01,0.75,0.07,-0.05,0.00,74.59,7.46
75,Exit short,2024-11-14 11:00:00,[ExitS 5A:66 bA:66 R:19 V:0.67 B:0.2 M:- ST:D CH:8 CF:- MI:4 SK:15 PS:D SQ:0],1.052,1000,1062,9.9,0.93,10.75,1.01,-0.05,0.00,84.49,8.45
75,Entry short,2024-11-13 14:00:00,[R001S 5A:27 bA:27 R:46 V:1.16 B:0.48 M:+ ST:U CH:30 CF:+ MI:42 SK:49 PS:U SQ:0],1.062,1000,1062,9.9,0.93,10.75,1.01,-0.05,0.00,84.49,8.45
76,Exit short,2024-11-15 02:00:00,[ExitS 5A:30 bA:30 R:38 V:3 B:0.19 M:- ST:D CH:11 CF:+ MI:33 SK:17 PS:D SQ:0],1.0532,1000,1055.6,2.3,0.22,3.15,0.30,-0.05,0.00,86.8,8.68
76,Entry short,2024-11-14 18:00:00,[R001S 5A:35 bA:35 R:51 V:0.35 B:0.67 M:+ ST:D CH:12 CF:+ MI:77 SK:64 PS:D SQ:0],1.0556,1000,1055.6,2.3,0.22,3.15,0.30,-0.05,0.00,86.8,8.68
77,Exit long,2024-11-19 05:00:00,[ExitL 5A:29 bA:29 R:67 V:4.6 B:0.83 M:+ ST:U CH:7 CF:+ MI:57 SK:80 PS:U SQ:0],1.0588,1000,1059.2,-0.5,-0.05,0.67,0.06,-0.45,-0.04,86.3,8.63
77,Entry long,2024-11-18 18:00:00,[R001L 5A:26 bA:26 R:75 V:0.46 B:1.01 M:+ ST:U CH:8 CF:+ MI:82 SK:100 PS:U SQ:0],1.0592,1000,1059.2,-0.5,-0.05,0.67,0.06,-0.45,-0.04,86.3,8.63
78,Exit long,2024-11-20 03:00:00,[ExitL 5A:26 bA:26 R:64 V:1.32 B:0.82 M:+ ST:U CH:11 CF:+ MI:88 SK:85 PS:U SQ:0],1.0596,1000,1060,-0.5,-0.05,0,0.00,-0.45,-0.04,85.8,8.58
78,Entry long,2024-11-20 02:00:00,[R001L 5A:26 bA:26 R:73 V:0.25 B:0.99 M:+ ST:U CH:9 CF:+ MI:93 SK:100 PS:U SQ:0],1.06,1000,1060,-0.5,-0.05,0,0.00,-0.45,-0.04,85.8,8.58
79,Exit short,2024-11-21 21:00:00,[ExitS 5A:48 bA:48 R:27 V:2.05 B:0.18 M:- ST:D CH:5 CF:- MI:18 SK:14 PS:D SQ:0],1.048,1000,1051.6,3.5,0.33,3.95,0.38,-0.05,0.00,89.31,8.93
79,Entry short,2024-11-21 15:00:00,[R001S 5A:32 bA:32 R:32 V:0.86 B:0.08 M:- ST:D CH:26 CF:+ MI:42 SK:0 PS:D SQ:0],1.0516,1000,1051.6,3.5,0.33,3.95,0.38,-0.05,0.00,89.31,8.93
80,Exit short,2024-11-22 17:00:00,[ExitS 5A:39 bA:39 R:39 V:0.4 B:0.25 M:+ ST:D CH:34 CF:- MI:21 SK:29 PS:D SQ:0],1.0408,1000,1041.2,0.3,0.03,1.15,0.11,-0.05,0.00,89.61,8.96
