Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
27,Entry long,2025-12-17 15:00:00,Long,1.7736,1000,1773.6,2.56,0.22,3.48,0.30,-0.11,-0.01,52.06,5.21
28,Exit short,2025-12-24 18:00:00,Close entry(s) order Short,1.7562,1000,1761,3.01,0.25,3.92,0.33,-0.11,-0.01,55.06,5.51
28,Entry short,2025-12-23 15:00:00,Short,1.761,1000,1761,3.01,0.25,3.92,0.33,-0.11,-0.01,55.06,5.51
29,Exit long,2025-12-31 17:00:00,Close entry(s) order Long,1.7598,1000,1758,0.99,0.08,1.9,0.16,-0.11,-0.01,56.06,5.61
29,Entry long,2025-12-31 15:00:00,Long,1.758,1000,1758,0.99,0.08,1.9,0.16,-0.11,-0.01,56.06,5.61
30,Exit short,2026-01-05 00:00:00,Close entry(s) order Short,1.752,1000,1753.2,0.59,0.05,1.65,0.14,-0.11,-0.01,56.65,5.66
30,Entry short,2026-01-02 20:00:00,Short,1.7532,1000,1753.2,0.59,0.05,1.65,0.14,-0.11,-0.01,56.65,5.66
31,Exit short,2026-01-07 01:00:00,Close entry(s) order Short,1.7352,1000,1740.6,3.43,0.29,4.22,0.36,-0.11,-0.01,60.08,6.01
31,Entry short,2026-01-06 14:00:00,Short,1.7406,1000,1740.6,3.43,0.29,4.22,0.36,-0.11,-0.01,60.08,6.01
32,Exit short,2026-01-09 06:00:00,Close entry(s) order Short,1.7406,1000,1740.6,-0.21,-0.02,0.7,0.06,-0.11,-0.01,59.87,5.99
32,Entry short,2026-01-08 20:00:00,Short,1.7406,1000,1740.6,-0.21,-0.02,0.7,0.06,-0.11,-0.01,59.87,5.99
33,Exit long,2026-01-13 22:00:00,Close entry(s) order Long,1.7424,1000,1743,-0.61,-0.05,0.3,0.03,-0.51,-0.04,59.26,5.93
33,Entry long,2026-01-13 18:00:00,Long,1.743,1000,1743,-0.61,-0.05,0.3,0.03,-0.51,-0.04,59.26,5.93
34,Exit short,2026-01-15 19:00:00,Close entry(s) order Short,1.7322,1000,1736.4,2.6,0.22,3.5,0.30,-0.1,-0.01,61.85,6.19
34,Entry short,2026-01-15 14:00:00,Short,1.7364,1000,1736.4,2.6,0.22,3.5,0.30,-0.1,-0.01,61.85,6.19
