Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
12,Exit short,2025-03-12 08:00:00,[ExitS rA:35 hA:39 MK:-1 R:35 V:1.56 B:0.2 M:- ST:D CH:5 CF:- MI:12 SK:15 PS:D SQ:0],192.15,1000,192250,0.55,0.04,1.29,0.10,-0.07,0.00,22.99,2.30
12,Entry short,2025-03-12 07:00:00,[R001S rA:33 hA:40 MK:-1 R:33 V:1.19 B:0.03 M:- ST:D CH:3 CF:- MI:0 SK:0 PS:D SQ:0],192.25,1000,192250,0.55,0.04,1.29,0.10,-0.07,0.00,22.99,2.30
13,Exit short,2025-03-12 11:00:00,[ExitS rA:43 hA:45 MK:-1 R:44 V:0.78 B:0.4 M:- ST:D CH:39 CF:- MI:58 SK:50 PS:D SQ:0],192.2,1000,192250,0.21,0.02,0.95,0.07,-0.07,0.00,23.19,2.32
13,Entry short,2025-03-12 10:00:00,[R002S rA:34 hA:56 MK:-1 R:44 V:0.79 B:0.38 M:- ST:U CH:26 CF:- MI:54 SK:50 PS:U SQ:0],192.25,1000,192250,0.21,0.02,0.95,0.07,-0.07,0.00,23.19,2.32
14,Exit short,2025-03-18 09:00:00,[ExitS rA:31 hA:45 MK:0 R:43 V:3.98 B:0.24 M:- ST:D CH:24 CF:- MI:54 SK:22 PS:D SQ:0],194.1,1000,194100,-0.13,-0.01,0.61,0.05,-0.07,0.00,23.06,2.31
14,Entry short,2025-03-18 06:00:00,[R001S rA:42 hA:45 MK:-1 R:40 V:0.94 B:0.12 M:- ST:D CH:18 CF:+ MI:32 SK:0 PS:D SQ:0],194.1,1000,194100,-0.13,-0.01,0.61,0.05,-0.07,0.00,23.06,2.31
15,Exit short,2025-04-03 16:00:00,[ExitS rA:34 hA:48 MK:-1 R:24 V:0.37 B:0.19 M:- ST:D CH:5 CF:- MI:4 SK:15 PS:D SQ:0],191,1000,191150,0.9,0.07,1.65,0.13,-0.07,0.00,23.96,2.40
15,Entry short,2025-04-03 15:00:00,[R001S rA:36 hA:48 MK:-1 R:18 V:0.24 B:-0.03 M:- ST:D CH:12 CF:- MI:32 SK:0 PS:D SQ:0],191.15,1000,191150,0.9,0.07,1.65,0.13,-0.07,0.00,23.96,2.40
16,Exit short,2025-04-04 08:00:00,[ExitS rA:66 hA:43 MK:-1 R:25 V:2.08 B:0.2 M:- ST:D CH:5 CF:- MI:22 SK:15 PS:D SQ:0],188.4,1000,188700,1.92,0.15,2.67,0.21,-0.06,0.00,25.89,2.59
16,Entry short,2025-04-04 07:00:00,[R001S rA:62 hA:41 MK:-1 R:25 V:0.44 B:0.02 M:- ST:D CH:8 CF:- MI:10 SK:0 PS:D SQ:0],188.7,1000,188700,1.92,0.15,2.67,0.21,-0.06,0.00,25.89,2.59
17,Exit short,2025-04-06 16:00:00,[ExitS rA:52 hA:56 MK:-1 R:15 V:0.83 B:0.2 M:+ ST:D CH:5 CF:- MI:7 SK:15 PS:D SQ:0],187.1,1000,188700,10.74,0.84,11.49,0.90,-0.06,0.00,36.63,3.66
17,Entry short,2025-04-06 14:00:00,[R001S rA:40 hA:56 MK:-1 R:20 V:0.02 B:0.05 M:- ST:D CH:0 CF:+ MI:0 SK:0 PS:D SQ:0],188.7,1000,188700,10.74,0.84,11.49,0.90,-0.06,0.00,36.63,3.66
18,Exit short,2025-04-09 08:00:00,[ExitS rA:87 hA:44 MK:-1 R:31 V:0.47 B:0.21 M:+ ST:D CH:18 CF:+ MI:59 SK:20 PS:D SQ:0],184.75,1000,185050,1.92,0.15,2.67,0.21,-0.06,0.00,38.55,3.86
18,Entry short,2025-04-09 07:00:00,[R002S rA:34 hA:45 MK:-1 R:37 V:0.63 B:0.46 M:+ ST:U CH:30 CF:+ MI:85 SK:73 PS:U SQ:0],185.05,1000,185050,1.92,0.15,2.67,0.21,-0.06,0.00,38.55,3.86
19,Exit long,2025-04-09 14:00:00,[ExitL rA:78 hA:62 MK:1 R:87 V:0.05 B:0.8 M:- ST:U CH:5 CF:+ MI:100 SK:85 PS:U SQ:0],189.4,1000,185150,28.91,2.29,29.66,2.34,-0.06,0.00,67.46,6.75
19,Entry long,2025-04-09 10:00:00,[R002L rA:NaN hA:NaN MK:NaN R:56 V:0.21 B:0.77 M:+ ST:D CH:18 CF:- MI:55 SK:80 PS:U SQ:0],185.15,1000,185150,28.91,2.29,29.66,2.34,-0.06,0.00,67.46,6.75
20,Exit long,2025-05-01 13:00:00,[ExitL rA:98 hA:61 MK:1 R:76 V:1.7 B:0.76 M:- ST:U CH:25 CF:+ MI:68 SK:78 PS:U SQ:0],193.3,1000,193300,-0.14,-0.01,0.63,0.05,-0.07,0.00,67.33,6.73
20,Entry long,2025-05-01 11:00:00,[R001L rA:61 hA:52 MK:1 R:85 V:1.48 B:0.85 M:- ST:U CH:19 CF:+ MI:76 SK:100 PS:U SQ:0],193.3,1000,193300,-0.14,-0.01,0.63,0.05,-0.07,0.00,67.33,6.73
21,Exit long,2025-05-12 08:00:00,[ExitL rA:84 hA:42 MK:1 R:70 V:1.07 B:0.82 M:+ ST:U CH:8 CF:+ MI:92 SK:85 PS:U SQ:0],195.5,1000,195550,-0.48,-0.04,0.28,0.02,-0.41,-0.03,66.85,6.68
21,Entry long,2025-05-12 07:00:00,[R001L rA:87 hA:42 MK:1 R:79 V:1.49 B:0.99 M:+ ST:U CH:5 CF:+ MI:82 SK:100 PS:U SQ:0],195.55,1000,195550,-0.48,-0.04,0.28,0.02,-0.41,-0.03,66.85,6.68
22,Exit long,2025-05-12 11:00:00,[ExitL rA:47 hA:55 MK:1 R:65 V:2.06 B:0.74 M:+ ST:U CH:34 CF:+ MI:68 SK:71 PS:U SQ:0],195.6,1000,195500,0.55,0.04,1.31,0.10,-0.07,0.00,67.4,6.74
22,Entry long,2025-05-12 09:00:00,[R002L rA:29 hA:48 MK:1 R:66 V:0.45 B:0.75 M:- ST:D CH:18 CF:+ MI:78 SK:80 PS:D SQ:0],195.5,1000,195500,0.55,0.04,1.31,0.10,-0.07,0.00,67.4,6.74
23,Exit long,2025-05-13 18:00:00,[ExitL rA:45 hA:55 MK:1 R:71 V:1.63 B:0.82 M:+ ST:U CH:8 CF:+ MI:82 SK:85 PS:U SQ:0],196.2,1000,195750,2.92,0.22,3.64,0.28,-0.07,0.00,70.32,7.03
23,Entry long,2025-05-13 07:00:00,[R002L rA:45 hA:55 MK:1 R:61 V:0.82 B:0.62 M:- ST:D CH:26 CF:+ MI:64 SK:50 PS:D SQ:0],195.75,1000,195750,2.92,0.22,3.64,0.28,-0.07,0.00,70.32,7.03
24,Exit long,2025-06-25 11:00:00,[ExitL rA:46 hA:50 MK:1 R:75 V:3.59 B:0.81 M:+ ST:U CH:10 CF:+ MI:62 SK:84 PS:U SQ:0],198.4,1000,198350,0.21,0.02,1.02,0.07,-0.07,0.00,70.53,7.05
24,Entry long,2025-06-25 06:00:00,[R001L rA:46 hA:55 MK:1 R:82 V:1.09 B:0.93 M:+ ST:U CH:11 CF:+ MI:81 SK:100 PS:U SQ:0],198.35,1000,198350,0.21,0.02,1.02,0.07,-0.07,0.00,70.53,7.05
