Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
331,Entry long,2025-04-07 14:00:00,Long,1.8138,1000,1813.8,2.07,0.19,2.12,0.19,-0.05,0.00,210.73,21.07
332,Exit long,2025-04-07 17:00:00,SL,1.8324,1000,1836,-2.28,-0.21,0,0.00,-2.23,-0.20,208.45,20.84
332,Entry long,2025-04-07 17:00:00,Long,1.836,1000,1836,-2.28,-0.21,0,0.00,-2.23,-0.20,208.45,20.84
333,Exit short,2025-04-07 17:00:00,TP,1.8246,1000,1828.2,2.07,0.19,2.12,0.19,-0.05,0.00,210.52,21.05
333,Entry short,2025-04-07 17:00:00,Short,1.8282,1000,1828.2,2.07,0.19,2.12,0.19,-0.05,0.00,210.52,21.05
334,Exit short,2025-04-08 04:00:00,TP,1.8162,1000,1819.8,2.05,0.19,2.1,0.19,-0.05,0.00,212.58,21.26
334,Entry short,2025-04-08 03:00:00,Short,1.8198,1000,1819.8,2.05,0.19,2.1,0.19,-0.05,0.00,212.58,21.26
335,Exit short,2025-04-08 13:00:00,TP,1.8048,1000,1808.4,2.06,0.19,2.11,0.19,-0.41,-0.04,214.63,21.46
335,Entry short,2025-04-08 10:00:00,Short,1.8084,1000,1808.4,2.06,0.19,2.11,0.19,-0.41,-0.04,214.63,21.46
336,Exit long,2025-04-09 01:00:00,SL,1.8426,1000,1846.2,-2.25,-0.20,0,0.00,-2.19,-0.20,212.39,21.24
336,Entry long,2025-04-09 01:00:00,Long,1.8462,1000,1846.2,-2.25,-0.20,0,0.00,-2.19,-0.20,212.39,21.24
337,Exit long,2025-04-09 07:00:00,SL,1.845,1000,1848.6,-2.25,-0.20,1.87,0.17,-2.2,-0.20,210.14,21.01
337,Entry long,2025-04-09 04:00:00,Long,1.8486,1000,1848.6,-2.25,-0.20,1.87,0.17,-2.2,-0.20,210.14,21.01
338,Exit short,2025-04-09 07:00:00,TP,1.8402,1000,1843.8,2.04,0.19,2.09,0.19,-0.05,0.00,212.19,21.22
