Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
104,Exit long,2026-01-29 16:00:00,[ExitL rA:42 hA:38 R:79 V:1.67 B:0.8 M:+ ST:U CH:5 CF:+ MI:86 SK:85 PS:U SQ:0],1.7082,1000,1702.2,4.01,0.33,4.96,0.41,-0.11,-0.01,223.83,22.38
104,Entry long,2026-01-29 15:00:00,[R001L rA:33 hA:34 R:78 V:0.65 B:0.95 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.7022,1000,1702.2,4.01,0.33,4.96,0.41,-0.11,-0.01,223.83,22.38
105,Exit long,2026-02-06 01:00:00,[ExitL rA:58 hA:34 R:73 V:1.88 B:0.8 M:+ ST:U CH:5 CF:+ MI:79 SK:85 PS:U SQ:0],1.7016,1000,1701,0.2,0.02,1.14,0.10,-0.11,-0.01,224.03,22.40
105,Entry long,2026-02-05 23:00:00,[R001L rA:33 hA:33 R:80 V:0.4 B:0.98 M:+ ST:U CH:3 CF:+ MI:92 SK:100 PS:U SQ:0],1.701,1000,1701,0.2,0.02,1.14,0.10,-0.11,-0.01,224.03,22.40
106,Exit short,2026-02-09 00:00:00,[ExitS rA:68 hA:53 R:25 V:0.46 B:0.22 M:- ST:D CH:15 CF:- MI:21 SK:16 PS:D SQ:0],1.6824,1000,1681.8,-0.63,-0.05,0,0.00,-0.53,-0.04,223.4,22.34
106,Entry short,2026-02-09 00:00:00,[R001S rA:39 hA:42 R:14 V:0.36 B:0.1 M:- ST:D CH:13 CF:- MI:19 SK:0 PS:D SQ:0],1.6818,1000,1681.8,-0.63,-0.05,0,0.00,-0.53,-0.04,223.4,22.34
107,Exit short,2026-02-11 15:00:00,[ExitS rA:65 hA:34 R:24 V:1.2 B:0.2 M:- ST:D CH:5 CF:- MI:10 SK:15 PS:D SQ:0],1.6656,1000,1666.8,0.64,0.05,1.59,0.13,-0.11,-0.01,224.04,22.40
107,Entry short,2026-02-11 14:00:00,[R001S rA:65 hA:34 R:17 V:1.33 B:0.05 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],1.6668,1000,1666.8,0.64,0.05,1.59,0.13,-0.11,-0.01,224.04,22.40
108,Exit short,2026-03-10 17:51:00,[ExitS rA:55 hA:44 R:34 V:0.38 B:0.23 M:- ST:D CH:28 CF:- MI:42 SK:22 PS:D SQ:0],1.6278,1000,1627.8,-0.21,-0.02,0,0.00,-0.53,-0.05,223.83,22.38
108,Entry short,2026-03-10 17:34:00,[R001S rA:47 hA:40 R:26 V:0.62 B:0.09 M:- ST:D CH:21 CF:- MI:40 SK:0 PS:D SQ:0],1.6278,1000,1627.8,-0.21,-0.02,0,0.00,-0.53,-0.05,223.83,22.38
