Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
23,Exit long,2023-09-07 05:00:00,SL,1.683,1000,1684.2,-0.86,-0.08,0,0.00,-0.82,-0.08,9.02,0.90
23,Entry long,2023-09-07 02:00:00,Long,1.6842,1000,1684.2,-0.86,-0.08,0,0.00,-0.82,-0.08,9.02,0.90
24,Exit short,2023-09-07 12:00:00,TP,1.6758,1000,1677.6,1.05,0.10,1.1,0.10,-0.05,0.00,10.07,1.01
24,Entry short,2023-09-07 08:00:00,Short,1.6776,1000,1677.6,1.05,0.10,1.1,0.10,-0.05,0.00,10.07,1.01
25,Exit short,2023-09-08 13:00:00,SL,1.6758,1000,1674.6,-0.86,-0.08,0.79,0.07,-0.81,-0.08,9.21,0.92
25,Entry short,2023-09-08 05:00:00,Short,1.6746,1000,1674.6,-0.86,-0.08,0.79,0.07,-0.81,-0.08,9.21,0.92
26,Exit short,2023-09-12 10:00:00,SL,1.6686,1000,1667.4,-0.87,-0.08,0.34,0.03,-0.82,-0.08,8.34,0.83
26,Entry short,2023-09-12 07:00:00,Short,1.6674,1000,1667.4,-0.87,-0.08,0.34,0.03,-0.82,-0.08,8.34,0.83
27,Exit long,2023-09-13 01:00:00,TP,1.6758,1000,1674,1.06,0.10,1.11,0.10,-0.44,-0.04,9.4,0.94
27,Entry long,2023-09-12 21:00:00,Long,1.674,1000,1674,1.06,0.10,1.11,0.10,-0.44,-0.04,9.4,0.94
28,Exit long,2023-09-13 07:00:00,SL,1.6758,1000,1677,-0.87,-0.08,0.53,0.05,-0.82,-0.08,8.52,0.85
28,Entry long,2023-09-13 02:00:00,Long,1.677,1000,1677,-0.87,-0.08,0.53,0.05,-0.82,-0.08,8.52,0.85
29,Exit short,2023-09-14 00:00:00,TP,1.6668,1000,1668.6,1.06,0.10,1.11,0.10,-0.05,0.00,9.58,0.96
29,Entry short,2023-09-14 00:00:00,Short,1.6686,1000,1668.6,1.06,0.10,1.11,0.10,-0.05,0.00,9.58,0.96
30,Exit short,2023-09-14 12:00:00,TP,1.665,1000,1666.8,1.06,0.10,1.11,0.10,-0.05,0.00,10.64,1.06
30,Entry short,2023-09-14 10:00:00,Short,1.6668,1000,1666.8,1.06,0.10,1.11,0.10,-0.05,0.00,10.64,1.06
31,Exit short,2023-09-15 02:00:00,TP,1.6482,1000,1650,1.06,0.10,1.11,0.10,-0.05,0.00,11.7,1.17
31,Entry short,2023-09-15 02:00:00,Short,1.65,1000,1650,1.06,0.10,1.11,0.10,-0.05,0.00,11.7,1.17
32,Exit long,2023-09-15 13:00:00,TP,1.6542,1000,1652.4,1.06,0.10,1.11,0.10,-0.05,0.00,12.76,1.28
32,Entry long,2023-09-15 12:00:00,Long,1.6524,1000,1652.4,1.06,0.10,1.11,0.10,-0.05,0.00,12.76,1.28
33,Exit long,2023-09-18 14:00:00,TP,1.6596,1000,1657.8,1.06,0.10,1.11,0.10,-0.05,0.00,13.82,1.38
33,Entry long,2023-09-18 13:00:00,Long,1.6578,1000,1657.8,1.06,0.10,1.11,0.10,-0.05,0.00,13.82,1.38
34,Exit short,2023-09-20 00:00:00,SL,1.6548,1000,1653.6,-0.87,-0.08,0.73,0.07,-0.82,-0.08,12.95,1.29
34,Entry short,2023-09-19 23:00:00,Short,1.6536,1000,1653.6,-0.87,-0.08,0.73,0.07,-0.82,-0.08,12.95,1.29
35,Exit short,2023-09-20 11:00:00,TP,1.6506,1000,1652.4,1.06,0.10,1.11,0.10,-0.05,0.00,14.01,1.40
35,Entry short,2023-09-20 10:00:00,Short,1.6524,1000,1652.4,1.06,0.10,1.11,0.10,-0.05,0.00,14.01,1.40
36,Exit long,2023-09-21 02:00:00,TP,1.6584,1000,1656.6,1.06,0.10,1.11,0.10,-0.05,0.00,15.08,1.51
36,Entry long,2023-09-21 01:00:00,Long,1.6566,1000,1656.6,1.06,0.10,1.11,0.10,-0.05,0.00,15.08,1.51
37,Exit long,2023-09-22 01:00:00,SL,1.662,1000,1663.2,-0.87,-0.08,0,0.00,-0.82,-0.08,14.21,1.42
37,Entry long,2023-09-21 23:00:00,Long,1.6632,1000,1663.2,-0.87,-0.08,0,0.00,-0.82,-0.08,14.21,1.42
38,Exit short,2023-09-22 09:00:00,TP,1.6524,1000,1654.2,1.06,0.10,1.11,0.10,-0.05,0.00,15.26,1.53
38,Entry short,2023-09-22 08:00:00,Short,1.6542,1000,1654.2,1.06,0.10,1.11,0.10,-0.05,0.00,15.26,1.53
39,Exit long,2023-09-25 07:00:00,SL,1.6566,1000,1657.8,-0.87,-0.08,0.34,0.03,-0.82,-0.08,14.39,1.44
39,Entry long,2023-09-25 05:00:00,Long,1.6578,1000,1657.8,-0.87,-0.08,0.34,0.03,-0.82,-0.08,14.39,1.44
40,Exit short,2023-09-25 13:00:00,TP,1.65,1000,1651.8,1.06,0.10,1.11,0.10,-0.05,0.00,15.45,1.55
40,Entry short,2023-09-25 13:00:00,Short,1.6518,1000,1651.8,1.06,0.10,1.11,0.10,-0.05,0.00,15.45,1.55
41,Exit long,2023-09-27 10:00:00,TP,1.6566,1000,1654.8,1.05,0.10,1.1,0.10,-0.05,0.00,16.51,1.65
41,Entry long,2023-09-27 03:00:00,Long,1.6548,1000,1654.8,1.05,0.10,1.1,0.10,-0.05,0.00,16.51,1.65
42,Exit short,2023-09-27 16:00:00,SL,1.6506,1000,1649.4,-0.86,-0.08,0.72,0.07,-0.82,-0.08,15.64,1.56
42,Entry short,2023-09-27 13:00:00,Short,1.6494,1000,1649.4,-0.86,-0.08,0.72,0.07,-0.82,-0.08,15.64,1.56
43,Exit long,2023-09-27 18:00:00,SL,1.6542,1000,1655.4,-0.87,-0.08,0,0.00,-0.82,-0.08,14.78,1.48
