Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
139,Exit long,2025-05-14 22:00:00,[ExitL rA:53 R:67 V:2.42 B:0.81 M:+ ST:U CH:23 CF:+ MI:62 SK:72 PS:U SQ:0],1.7382,1000,1737.6,0.18,0.02,0.94,0.08,-0.1,-0.01,231.86,23.19
139,Entry long,2025-05-14 15:00:00,[R001L rA:50 R:73 V:1.43 B:0.93 M:+ ST:U CH:26 CF:+ MI:70 SK:100 PS:U SQ:0],1.7376,1000,1737.6,0.18,0.02,0.94,0.08,-0.1,-0.01,231.86,23.19
140,Exit long,2025-05-20 15:00:00,[ExitL rA:40 R:76 V:0.59 B:0.81 M:+ ST:U CH:18 CF:+ MI:59 SK:82 PS:U SQ:0],1.7586,1000,1757.4,0.57,0.05,1.45,0.13,-0.1,-0.01,232.44,23.24
140,Entry long,2025-05-20 14:00:00,[R001L rA:37 R:82 V:0.44 B:0.9 M:+ ST:U CH:12 CF:+ MI:60 SK:100 PS:U SQ:0],1.7574,1000,1757.4,0.57,0.05,1.45,0.13,-0.1,-0.01,232.44,23.24
141,Exit short,2025-05-25 21:00:00,[ExitS rA:49 R:27 V:1.42 B:0.2 M:- ST:D CH:7 CF:- MI:9 SK:16 PS:D SQ:0],1.7502,1000,1750.2,-0.2,-0.02,0.8,0.07,-0.1,-0.01,232.23,23.22
141,Entry short,2025-05-23 17:00:00,[R001S rA:42 R:19 V:0.38 B:0.07 M:- ST:D CH:4 CF:- MI:0 SK:0 PS:D SQ:0],1.7502,1000,1750.2,-0.2,-0.02,0.8,0.07,-0.1,-0.01,232.23,23.22
142,Exit long,2025-05-27 02:00:00,[ExitL rA:59 R:66 V:1.79 B:0.81 M:+ ST:U CH:9 CF:- MI:77 SK:85 PS:U SQ:0],1.7568,1000,1756.8,-0.21,-0.02,0,0.00,-0.49,-0.04,232.03,23.20
142,Entry long,2025-05-27 00:00:00,[R001L rA:53 R:75 V:0.68 B:0.95 M:+ ST:U CH:4 CF:- MI:100 SK:100 PS:U SQ:0],1.7568,1000,1756.8,-0.21,-0.02,0,0.00,-0.49,-0.04,232.03,23.20
143,Exit short,2025-05-29 01:00:00,[ExitS rA:40 R:26 V:2.56 B:0.2 M:- ST:D CH:5 CF:- MI:24 SK:15 PS:D SQ:0],1.7502,1000,1752,0.95,0.08,1.83,0.16,-0.1,-0.01,232.98,23.30
143,Entry short,2025-05-28 23:00:00,[R001S rA:34 R:22 V:0.42 B:0.08 M:- ST:D CH:4 CF:- MI:0 SK:0 PS:D SQ:0],1.752,1000,1752,0.95,0.08,1.83,0.16,-0.1,-0.01,232.98,23.30
144,Exit long,2025-06-12 03:00:00,[ExitL rA:35 R:82 V:1.65 B:0.8 M:+ ST:U CH:5 CF:+ MI:87 SK:85 PS:U SQ:0],1.7724,1000,1761.6,6.81,0.59,7.7,0.67,-0.1,-0.01,239.8,23.98
144,Entry long,2025-06-11 17:00:00,[R001L rA:35 R:78 V:1.42 B:0.95 M:+ ST:U CH:13 CF:+ MI:69 SK:100 PS:U SQ:0],1.7616,1000,1761.6,6.81,0.59,7.7,0.67,-0.1,-0.01,239.8,23.98
145,Exit long,2025-06-13 01:00:00,[ExitL rA:73 R:72 V:1.3 B:0.8 M:+ ST:U CH:5 CF:+ MI:89 SK:85 PS:U SQ:0],1.7832,1000,1777.2,3.71,0.32,4.6,0.40,-0.1,-0.01,243.51,24.35
145,Entry long,2025-06-12 23:00:00,[R001L rA:32 R:60 V:0.68 B:0.54 M:- ST:U CH:18 CF:- MI:20 SK:69 PS:U SQ:0],1.7772,1000,1777.2,3.71,0.32,4.6,0.40,-0.1,-0.01,243.51,24.35
146,Exit short,2025-06-16 20:00:00,[ExitS rA:44 R:30 V:1.53 B:0.2 M:- ST:D CH:5 CF:- MI:12 SK:15 PS:D SQ:0],1.7712,1000,1770.6,-0.6,-0.05,0,0.00,-0.49,-0.04,242.91,24.29
146,Entry short,2025-06-16 18:00:00,[R001S rA:33 R:20 V:0.58 B:0.07 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],1.7706,1000,1770.6,-0.6,-0.05,0,0.00,-0.49,-0.04,242.91,24.29
147,Exit long,2025-06-22 22:00:00,[ExitL rA:45 R:75 V:1.18 B:0.8 M:+ ST:U CH:5 CF:+ MI:90 SK:85 PS:U SQ:0],1.785,1000,1780.8,2.5,0.22,3.4,0.29,-0.1,-0.01,245.41,24.54
147,Entry long,2025-06-20 15:00:00,[R001L rA:34 R:73 V:0.34 B:1.02 M:+ ST:U CH:14 CF:- MI:38 SK:100 PS:U SQ:0],1.7808,1000,1780.8,2.5,0.22,3.4,0.29,-0.1,-0.01,245.41,24.54
148,Exit long,2025-06-23 17:00:00,[ExitL rA:50 R:60 V:0.5 B:0.66 M:- ST:U CH:34 CF:- MI:31 SK:71 PS:U SQ:0],1.7964,1000,1797,-0.6,-0.05,0.28,0.02,-0.49,-0.04,244.81,24.48
148,Entry long,2025-06-23 16:00:00,[R001L rA:33 R:66 V:1.41 B:0.83 M:- ST:U CH:31 CF:- MI:28 SK:86 PS:U SQ:0],1.797,1000,1797,-0.6,-0.05,0.28,0.02,-0.49,-0.04,244.81,24.48
149,Exit long,2025-07-08 00:00:00,[ExitL rA:36 R:54 V:0.56 B:0.39 M:- ST:U CH:26 CF:- MI:47 SK:52 PS:U SQ:0],1.8042,1000,1804.8,-0.6,-0.05,0,0.00,-0.49,-0.04,244.21,24.42
149,Entry long,2025-07-07 23:00:00,[R001L rA:37 R:61 V:0.14 B:0.54 M:- ST:U CH:19 CF:- MI:45 SK:68 PS:U SQ:0],1.8048,1000,1804.8,-0.6,-0.05,0,0.00,-0.49,-0.04,244.21,24.42
150,Exit short,2025-07-10 21:00:00,[ExitS rA:35 R:19 V:0.48 B:0.2 M:- ST:D CH:5 CF:- MI:4 SK:15 PS:D SQ:0],1.7766,1000,1785,5.32,0.45,6.17,0.53,-0.1,-0.01,249.54,24.95
150,Entry short,2025-07-10 14:00:00,[R001S rA:34 R:20 V:0.9 B:0.08 M:- ST:D CH:7 CF:- MI:0 SK:0 PS:D SQ:0],1.785,1000,1785,5.32,0.45,6.17,0.53,-0.1,-0.01,249.54,24.95
151,Exit long,2025-07-25 18:00:00,[ExitL rA:29 R:64 V:1 B:0.75 M:+ ST:U CH:37 CF:+ MI:65 SK:71 PS:U SQ:0],1.7886,1000,1788.6,-0.21,-0.02,0.29,0.02,-0.5,-0.04,249.33,24.93
151,Entry long,2025-07-25 15:00:00,[R001L rA:31 R:71 V:0.55 B:0.89 M:+ ST:U CH:40 CF:+ MI:75 SK:100 PS:U SQ:0],1.7886,1000,1788.6,-0.21,-0.02,0.29,0.02,-0.5,-0.04,249.33,24.93
152,Exit short,2025-07-29 00:00:00,[ExitS rA:69 R:27 V:0.66 B:0.2 M:- ST:D CH:5 CF:- MI:4 SK:15 PS:D SQ:0],1.7778,1000,1781.4,2.14,0.18,3.02,0.26,-0.11,-0.01,251.47,25.15
152,Entry short,2025-07-28 16:00:00,[R001S rA:36 R:28 V:0.45 B:0.04 M:- ST:D CH:3 CF:- MI:0 SK:0 PS:D SQ:0],1.7814,1000,1781.4,2.14,0.18,3.02,0.26,-0.11,-0.01,251.47,25.15
153,Exit short,2025-07-29 19:00:00,[ExitS rA:48 R:33 V:2.91 B:0.19 M:- ST:D CH:14 CF:- MI:49 SK:18 PS:D SQ:0],1.7724,1000,1773,0.18,0.02,1.07,0.09,-0.1,-0.01,251.65,25.16
153,Entry short,2025-07-29 14:00:00,[R001S rA:32 R:29 V:1.3 B:0.03 M:+ ST:D CH:26 CF:- MI:55 SK:0 PS:D SQ:0],1.773,1000,1773,0.18,0.02,1.07,0.09,-0.1,-0.01,251.65,25.16
154,Exit long,2025-08-03 22:00:00,[ExitL rA:36 R:82 V:0.32 B:0.8 M:+ ST:U CH:10 CF:+ MI:98 SK:85 PS:U SQ:0],1.7922,1000,1790.4,0.96,0.08,1.84,0.16,-0.1,-0.01,252.6,25.26
154,Entry long,2025-08-01 19:00:00,[R001L rA:35 R:91 V:0.44 B:0.91 M:+ ST:U CH:5 CF:+ MI:100 SK:100 PS:U SQ:0],1.7904,1000,1790.4,0.96,0.08,1.84,0.16,-0.1,-0.01,252.6,25.26
155,Exit long,2025-08-17 23:00:00,[ExitL rA:70 R:70 V:0.26 B:0.83 M:+ ST:U CH:20 CF:+ MI:94 SK:84 PS:U SQ:0],1.7988,1000,1798.2,0.18,0.02,1.07,0.09,-0.25,-0.02,252.78,25.28
155,Entry long,2025-08-15 18:00:00,[R001L rA:61 R:76 V:0.4 B:0.97 M:+ ST:U CH:31 CF:+ MI:79 SK:100 PS:U SQ:0],1.7982,1000,1798.2,0.18,0.02,1.07,0.09,-0.25,-0.02,252.78,25.28
156,Exit long,2025-08-20 02:00:00,[ExitL rA:43 R:69 V:5.23 B:0.8 M:+ ST:U CH:17 CF:- MI:44 SK:76 PS:U SQ:0],1.8042,1000,1803.6,0.18,0.02,1,0.09,-0.11,-0.01,252.96,25.30
