Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
47,Entry short,2025-03-03 15:00:00,[R001S rA:31 R:23 V:0.63 B:0.11 M:+ ST:D CH:37 CF:- MI:42 SK:0 PS:D SQ:0 LC:-0.04],189.7,1000,189700,2.88,0.23,3.61,0.28,-0.06,0.00,98.3,9.83
48,Exit short,2025-03-04 08:00:00,[ExitS rA:69 R:23 V:1.4 B:0.2 M:- ST:D CH:5 CF:- MI:11 SK:15 PS:D SQ:0 LC:-0.47],188.7,1000,188900,1.21,0.10,1.94,0.15,-0.06,0.00,99.51,9.95
48,Entry short,2025-03-04 05:00:00,[R001S rA:62 R:18 V:0.55 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 LC:-0.46],188.9,1000,188900,1.21,0.10,1.94,0.15,-0.06,0.00,99.51,9.95
49,Exit long,2025-03-04 15:00:00,[ExitL rA:38 R:80 V:1.19 B:0.8 M:+ ST:U CH:5 CF:+ MI:88 SK:85 PS:U SQ:0 LC:0.35],191.6,1000,190950,4.21,0.33,4.62,0.36,-0.06,0.00,103.72,10.37
49,Entry long,2025-03-04 13:00:00,[R001L rA:34 R:79 V:0.37 B:0.89 M:- ST:U CH:37 CF:+ MI:39 SK:100 PS:U SQ:0 LC:0.31],190.95,1000,190950,4.21,0.33,4.62,0.36,-0.06,0.00,103.72,10.37
50,Exit short,2025-03-05 07:00:00,[ExitS rA:53 R:36 V:0.35 B:0.18 M:- ST:D CH:8 CF:- MI:3 SK:15 PS:D SQ:0 LC:-0.42],191.1,1000,191150,0.21,0.02,0.94,0.07,-0.06,0.00,103.93,10.39
50,Entry short,2025-03-05 05:00:00,[R001S rA:41 R:33 V:0.53 B:-0.01 M:- ST:D CH:15 CF:+ MI:52 SK:0 PS:D SQ:0 LC:-0.19],191.15,1000,191150,0.21,0.02,0.94,0.07,-0.06,0.00,103.93,10.39
51,Exit long,2025-03-09 14:00:00,[ExitL rA:75 R:76 V:0.03 B:0.8 M:+ ST:U CH:5 CF:+ MI:100 SK:85 PS:U SQ:0 LC:0.49],191.2,1000,190950,1.56,0.12,2.3,0.18,-0.06,0.00,105.49,10.55
51,Entry long,2025-03-07 10:00:00,[R001L rA:69 R:80 V:0.68 B:0.92 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0 LC:0.49],190.95,1000,190950,1.56,0.12,2.3,0.18,-0.06,0.00,105.49,10.55
52,Exit long,2025-03-11 09:00:00,[ExitL rA:50 R:52 V:0.94 B:0.38 M:- ST:U CH:26 CF:- MI:39 SK:50 PS:U SQ:0 LC:0.43],190.8,1000,190850,-0.47,-0.04,0,0.00,-0.4,-0.03,105.02,10.50
