Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
56,Exit long,2025-02-25 13:00:00,[ExitL rA:88 hA:56 R:33 V:1 B:0.38 M:+ ST:U CH:24 SK:55 PS:U],88950,0.001,89.1,-0.16,-0.18,0.15,0.16,-0.15,-0.17,60.61,6.06
56,Entry long,2025-02-25 11:00:00,[R001L rA:73 hA:41 R:33 V:1 B:0.4 M:+ ST:U CH:14 SK:54 PS:U],89100,0.001,89.1,-0.16,-0.18,0.15,0.16,-0.15,-0.17,60.61,6.06
57,Exit long,2025-02-26 04:00:00,[ExitL rA:69 hA:64 R:53 V:1 B:0.73 M:+ ST:U CH:25 SK:77 PS:U],88500,0.001,88.5,-0.01,-0.01,0.32,0.36,-0.004,0.00,60.6,6.06
57,Entry long,2025-02-26 01:00:00,[R002L rA:37 hA:49 R:55 V:1 B:0.84 M:+ ST:U CH:19 SK:86 PS:U],88500,0.001,88.5,-0.01,-0.01,0.32,0.36,-0.004,0.00,60.6,6.06
58,Exit long,2025-02-27 02:00:00,[ExitL rA:32 hA:65 R:34 V:1 B:0.35 M:+ ST:U CH:37 SK:43 PS:U],84450,0.001,84.45,-0.01,-0.01,0.22,0.26,-0.15,-0.18,60.6,6.06
58,Entry long,2025-02-27 01:00:00,[R001L rA:75 hA:63 R:38 V:1 B:0.46 M:+ ST:U CH:29 SK:63 PS:U],84450,0.001,84.45,-0.01,-0.01,0.22,0.26,-0.15,-0.18,60.6,6.06
59,Exit long,2025-02-28 16:00:00,[ExitL rA:61 hA:59 R:80 V:1 B:0.8 M:+ ST:U CH:5 SK:85 PS:U],84000,0.001,79.8,4.19,5.25,4.5,5.63,-0.004,0.00,64.79,6.48
59,Entry long,2025-02-28 08:00:00,[R001L rA:62 hA:58 R:32 V:1 B:0.4 M:+ ST:U CH:15 SK:50 PS:U],79800,0.001,79.8,4.19,5.25,4.5,5.63,-0.004,0.00,64.79,6.48
60,Exit long,2025-03-01 04:00:00,[ExitL rA:66 hA:37 R:75 V:1 B:0.82 M:+ ST:U CH:8 SK:85 PS:U],85800,0.001,85.5,0.29,0.34,0.6,0.70,-0.004,0.00,65.08,6.51
60,Entry long,2025-03-01 03:00:00,[R001L rA:74 hA:57 R:81 V:1 B:1.02 M:+ ST:U CH:21 SK:100 PS:U],85500,0.001,85.5,0.29,0.34,0.6,0.70,-0.004,0.00,65.08,6.51
61,Exit long,2025-03-02 17:00:00,[ExitL rA:62 hA:42 R:86 V:1 B:0.8 M:- ST:U CH:5 SK:85 PS:U],93750,0.001,87.75,5.99,6.83,6.3,7.17,-0.004,0.00,71.07,7.11
61,Entry long,2025-03-02 15:00:00,[R001L rA:58 hA:42 R:81 V:1 B:0.93 M:+ ST:U CH:0 SK:100 PS:U],87750,0.001,87.75,5.99,6.83,6.3,7.17,-0.004,0.00,71.07,7.11
62,Exit long,2025-03-02 23:00:00,[ExitL rA:93 hA:73 R:68 V:1 B:0.76 M:- ST:U CH:18 SK:80 PS:U],94050,0.001,93.75,0.29,0.31,0.6,0.64,-0.004,0.00,71.36,7.14
62,Entry long,2025-03-02 19:00:00,[R001L rA:42 hA:42 R:71 V:1 B:0.76 M:- ST:U CH:26 SK:75 PS:U],93750,0.001,93.75,0.29,0.31,0.6,0.64,-0.004,0.00,71.36,7.14
63,Exit long,2025-03-03 13:00:00,[ExitL rA:59 hA:70 R:61 V:1 B:0.83 M:+ ST:U CH:8 SK:85 PS:U],93150,0.001,92.4,0.74,0.80,1.05,1.13,-0.004,0.00,72.1,7.21
63,Entry long,2025-03-03 10:00:00,[R001L rA:62 hA:71 R:52 V:1 B:0.78 M:+ ST:U CH:39 SK:100 PS:U],92400,0.001,92.4,0.74,0.80,1.05,1.13,-0.004,0.00,72.1,7.21
64,Exit long,2025-03-03 23:00:00,[ExitL rA:29 hA:38 R:42 V:1 B:0.64 M:+ ST:U CH:31 SK:75 PS:U],86250,0.001,85.95,0.29,0.34,0.6,0.69,-0.004,0.00,72.4,7.24
64,Entry long,2025-03-03 21:00:00,[R001L rA:29 hA:46 R:33 V:1 B:0.38 M:+ ST:U CH:24 SK:44 PS:U],85950,0.001,85.95,0.29,0.34,0.6,0.69,-0.004,0.00,72.4,7.24
65,Exit long,2025-03-04 06:00:00,[ExitL rA:56 hA:55 R:39 V:1 B:0.42 M:+ ST:U CH:49 SK:60 PS:U],83850,0.001,84,-0.16,-0.19,0,0.00,-0.15,-0.18,72.24,7.22
65,Entry long,2025-03-04 05:00:00,[R001L rA:73 hA:55 R:44 V:1 B:0.55 M:+ ST:U CH:40 SK:83 PS:U],84000,0.001,84,-0.16,-0.19,0,0.00,-0.15,-0.18,72.24,7.22
66,Exit long,2025-03-04 19:00:00,[ExitL rA:52 hA:61 R:82 V:1 B:0.8 M:+ ST:U CH:5 SK:85 PS:U],87900,0.001,85.35,2.54,2.98,2.85,3.33,-0.004,0.00,74.78,7.48
66,Entry long,2025-03-04 17:00:00,[R001L rA:54 hA:61 R:77 V:1 B:0.93 M:+ ST:U CH:0 SK:100 PS:U],85350,0.001,85.35,2.54,2.98,2.85,3.33,-0.004,0.00,74.78,7.48
67,Exit long,2025-03-05 12:00:00,[ExitL rA:70 hA:41 R:77 V:1 B:0.8 M:+ ST:U CH:5 SK:85 PS:U],90000,0.001,90.15,-0.16,-0.18,0.15,0.16,-0.15,-0.17,74.62,7.46
67,Entry long,2025-03-05 11:00:00,[R001L rA:35 hA:48 R:87 V:1 B:0.91 M:+ ST:U CH:0 SK:100 PS:U],90150,0.001,90.15,-0.16,-0.18,0.15,0.16,-0.15,-0.17,74.62,7.46
68,Exit long,2025-03-06 05:00:00,[ExitL rA:54 hA:42 R:77 V:1 B:0.81 M:+ ST:U CH:9 SK:85 PS:U],92400,0.001,92.4,-0.01,-0.01,0.3,0.32,-0.004,0.00,74.61,7.46
