Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
26,Entry short,2023-03-15 10:00:00,Short,31920,1,15960,88.1,0.55,119.05,0.75,-0.95,-0.01,2260.6,22.61
27,Exit long,2023-03-17 10:00:00,Close entry(s) order Long,32430,1,16215,-1.9,-0.01,33.55,0.21,-0.95,-0.01,2258.7,22.59
27,Entry long,2023-03-16 19:00:00,Long,32430,1,16215,-1.9,-0.01,33.55,0.21,-0.95,-0.01,2258.7,22.59
28,Exit short,2023-03-20 08:00:00,Close entry(s) order Short,31770,1,15900,13.1,0.08,44.05,0.28,-0.95,-0.01,2271.8,22.72
28,Entry short,2023-03-20 06:00:00,Short,31800,1,15900,13.1,0.08,44.05,0.28,-0.95,-0.01,2271.8,22.72
29,Exit short,2023-03-23 01:00:00,Close entry(s) order Short,32310,1,16155,-1.9,-0.01,29.05,0.18,-0.95,-0.01,2269.9,22.70
29,Entry short,2023-03-22 19:00:00,Short,32310,1,16155,-1.9,-0.01,29.05,0.18,-0.95,-0.01,2269.9,22.70
30,Exit long,2023-03-27 07:00:00,Close entry(s) order Long,32520,1,16245,13.1,0.08,52.55,0.32,-0.95,-0.01,2283,22.83
30,Entry long,2023-03-26 22:00:00,Long,32490,1,16245,13.1,0.08,52.55,0.32,-0.95,-0.01,2283,22.83
31,Exit long,2023-04-03 18:00:00,Close entry(s) order Long,33690,1,16755,88.1,0.53,104.05,0.62,-28.95,-0.17,2371.1,23.71
31,Entry long,2023-04-03 07:00:00,Long,33510,1,16755,88.1,0.53,104.05,0.62,-28.95,-0.17,2371.1,23.71
32,Exit long,2023-04-28 07:00:00,Close entry(s) order Long,33870,1,16950,-16.9,-0.10,14.05,0.08,-15.95,-0.09,2354.2,23.54
32,Entry long,2023-04-27 18:00:00,Long,33900,1,16950,-16.9,-0.10,14.05,0.08,-15.95,-0.09,2354.2,23.54
33,Exit short,2023-05-02 17:00:00,Close entry(s) order Short,33660,1,16905,73.1,0.43,104.05,0.62,-0.95,-0.01,2427.3,24.27
33,Entry short,2023-05-02 14:00:00,Short,33810,1,16905,73.1,0.43,104.05,0.62,-0.95,-0.01,2427.3,24.27
34,Exit short,2023-05-04 16:00:00,Close entry(s) order Short,33120,1,16545,-16.9,-0.10,0,0.00,-15.95,-0.10,2410.4,24.10
34,Entry short,2023-05-04 16:00:00,Short,33090,1,16545,-16.9,-0.10,0,0.00,-15.95,-0.10,2410.4,24.10
35,Exit long,2023-05-30 11:00:00,Close entry(s) order Long,33180,1,16605,-16.9,-0.10,15.05,0.09,-15.95,-0.10,2393.5,23.94
35,Entry long,2023-05-29 03:00:00,Long,33210,1,16605,-16.9,-0.10,15.05,0.09,-15.95,-0.10,2393.5,23.94
36,Exit long,2023-06-05 13:00:00,Close entry(s) order Long,33810,1,16635,268.1,1.61,299.05,1.80,-0.95,-0.01,2661.6,26.62
36,Entry long,2023-06-02 13:00:00,Long,33270,1,16635,268.1,1.61,299.05,1.80,-0.95,-0.01,2661.6,26.62
37,Exit long,2023-06-13 22:00:00,Close entry(s) order Long,34500,1,17175,73.1,0.43,106.05,0.62,-0.95,-0.01,2734.7,27.35
37,Entry long,2023-06-12 22:00:00,Long,34350,1,17175,73.1,0.43,106.05,0.62,-0.95,-0.01,2734.7,27.35
38,Exit long,2023-06-16 01:00:00,Close entry(s) order Long,34710,1,17355,-1.9,-0.01,29.05,0.17,-0.95,-0.01,2732.8,27.33
38,Entry long,2023-06-15 18:00:00,Long,34710,1,17355,-1.9,-0.01,29.05,0.17,-0.95,-0.01,2732.8,27.33
39,Exit long,2023-07-03 09:00:00,Close entry(s) order Long,34620,1,17295,13.1,0.08,44.05,0.25,-0.95,-0.01,2745.9,27.46
39,Entry long,2023-06-30 16:00:00,Long,34590,1,17295,13.1,0.08,44.05,0.25,-0.95,-0.01,2745.9,27.46
40,Exit long,2023-07-12 15:00:00,Close entry(s) order Long,34680,1,17295,43.1,0.25,83.05,0.48,-0.95,-0.01,2789,27.89
40,Entry long,2023-07-12 12:00:00,Long,34590,1,17295,43.1,0.25,83.05,0.48,-0.95,-0.01,2789,27.89
