Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
329,Exit long,2026-03-31 10:22:00,Close entry(s) order Long,46425,1,23190,20.6,0.09,32.05,0.14,-0.95,0.00,14599.9,146.00
329,Entry long,2026-03-31 10:15:00,Long,46380,1,23190,20.6,0.09,32.05,0.14,-0.95,0.00,14599.9,146.00
330,Exit long,2026-03-31 11:12:00,Close entry(s) order Long,46440,1,23212.5,5.6,0.02,21.55,0.09,-0.95,0.00,14605.5,146.06
330,Entry long,2026-03-31 11:07:00,Long,46425,1,23212.5,5.6,0.02,21.55,0.09,-0.95,0.00,14605.5,146.06
331,Exit long,2026-03-31 12:30:00,Close entry(s) order Long,46515,1,23250,5.6,0.02,14.05,0.06,-4.95,-0.02,14611.1,146.11
331,Entry long,2026-03-31 12:15:00,Long,46500,1,23250,5.6,0.02,14.05,0.06,-4.95,-0.02,14611.1,146.11
332,Exit long,2026-03-31 22:50:00,Close entry(s) order Long,46695,1,23325,20.6,0.09,29.05,0.12,-11.45,-0.05,14631.7,146.32
332,Entry long,2026-03-31 22:11:00,Long,46650,1,23325,20.6,0.09,29.05,0.12,-11.45,-0.05,14631.7,146.32
333,Exit short,2026-04-01 01:19:00,Close entry(s) order Short,46755,1,23415,35.6,0.15,56.05,0.24,-0.95,0.00,14667.3,146.67
333,Entry short,2026-04-01 00:50:00,Short,46830,1,23415,35.6,0.15,56.05,0.24,-0.95,0.00,14667.3,146.67
334,Exit long,2026-04-01 03:59:00,Close entry(s) order Long,46875,1,23415,20.6,0.09,29.05,0.12,-0.95,0.00,14687.9,146.88
334,Entry long,2026-04-01 03:45:00,Long,46830,1,23415,20.6,0.09,29.05,0.12,-0.95,0.00,14687.9,146.88
335,Exit long,2026-04-01 05:45:00,Close entry(s) order Long,46905,1,23445,5.6,0.02,21.55,0.09,-0.95,0.00,14693.5,146.94
335,Entry long,2026-04-01 05:44:00,Long,46890,1,23445,5.6,0.02,21.55,0.09,-0.95,0.00,14693.5,146.94
336,Exit short,2026-04-01 07:17:00,Close entry(s) order Short,46830,1,23415,-1.9,-0.01,7.05,0.03,-8.45,-0.04,14691.6,146.92
336,Entry short,2026-04-01 07:15:00,Short,46830,1,23415,-1.9,-0.01,7.05,0.03,-8.45,-0.04,14691.6,146.92
337,Exit long,2026-04-01 07:42:00,Close entry(s) order Long,46875,1,23422.5,13.1,0.06,21.55,0.09,-0.95,0.00,14704.7,147.05
337,Entry long,2026-04-01 07:39:00,Long,46845,1,23422.5,13.1,0.06,21.55,0.09,-0.95,0.00,14704.7,147.05
338,Exit long,2026-04-01 10:49:00,Close entry(s) order Long,46995,1,23497.5,-1.9,-0.01,20.05,0.09,-11.45,-0.05,14702.8,147.03
338,Entry long,2026-04-01 10:04:00,Long,46995,1,23497.5,-1.9,-0.01,20.05,0.09,-11.45,-0.05,14702.8,147.03
339,Exit long,2026-04-02 00:27:00,Close entry(s) order Long,46275,1,23137.5,-1.9,-0.01,11.55,0.05,-8.45,-0.04,14700.9,147.01
339,Entry long,2026-04-02 00:22:00,Long,46275,1,23137.5,-1.9,-0.01,11.55,0.05,-8.45,-0.04,14700.9,147.01
340,Exit short,2026-04-02 06:31:00,Close entry(s) order Short,46200,1,23092.5,-9.4,-0.04,0,0.00,-8.45,-0.04,14691.5,146.92
340,Entry short,2026-04-02 06:31:00,Short,46185,1,23092.5,-9.4,-0.04,0,0.00,-8.45,-0.04,14691.5,146.92
341,Exit long,2026-04-02 06:32:00,Close entry(s) order Long,46185,1,23100,-9.4,-0.04,0,0.00,-8.45,-0.04,14682.1,146.82
341,Entry long,2026-04-02 06:32:00,Long,46200,1,23100,-9.4,-0.04,0,0.00,-8.45,-0.04,14682.1,146.82
342,Exit short,2026-04-02 07:39:00,Close entry(s) order Short,46785,1,23407.5,13.1,0.06,29.05,0.12,-0.95,0.00,14695.2,146.95
342,Entry short,2026-04-02 07:38:00,Short,46815,1,23407.5,13.1,0.06,29.05,0.12,-0.95,0.00,14695.2,146.95
343,Exit long,2026-04-02 08:00:00,Close entry(s) order Long,46770,1,23377.5,5.6,0.02,21.55,0.09,-0.95,0.00,14700.8,147.01
