Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
38,Entry short,2024-01-17 13:00:00,[R001S rA:42 hA:29 PS:D CD:30],1.659,1000,1659,-0.59,-0.05,0,0.00,-0.49,-0.05,64.04,6.40
39,Exit short,2024-01-30 08:00:00,[ExitS rA:60 hA:49 PS:D CD:30],1.6374,1000,1636.8,-0.59,-0.05,0.43,0.04,-0.49,-0.05,63.44,6.34
39,Entry short,2024-01-30 08:00:00,[R001S rA:61 hA:48 PS:D CD:30],1.6368,1000,1636.8,-0.59,-0.05,0.43,0.04,-0.49,-0.05,63.44,6.34
40,Exit short,2024-02-02 07:00:00,[ExitS rA:46 hA:26 PS:D CD:30],1.65,1000,1655.4,3.35,0.31,4.54,0.42,-0.23,-0.02,66.8,6.68
40,Entry short,2024-02-01 15:00:00,[R001S rA:46 hA:26 PS:D CD:30],1.6554,1000,1655.4,3.35,0.31,4.54,0.42,-0.23,-0.02,66.8,6.68
41,Exit long,2024-02-29 01:00:00,[ExitL rA:47 hA:27 PS:U CD:30],1.668,1000,1666.2,0.97,0.09,1.87,0.17,-0.1,-0.01,67.77,6.78
41,Entry long,2024-02-28 13:00:00,[R001L rA:43 hA:27 PS:U CD:30],1.6662,1000,1666.2,0.97,0.09,1.87,0.17,-0.1,-0.01,67.77,6.78
42,Exit short,2024-03-07 14:00:00,[ExitS rA:35 hA:24 PS:D CD:30],1.6464,1000,1654.8,5.32,0.49,6.2,0.57,-0.1,-0.01,73.09,7.31
42,Entry short,2024-03-07 07:00:00,[R001S rA:51 hA:27 PS:D CD:30],1.6548,1000,1654.8,5.32,0.49,6.2,0.57,-0.1,-0.01,73.09,7.31
43,Exit long,2024-03-08 03:00:00,[ExitL rA:54 hA:36 PS:U CD:30],1.653,1000,1653.6,-0.59,-0.05,0,0.00,-0.5,-0.05,72.5,7.25
43,Entry long,2024-03-08 03:00:00,[R001L rA:43 hA:29 PS:U CD:30],1.6536,1000,1653.6,-0.59,-0.05,0,0.00,-0.5,-0.05,72.5,7.25
44,Exit long,2024-03-19 07:00:00,[ExitL rA:41 hA:42 PS:U CD:30],1.6662,1000,1666.8,-0.59,-0.05,0,0.00,-0.49,-0.04,71.91,7.19
44,Entry long,2024-03-19 07:00:00,[R001L rA:42 hA:42 PS:U CD:30],1.6668,1000,1666.8,-0.59,-0.05,0,0.00,-0.49,-0.04,71.91,7.19
45,Exit short,2024-03-21 09:00:00,[ExitS rA:72 hA:45 PS:D CD:30],1.65,1000,1651.8,0.99,0.09,1.88,0.17,-0.1,-0.01,72.9,7.29
