Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
192,Exit long,2026-03-31 07:36:00,Close entry(s) order Long,46005,1,23010,-9.4,-0.04,0,0.00,-8.45,-0.04,10990.2,109.90
192,Entry long,2026-03-31 07:35:00,Long,46020,1,23010,-9.4,-0.04,0,0.00,-8.45,-0.04,10990.2,109.90
193,Exit long,2026-03-31 08:21:00,Close entry(s) order Long,46020,1,22920,88.1,0.38,110.05,0.48,-0.95,0.00,11078.3,110.78
193,Entry long,2026-03-31 08:02:00,Long,45840,1,22920,88.1,0.38,110.05,0.48,-0.95,0.00,11078.3,110.78
194,Exit short,2026-03-31 09:49:00,Close entry(s) order Short,46245,1,23212.5,88.1,0.38,104.05,0.45,-0.95,0.00,11166.4,111.66
194,Entry short,2026-03-31 09:44:00,Short,46425,1,23212.5,88.1,0.38,104.05,0.45,-0.95,0.00,11166.4,111.66
195,Exit short,2026-03-31 10:14:00,Close entry(s) order Short,46365,1,23175,-9.4,-0.04,10.05,0.04,-8.45,-0.04,11157,111.57
195,Entry short,2026-03-31 10:11:00,Short,46350,1,23175,-9.4,-0.04,10.05,0.04,-8.45,-0.04,11157,111.57
196,Exit long,2026-04-01 02:05:00,Close entry(s) order Long,46815,1,23407.5,-1.9,-0.01,14.05,0.06,-12.45,-0.05,11155.1,111.55
196,Entry long,2026-04-01 01:32:00,Long,46815,1,23407.5,-1.9,-0.01,14.05,0.06,-12.45,-0.05,11155.1,111.55
197,Exit long,2026-04-01 05:45:00,Close entry(s) order Long,46905,1,23445,5.6,0.02,21.55,0.09,-0.95,0.00,11160.7,111.61
197,Entry long,2026-04-01 05:44:00,Long,46890,1,23445,5.6,0.02,21.55,0.09,-0.95,0.00,11160.7,111.61
198,Exit short,2026-04-02 07:39:00,Close entry(s) order Short,46785,1,23407.5,13.1,0.06,29.05,0.12,-0.95,0.00,11173.8,111.74
198,Entry short,2026-04-02 07:38:00,Short,46815,1,23407.5,13.1,0.06,29.05,0.12,-0.95,0.00,11173.8,111.74
199,Exit long,2026-04-02 08:00:00,Close entry(s) order Long,46770,1,23377.5,5.6,0.02,21.55,0.09,-0.95,0.00,11179.4,111.79
199,Entry long,2026-04-02 07:56:00,Long,46755,1,23377.5,5.6,0.02,21.55,0.09,-0.95,0.00,11179.4,111.79
200,Exit long,2026-04-02 08:57:00,Close entry(s) order Long,46665,1,23340,-9.4,-0.04,6.55,0.03,-8.45,-0.04,11170,111.70
200,Entry long,2026-04-02 08:55:00,Long,46680,1,23340,-9.4,-0.04,6.55,0.03,-8.45,-0.04,11170,111.70
201,Exit long,2026-04-06 06:36:00,Close entry(s) order Long,46755,1,23332.5,43.1,0.18,65.55,0.28,-0.95,0.00,11213.1,112.13
201,Entry long,2026-04-06 06:33:35,Long,46665,1,23332.5,43.1,0.18,65.55,0.28,-0.95,0.00,11213.1,112.13
202,Exit short,2026-04-06 07:02:29,Close entry(s) order Short,46800,1,23392.5,-9.4,-0.04,6.55,0.03,-8.45,-0.04,11203.7,112.04
202,Entry short,2026-04-06 07:02:00,Short,46785,1,23392.5,-9.4,-0.04,6.55,0.03,-8.45,-0.04,11203.7,112.04
